,Waktu,pipi,alis,Pipi,Alis
0,21:27.5,52,265,0.25390625,1.293945313
1,21:27.5,54,264,0.263671875,1.2890625
2,21:27.5,53,261,0.258789063,1.274414063
3,21:27.5,53,259,0.258789063,1.264648438
4,21:27.5,53,257,0.258789063,1.254882813
5,21:27.5,53,255,0.258789063,1.245117188
6,21:27.5,53,253,0.258789063,1.235351563
7,21:27.6,53,251,0.258789063,1.225585938
8,21:27.6,54,251,0.263671875,1.225585938
9,21:27.6,55,250,0.268554688,1.220703125
10,21:27.6,55,248,0.268554688,1.2109375
11,21:27.6,55,243,0.268554688,1.186523438
12,21:27.6,53,239,0.258789063,1.166992188
13,21:27.6,52,235,0.25390625,1.147460938
14,21:27.6,52,233,0.25390625,1.137695313
15,21:27.6,52,235,0.25390625,1.147460938
16,21:27.6,53,231,0.258789063,1.127929688
17,21:27.6,54,231,0.263671875,1.127929688
18,21:27.6,54,236,0.263671875,1.15234375
19,21:27.6,53,244,0.258789063,1.19140625
20,21:27.6,56,249,0.2734375,1.215820313
21,21:27.6,54,244,0.263671875,1.19140625
22,21:27.6,54,244,0.263671875,1.19140625
23,21:27.6,54,241,0.263671875,1.176757813
24,21:27.6,53,241,0.258789063,1.176757813
25,21:27.6,53,242,0.258789063,1.181640625
26,21:27.6,55,240,0.268554688,1.171875
27,21:27.6,53,236,0.258789063,1.15234375
28,21:27.6,54,231,0.263671875,1.127929688
29,21:27.6,54,230,0.263671875,1.123046875
30,21:27.6,54,240,0.263671875,1.171875
31,21:27.6,56,248,0.2734375,1.2109375
32,21:27.7,54,244,0.263671875,1.19140625
33,21:27.7,54,240,0.263671875,1.171875
34,21:27.7,53,242,0.258789063,1.181640625
35,21:27.7,57,243,0.278320313,1.186523438
36,21:27.7,52,239,0.25390625,1.166992188
37,21:27.7,53,238,0.258789063,1.162109375
38,21:27.7,54,236,0.263671875,1.15234375
39,21:27.7,54,233,0.263671875,1.137695313
40,21:27.7,53,234,0.258789063,1.142578125
41,21:27.7,55,237,0.268554688,1.157226563
42,21:27.7,55,236,0.268554688,1.15234375
43,21:27.7,53,231,0.258789063,1.127929688
44,21:27.7,53,228,0.258789063,1.11328125
45,21:27.7,52,227,0.25390625,1.108398438
46,21:27.7,52,220,0.25390625,1.07421875
47,21:27.7,53,217,0.258789063,1.059570313
48,21:27.7,53,218,0.258789063,1.064453125
49,21:27.7,54,219,0.263671875,1.069335938
50,21:27.7,53,217,0.258789063,1.059570313
51,21:27.7,53,215,0.258789063,1.049804688
52,21:27.7,56,215,0.2734375,1.049804688
53,21:27.8,54,211,0.263671875,1.030273438
54,21:27.8,54,208,0.263671875,1.015625
55,21:27.8,54,205,0.263671875,1.000976563
56,21:27.8,53,206,0.258789063,1.005859375
57,21:27.8,53,203,0.258789063,0.991210938
58,21:27.8,53,202,0.258789063,0.986328125
59,21:27.8,53,202,0.258789063,0.986328125
60,21:27.8,53,206,0.258789063,1.005859375
61,21:27.8,52,213,0.25390625,1.040039063
62,21:27.8,53,220,0.258789063,1.07421875
63,21:27.8,53,226,0.258789063,1.103515625
64,21:27.8,52,224,0.25390625,1.09375
65,21:27.8,52,224,0.25390625,1.09375
66,21:27.8,52,221,0.25390625,1.079101563
67,21:27.8,51,218,0.249023438,1.064453125
68,21:27.8,52,215,0.25390625,1.049804688
69,21:27.8,53,215,0.258789063,1.049804688
70,21:27.8,53,217,0.258789063,1.059570313
71,21:27.8,53,219,0.258789063,1.069335938
72,21:27.8,52,222,0.25390625,1.083984375
73,21:27.8,55,227,0.268554688,1.108398438
74,21:27.8,52,223,0.25390625,1.088867188
75,21:27.8,53,220,0.258789063,1.07421875
76,21:27.8,53,218,0.258789063,1.064453125
77,21:27.9,52,221,0.25390625,1.079101563
78,21:27.9,52,221,0.25390625,1.079101563
79,21:27.9,51,222,0.249023438,1.083984375
80,21:27.9,52,214,0.25390625,1.044921875
81,21:27.9,53,211,0.258789063,1.030273438
82,21:27.9,52,210,0.25390625,1.025390625
83,21:27.9,53,218,0.258789063,1.064453125
84,21:27.9,53,225,0.258789063,1.098632813
85,21:27.9,52,228,0.25390625,1.11328125
86,21:27.9,53,227,0.258789063,1.108398438
87,21:27.9,53,223,0.258789063,1.088867188
88,21:27.9,52,221,0.25390625,1.079101563
89,21:27.9,52,219,0.25390625,1.069335938
90,21:27.9,53,215,0.258789063,1.049804688
91,21:27.9,53,213,0.258789063,1.040039063
92,21:27.9,53,213,0.258789063,1.040039063
93,21:27.9,51,214,0.249023438,1.044921875
94,21:27.9,54,219,0.263671875,1.069335938
95,21:27.9,54,222,0.263671875,1.083984375
96,21:27.9,53,220,0.258789063,1.07421875
97,21:27.9,53,215,0.258789063,1.049804688
98,21:27.9,53,214,0.258789063,1.044921875
99,21:28.0,51,213,0.249023438,1.040039063
100,21:28.0,52,212,0.25390625,1.03515625
101,21:28.0,53,218,0.258789063,1.064453125
102,21:28.0,53,223,0.258789063,1.088867188
103,21:28.0,52,227,0.25390625,1.108398438
104,21:28.0,52,225,0.25390625,1.098632813
105,21:28.0,54,225,0.263671875,1.098632813
106,21:28.0,52,226,0.25390625,1.103515625
