,Waktu,Pipi,Alis
0,28:01.6,238,138
1,28:02.1,147,140
2,28:02.1,148,140
3,28:02.1,149,139
4,28:02.1,149,139
5,28:02.1,149,138
6,28:02.1,149,137
7,28:02.1,148,136
8,28:02.1,148,136
9,28:02.1,148,136
10,28:02.1,146,137
11,28:02.1,146,138
12,28:02.1,145,140
13,28:02.1,144,141
14,28:02.1,144,141
15,28:02.2,145,141
16,28:02.2,146,140
17,28:02.2,145,140
18,28:02.2,145,143
19,28:02.2,144,144
20,28:02.2,143,144
21,28:02.2,142,142
22,28:02.2,141,140
23,28:02.2,141,138
24,28:02.2,145,139
25,28:02.2,146,140
26,28:02.2,144,139
27,28:02.2,145,140
28,28:02.2,145,139
29,28:02.2,145,138
30,28:02.2,144,136
31,28:02.2,142,134
32,28:02.2,140,136
33,28:02.2,140,139
34,28:02.2,140,139
35,28:02.2,139,138
36,28:02.2,141,139
37,28:02.2,143,142
38,28:02.2,143,143
39,28:02.2,142,142
40,28:02.2,141,140
41,28:02.2,139,138
42,28:02.3,143,137
43,28:02.3,146,139
44,28:02.3,145,139
45,28:02.3,145,139
46,28:02.3,148,140
47,28:02.3,151,139
48,28:02.3,151,137
49,28:02.3,149,136
50,28:02.3,147,134
51,28:02.3,145,138
52,28:02.3,146,139
53,28:02.3,148,138
54,28:02.3,148,138
55,28:02.3,148,139
56,28:02.3,149,141
57,28:02.3,148,141
58,28:02.3,146,140
59,28:02.3,144,138
60,28:02.3,144,136
61,28:02.3,146,137
62,28:02.3,145,137
63,28:02.3,145,136
64,28:02.3,147,137
65,28:02.3,149,137
66,28:02.3,150,136
67,28:02.4,149,134
68,28:02.4,147,132
69,28:02.4,147,134
70,28:02.4,146,137
71,28:02.4,146,137
72,28:02.4,146,137
73,28:02.4,146,137
74,28:02.4,149,139
75,28:02.4,149,139
76,28:02.4,148,138
77,28:02.4,146,136
78,28:02.4,145,135
79,28:02.4,146,133
80,28:02.4,147,136
81,28:02.4,148,135
82,28:02.4,153,135
83,28:02.4,159,136
84,28:02.4,162,134
85,28:02.4,162,133
86,28:02.4,160,131
87,28:02.4,159,130
88,28:02.4,158,134
89,28:02.4,157,135
90,28:02.4,157,134
91,28:02.4,155,134
92,28:02.5,159,136
93,28:02.5,160,138
94,28:02.5,162,139
95,28:02.5,162,138
96,28:02.5,162,136
97,28:02.5,162,135
98,28:02.5,165,136
99,28:02.5,166,138
100,28:02.5,165,137
101,28:02.5,166,138
102,28:02.5,166,139
103,28:02.5,167,138
104,28:02.5,167,137
105,28:02.5,166,135
106,28:02.5,164,138
107,28:02.5,163,143
108,28:02.5,165,143
109,28:02.5,166,142
110,28:02.5,165,143
111,28:02.5,165,145
112,28:02.5,164,145
113,28:02.5,163,143
114,28:02.5,160,142
115,28:02.6,158,140
116,28:02.6,160,138
117,28:02.6,163,141
118,28:02.6,162,140
119,28:02.6,162,141
120,28:02.6,163,141
121,28:02.6,165,141
122,28:02.6,165,139
123,28:02.6,165,137
124,28:02.6,162,135
125,28:02.6,160,139
126,28:02.6,160,141
127,28:02.6,161,140
128,28:02.6,160,141
