,Waktu,Pipi,,,,
0,28:10.7,138,,,,
1,28:11.7,140,,,,
2,28:12.2,140,,,,
3,28:12.2,139,,,,
4,28:12.2,139,,,,
5,28:12.2,138,,,,
6,28:12.2,137,,,,
7,28:12.2,136,,,,
8,28:12.2,136,,,,
9,28:12.2,136,,,,
10,28:12.2,137,,,,
11,28:12.2,138,,,,
12,28:12.2,140,,,,
13,28:12.2,141,,,,
14,28:12.2,141,,,,
15,28:12.2,141,,,,
16,28:12.2,140,,,,
17,28:12.2,140,,,,
18,28:12.3,143,,,,
19,28:12.3,144,,,,
20,28:12.3,144,,,,
21,28:12.3,142,,,,
22,28:12.3,140,,,,
23,28:12.3,138,,,,
24,28:12.3,139,,,,
25,28:12.3,140,,,,
26,28:12.3,139,,,,
27,28:12.3,140,,,,
28,28:12.3,139,,,,
29,28:12.3,138,,,,
30,28:12.3,136,,,,
31,28:12.3,134,,,,
32,28:12.3,136,,,,
33,28:12.3,139,,,,
34,28:12.3,139,,,,
35,28:12.3,138,,,,
36,28:12.3,139,,,,
37,28:12.3,142,,,,
38,28:12.3,143,,,,
39,28:12.3,142,,,,
40,28:12.3,140,,,,
41,28:12.3,138,,,,
42,28:12.3,137,,,,
43,28:12.3,139,,,,
44,28:12.3,139,,,,
45,28:12.3,139,,,,
46,28:12.4,140,,,,
47,28:12.4,139,,,,
48,28:12.4,137,,,,
49,28:12.4,136,,,,
50,28:12.4,134,,,,
51,28:12.4,138,,,,
52,28:12.4,139,,,,
53,28:12.4,138,,,,
54,28:12.4,138,,,,
55,28:12.4,139,,,,
56,28:12.4,141,,,,
57,28:12.4,141,,,,
58,28:12.4,140,,,,
59,28:12.4,138,,,,
60,28:12.4,136,,,,
61,28:12.4,137,,,,
62,28:12.4,137,,,,
63,28:12.4,136,,,,
64,28:12.4,137,,,,
65,28:12.4,137,,,,
66,28:12.4,136,,,,
67,28:12.4,134,,,,
68,28:12.4,132,,,,
69,28:12.4,134,,,,
70,28:12.4,137,,,,
71,28:12.4,137,,,,
72,28:12.5,137,,,,
73,28:12.5,137,,,,
74,28:12.5,139,,,,
75,28:12.5,139,,,,
76,28:12.5,138,,,,
77,28:12.5,136,,,,
78,28:12.5,135,,,,
79,28:12.5,133,,,,
80,28:12.5,136,,,,
81,28:12.5,135,,,,
82,28:12.5,135,,,,
83,28:12.5,136,,,,
84,28:12.5,134,,,,
85,28:12.5,133,,,,
86,28:12.5,131,,,,
87,28:12.5,130,,,,
88,28:12.5,134,,,,
89,28:12.5,135,,,,
90,28:12.5,134,,,,
91,28:12.5,134,,,,
92,28:12.5,136,,,,
93,28:12.5,138,,,,
94,28:12.5,139,,,,
95,28:12.5,138,,,,
96,28:12.5,136,,,,
97,28:12.5,135,,,,
98,28:12.6,136,,,,
99,28:12.6,138,,,,
100,28:12.6,137,,,,
101,28:12.6,138,,,,
102,28:12.6,139,,,,
103,28:12.6,138,,,,
104,28:12.6,137,,,,
105,28:12.6,135,,,,
106,28:12.6,138,,,,
107,28:12.6,143,,,,
108,28:12.6,143,,,,
109,28:12.6,142,,,,
110,28:12.6,143,,,,
111,28:12.6,145,,,,
112,28:12.6,145,,,,
113,28:12.6,143,,,,
114,28:12.6,142,,,,
115,28:12.6,140,,,,
116,28:12.6,138,,,,
117,28:12.6,141,,,,
118,28:12.6,140,,,,
119,28:12.6,141,,,,
120,28:12.6,141,,,,
121,28:12.7,141,,,,
122,28:12.7,139,,,,
123,28:12.7,137,,,,
124,28:12.7,135,,,,
125,28:12.7,139,,,,
126,28:12.7,141,,,,
127,28:12.7,140,,,,
128,28:12.7,141,,,,
129,28:12.7,142,,,,
130,28:12.7,144,,,,
131,28:12.7,145,,,,
132,28:12.7,143,,,,
133,28:12.7,141,,,,
134,28:12.7,139,,,,
135,28:12.7,140,,,,
136,28:12.7,141,,,,
137,28:12.7,140,,,,
138,28:12.7,141,,,,
139,28:12.7,141,,,,
140,28:12.7,141,,,,
141,28:12.7,138,,,,
142,28:12.7,137,,,,
143,28:12.7,138,,,,
144,28:12.7,141,,,,
145,28:12.7,141,,,,
146,28:12.7,140,,,,
147,28:12.7,141,,,,
148,28:12.7,143,,,,
149,28:12.8,144,,,,
150,28:12.8,143,,,,
151,28:12.8,142,,,,
152,28:12.8,140,,,,
153,28:12.8,138,,,,
154,28:12.8,140,,,,
155,28:12.8,139,,,,
156,28:12.8,140,,,,
157,28:12.8,140,,,,
158,28:12.8,139,,,,
159,28:12.8,138,,,,
160,28:12.8,136,,,,
161,28:12.8,134,,,,
162,28:12.8,137,,,,
163,28:12.8,138,,,,
164,28:12.8,136,,,,
165,28:12.8,136,,,,
166,28:12.8,138,,,,
167,28:12.8,139,,,,
168,28:12.8,139,,,,
169,28:12.8,138,,,,
170,28:12.8,136,,,,
171,28:12.8,135,,,,
172,28:12.8,135,,,,
173,28:12.8,136,,,,
174,28:12.8,136,,,,
175,28:12.9,137,,,,
176,28:12.9,137,,,,
177,28:12.9,136,,,,
178,28:12.9,135,,,,
179,28:12.9,133,,,,
180,28:12.9,134,,,,
181,28:12.9,137,,,,
182,28:12.9,139,,,,
183,28:12.9,138,,,,
184,28:12.9,139,,,,
185,28:12.9,141,,,,
186,28:12.9,143,,,,
187,28:12.9,143,,,,
188,28:12.9,141,,,,
189,28:12.9,139,,,,
190,28:12.9,137,,,,
191,28:12.9,139,,,,
192,28:12.9,139,,,,
193,28:12.9,139,,,,
194,28:12.9,139,,,,
195,28:12.9,139,,,,
196,28:12.9,138,,,,
197,28:12.9,137,,,,
198,28:12.9,135,,,,
199,28:12.9,139,,,,
200,28:12.9,141,,,,
201,28:13.0,140,,,,
202,28:13.0,139,,,,
203,28:13.0,140,,,,
204,28:13.0,143,,,,
205,28:13.0,142,,,,
206,28:13.0,141,,,,
207,28:13.0,140,,,,
208,28:13.0,138,,,,
209,28:13.0,138,,,,
210,28:13.0,139,,,,
211,28:13.0,138,,,,
212,28:13.0,139,,,,
213,28:13.0,139,,,,
214,28:13.0,138,,,,
215,28:13.0,136,,,,
216,28:13.0,134,,,,
217,28:13.0,135,,,,
218,28:13.0,138,,,,
219,28:13.0,139,,,,
220,28:13.0,138,,,,
221,28:13.0,140,,,,
222,28:13.0,143,,,,
223,28:13.1,144,,,,
224,28:13.1,144,,,,
225,28:13.1,143,,,,
226,28:13.1,141,,,,
227,28:13.1,140,,,,
228,28:13.1,141,,,,
229,28:13.1,141,,,,
230,28:13.1,141,,,,
231,28:13.1,142,,,,
232,28:13.1,143,,,,
233,28:13.1,142,,,,
234,28:13.1,140,,,,
235,28:13.1,138,,,,
236,28:13.1,141,,,,
237,28:13.1,144,,,,
238,28:13.1,143,,,,
239,28:13.1,142,,,,
240,28:13.1,143,,,,
241,28:13.1,145,,,,
242,28:13.1,145,,,,
243,28:13.1,144,,,,
244,28:13.1,142,,,,
245,28:13.1,140,,,,
246,28:13.1,140,,,,
247,28:13.1,141,,,,
248,28:13.1,141,,,,
249,28:13.2,141,,,,
250,28:13.2,140,,,,
251,28:13.2,138,,,,
252,28:13.2,136,,,,
253,28:13.2,135,,,,
254,28:13.2,135,,,,
255,28:13.2,138,,,,
256,28:13.2,138,,,,
257,28:13.2,137,,,,
258,28:13.2,138,,,,
259,28:13.2,140,,,,
260,28:13.2,140,,,,
261,28:13.2,139,,,,
262,28:13.2,138,,,,
263,28:13.2,136,,,,
264,28:13.2,136,,,,
265,28:13.2,137,,,,
266,28:13.2,137,,,,
267,28:13.2,137,,,,
268,28:13.2,137,,,,
269,28:13.2,136,,,,
270,28:13.2,134,,,,
271,28:13.2,133,,,,
272,28:13.2,132,,,,
273,28:13.2,134,,,,
274,28:13.2,138,,,,
275,28:13.3,137,,,,
276,28:13.3,137,,,,
277,28:13.3,139,,,,
278,28:13.3,141,,,,
279,28:13.3,142,,,,
280,28:13.3,141,,,,
281,28:13.3,140,,,,
282,28:13.3,138,,,,
283,28:13.3,138,,,,
284,28:13.3,140,,,,
285,28:13.3,139,,,,
286,28:13.3,139,,,,
287,28:13.3,139,,,,
288,28:13.3,139,,,,
289,28:13.3,138,,,,
290,28:13.3,137,,,,
291,28:13.3,137,,,,
292,28:13.3,141,,,,
293,28:13.3,142,,,,
294,28:13.3,140,,,,
295,28:13.3,141,,,,
296,28:13.3,143,,,,
297,28:13.3,145,,,,
298,28:13.3,144,,,,
299,28:13.3,143,,,,
300,28:13.3,141,,,,
301,28:13.4,139,,,,
302,28:13.4,141,,,,
303,28:13.4,141,,,,
304,28:13.4,141,,,,
305,28:13.4,141,,,,
306,28:13.4,141,,,,
307,28:13.4,140,,,,
308,28:13.4,139,,,,
309,28:13.4,137,,,,
310,28:13.4,139,,,,
311,28:13.4,143,,,,
312,28:13.4,142,,,,
313,28:13.4,141,,,,
314,28:13.4,142,,,,
315,28:13.4,145,,,,
316,28:13.4,146,,,,
317,28:13.4,145,,,,
318,28:13.4,144,,,,
319,28:13.4,142,,,,
320,28:13.4,141,,,,
321,28:13.4,143,,,,
322,28:13.4,142,,,,
323,28:13.4,142,,,,
324,28:13.4,143,,,,
325,28:13.4,142,,,,
326,28:13.4,140,,,,
327,28:13.5,138,,,,
328,28:13.5,139,,,,
329,28:13.5,144,,,,
330,28:13.5,146,,,,
331,28:13.5,144,,,,
