,Waktu,Pipi
0,33:45.9,248
1,33:46.5,248
2,33:46.5,254
3,33:46.5,257
4,33:46.5,258
5,33:46.5,257
6,33:46.5,256
7,33:46.5,254
8,33:46.5,254
9,33:46.5,254
10,33:46.5,254
11,33:46.5,256
12,33:46.5,258
13,33:46.5,259
14,33:46.5,259
15,33:46.5,259
16,33:46.5,257
17,33:46.5,252
18,33:46.5,248
19,33:46.5,253
20,33:46.5,252
21,33:46.5,250
22,33:46.5,251
23,33:46.5,252
24,33:46.5,251
25,33:46.5,247
26,33:46.5,244
27,33:46.6,248
28,33:46.6,255
29,33:46.6,254
30,33:46.6,250
31,33:46.6,251
32,33:46.6,255
33,33:46.6,257
34,33:46.6,256
35,33:46.6,251
36,33:46.6,248
37,33:46.6,248
38,33:46.6,249
39,33:46.6,247
40,33:46.6,246
41,33:46.6,245
42,33:46.6,243
43,33:46.6,240
44,33:46.6,237
45,33:46.6,235
46,33:46.7,245
47,33:46.7,248
48,33:46.7,245
49,33:46.7,244
50,33:46.7,246
51,33:46.7,250
52,33:46.7,250
53,33:46.7,248
54,33:46.7,244
55,33:46.7,240
56,33:46.7,243
57,33:46.7,240
58,33:46.7,239
59,33:46.7,242
60,33:46.7,247
61,33:46.7,251
62,33:46.7,252
63,33:46.8,251
64,33:46.8,254
65,33:46.8,260
66,33:46.8,258
67,33:46.8,264
68,33:46.8,275
69,33:46.8,286
70,33:46.8,295
71,33:46.8,296
72,33:46.8,291
73,33:46.8,289
74,33:46.8,288
75,33:46.8,286
76,33:46.8,282
77,33:46.8,284
78,33:46.8,286
79,33:46.9,287
80,33:46.9,282
81,33:46.9,278
82,33:46.9,276
83,33:46.9,288
84,33:46.9,289
85,33:46.9,286
86,33:46.9,283
87,33:46.9,285
88,33:46.9,289
89,33:46.9,290
90,33:46.9,287
91,33:46.9,283
92,33:46.9,280
93,33:46.9,284
94,33:47.0,285
95,33:47.0,284
96,33:47.0,283
97,33:47.0,282
98,33:47.0,277
99,33:47.0,275
100,33:47.0,276
101,33:47.0,280
102,33:47.0,286
103,33:47.0,282
104,33:47.0,281
105,33:47.0,281
106,33:47.0,284
107,33:47.0,281
108,33:47.0,277
109,33:47.0,273
110,33:47.1,268
111,33:47.1,265
112,33:47.1,263
113,33:47.1,260
114,33:47.1,265
115,33:47.1,269
116,33:47.1,269
117,33:47.1,267
118,33:47.1,263
119,33:47.1,264
120,33:47.1,263
121,33:47.1,260
122,33:47.1,256
123,33:47.1,257
124,33:47.1,261
125,33:47.2,267
126,33:47.2,267
127,33:47.2,264
128,33:47.2,260
129,33:47.2,257
130,33:47.2,260
131,33:47.2,260
132,33:47.2,258
133,33:47.2,260
134,33:47.2,260
135,33:47.2,259
136,33:47.2,257
137,33:47.2,257
138,33:47.2,260
139,33:47.2,265
140,33:47.3,265
141,33:47.3,262
142,33:47.3,264
143,33:47.3,264
144,33:47.3,263
145,33:47.3,260
146,33:47.3,256
147,33:47.3,253
148,33:47.3,251
149,33:47.3,255
150,33:47.3,253
151,33:47.3,251
152,33:47.3,253
153,33:47.3,253
154,33:47.3,251
155,33:47.3,250
156,33:47.3,251
157,33:47.4,256
158,33:47.4,260
159,33:47.4,258
160,33:47.4,256
161,33:47.4,257
162,33:47.4,262
163,33:47.4,264
164,33:47.4,264
165,33:47.4,262
166,33:47.4,258
167,33:47.4,260
168,33:47.4,260
169,33:47.4,259
170,33:47.4,261
171,33:47.4,261
172,33:47.4,263
173,33:47.4,265
174,33:47.5,263
175,33:47.5,268
176,33:47.5,281
177,33:47.5,285
178,33:47.5,285
179,33:47.5,283
180,33:47.5,290
181,33:47.5,295
182,33:47.5,301
183,33:47.5,304
184,33:47.5,304
185,33:47.5,307
186,33:47.5,316
187,33:47.5,319
188,33:47.5,314
189,33:47.5,310
190,33:47.6,310
191,33:47.6,312
192,33:47.6,312
193,33:47.6,311
194,33:47.6,322
195,33:47.6,326
196,33:47.6,322
197,33:47.6,318
198,33:47.6,316
199,33:47.6,319
200,33:47.6,320
201,33:47.6,319
202,33:47.6,316
203,33:47.6,312
204,33:47.6,314
205,33:47.6,310
206,33:47.6,311
207,33:47.7,314
208,33:47.7,312
209,33:47.7,309
210,33:47.7,307
211,33:47.7,303
212,33:47.7,305
213,33:47.7,310
214,33:47.7,306
215,33:47.7,304
216,33:47.7,303
217,33:47.7,308
218,33:47.7,315
219,33:47.7,314
220,33:47.7,310
221,33:47.7,308
222,33:47.7,307
223,33:47.8,308
224,33:47.8,306
225,33:47.8,304
226,33:47.8,305
227,33:47.8,306
228,33:47.8,306
229,33:47.8,302
230,33:47.8,301
231,33:47.8,316
232,33:47.8,325
233,33:47.8,330
234,33:47.8,330
235,33:47.8,329
236,33:47.8,340
237,33:47.8,351
238,33:47.9,367
239,33:47.9,376
240,33:47.9,378
241,33:47.9,384
242,33:47.9,382
243,33:47.9,381
244,33:47.9,384
245,33:47.9,389
246,33:47.9,387
247,33:47.9,381
248,33:47.9,375
249,33:47.9,379
250,33:47.9,385
251,33:47.9,383
252,33:47.9,377
253,33:47.9,374
254,33:48.0,374
255,33:48.0,375
256,33:48.0,373
257,33:48.0,367
258,33:48.0,361
259,33:48.0,361
260,33:48.0,364
261,33:48.0,358
262,33:48.0,360
263,33:48.0,362
264,33:48.0,361
265,33:48.0,356
266,33:48.0,349
267,33:48.0,345
268,33:48.0,352
269,33:48.0,353
270,33:48.1,349
271,33:48.1,345
272,33:48.1,347
273,33:48.1,351
274,33:48.1,349
275,33:48.1,345
276,33:48.1,339
277,33:48.1,334
278,33:48.1,340
279,33:48.1,339
280,33:48.1,336
281,33:48.1,332
282,33:48.1,330
283,33:48.1,330
284,33:48.1,326
285,33:48.2,321
286,33:48.2,325
287,33:48.2,333
288,33:48.2,335
289,33:48.2,331
290,33:48.2,332
291,33:48.2,336
292,33:48.2,337
293,33:48.2,334
294,33:48.2,330
295,33:48.2,324
296,33:48.2,325
297,33:48.2,327
298,33:48.2,323
299,33:48.2,321
300,33:48.3,317
301,33:48.3,312
302,33:48.3,307
303,33:48.3,301
304,33:48.3,298
305,33:48.3,307
306,33:48.3,310
307,33:48.3,307
308,33:48.3,305
309,33:48.3,306
310,33:48.3,308
311,33:48.3,309
312,33:48.3,306
313,33:48.3,301
314,33:48.3,296
315,33:48.4,296
316,33:48.4,294
317,33:48.4,293
318,33:48.4,295
319,33:48.4,294
320,33:48.4,291
321,33:48.4,286
322,33:48.4,283
323,33:48.4,285
324,33:48.4,289
325,33:48.4,285
326,33:48.4,280
327,33:48.4,277
328,33:48.4,280
329,33:48.5,283
330,33:48.5,283
331,33:48.5,282
332,33:48.5,281
333,33:48.5,280
334,33:48.5,284
