,Waktu,Pipi,Alis
0,27:51.8,168,277
1,27:52.3,167,277
2,27:52.3,169,276
3,27:52.3,171,279
4,27:52.3,171,281
5,27:52.3,171,283
6,27:52.3,170,282
7,27:52.3,168,281
8,27:52.3,168,279
9,27:52.3,169,278
10,27:52.3,171,277
11,27:52.3,171,274
12,27:52.3,172,273
13,27:52.3,172,271
14,27:52.3,172,273
15,27:52.4,172,276
16,27:52.4,172,277
17,27:52.4,172,274
18,27:52.4,170,276
19,27:52.4,168,278
20,27:52.4,169,277
21,27:52.4,168,274
22,27:52.4,168,270
23,27:52.4,168,269
24,27:52.4,168,280
25,27:52.4,166,282
26,27:52.4,165,277
27,27:52.4,163,275
28,27:52.4,167,277
29,27:52.4,170,280
30,27:52.4,168,281
31,27:52.4,168,278
32,27:52.4,170,274
33,27:52.4,172,272
34,27:52.4,173,277
35,27:52.4,173,274
36,27:52.4,172,272
37,27:52.4,170,274
38,27:52.4,172,273
39,27:52.4,174,272
40,27:52.4,173,267
41,27:52.4,175,265
42,27:52.4,177,270
43,27:52.5,178,277
44,27:52.5,177,275
45,27:52.5,175,270
46,27:52.5,175,271
47,27:52.5,178,277
48,27:52.5,177,279
49,27:52.5,174,277
50,27:52.5,173,274
51,27:52.5,175,268
52,27:52.5,181,271
53,27:52.5,182,274
54,27:52.5,180,271
55,27:52.5,178,271
56,27:52.5,177,273
57,27:52.5,178,272
58,27:52.5,176,268
59,27:52.5,179,265
60,27:52.5,179,264
61,27:52.5,178,275
62,27:52.5,176,278
63,27:52.5,174,274
64,27:52.5,171,276
65,27:52.5,175,278
66,27:52.5,177,281
67,27:52.5,176,280
68,27:52.6,176,278
69,27:52.6,178,274
70,27:52.6,181,270
71,27:52.6,180,276
72,27:52.6,178,275
73,27:52.6,176,273
74,27:52.6,176,275
75,27:52.6,177,275
76,27:52.6,179,272
77,27:52.6,178,269
78,27:52.6,178,265
79,27:52.6,178,270
80,27:52.6,177,277
81,27:52.6,176,278
82,27:52.6,175,273
83,27:52.6,176,277
84,27:52.6,179,279
85,27:52.6,178,278
86,27:52.6,177,280
87,27:52.6,178,281
88,27:52.6,179,277
89,27:52.6,180,279
90,27:52.6,181,281
91,27:52.6,179,277
92,27:52.6,178,279
93,27:52.6,178,280
94,27:52.6,180,279
95,27:52.7,180,275
96,27:52.7,180,271
97,27:52.7,179,270
98,27:52.7,177,281
99,27:52.7,176,283
100,27:52.7,176,279
101,27:52.7,177,276
102,27:52.7,182,278
103,27:52.7,185,281
104,27:52.7,184,281
105,27:52.7,183,276
106,27:52.7,184,272
107,27:52.7,185,268
108,27:52.7,184,278
109,27:52.7,182,278
110,27:52.7,181,276
111,27:52.7,180,278
112,27:52.7,180,279
113,27:52.7,182,278
114,27:52.7,182,276
115,27:52.7,182,272
116,27:52.7,180,277
117,27:52.7,178,281
118,27:52.7,176,280
119,27:52.7,174,275
120,27:52.7,175,276
121,27:52.8,177,279
122,27:52.8,176,280
123,27:52.8,175,278
124,27:52.8,176,274
125,27:52.8,178,269
126,27:52.8,180,274
127,27:52.8,179,276
128,27:52.8,177,273
129,27:52.8,175,275
130,27:52.8,173,275
131,27:52.8,176,275
132,27:52.8,174,272
133,27:52.8,175,268
134,27:52.8,176,265
135,27:52.8,176,277
136,27:52.8,176,279
137,27:52.8,173,275
138,27:52.8,171,275
139,27:52.8,175,278
140,27:52.8,177,282
141,27:52.8,176,280
142,27:52.8,176,278
143,27:52.8,177,274
144,27:52.8,179,271
145,27:52.8,180,280
146,27:52.8,179,278
147,27:52.9,177,276
148,27:52.9,174,280
149,27:52.9,175,280
150,27:52.9,175,279
151,27:52.9,174,275
152,27:52.9,174,271
153,27:52.9,173,276
154,27:52.9,171,284
155,27:52.9,170,282
156,27:52.9,170,280
157,27:52.9,171,282
158,27:52.9,173,286
159,27:52.9,172,288
160,27:52.9,170,287
161,27:52.9,171,283
162,27:52.9,174,278
163,27:52.9,175,280
164,27:52.9,176,283
165,27:52.9,174,280
166,27:52.9,171,282
167,27:52.9,170,282
168,27:52.9,172,283
169,27:52.9,173,279
170,27:52.9,171,275
171,27:52.9,171,273
172,27:52.9,171,283
173,27:53.0,170,286
174,27:53.0,169,282
175,27:53.0,167,280
176,27:53.0,172,280
177,27:53.0,175,286
178,27:53.0,176,285
179,27:53.0,174,280
180,27:53.0,175,277
181,27:53.0,177,275
182,27:53.0,177,286
183,27:53.0,175,286
184,27:53.0,173,284
185,27:53.0,171,288
186,27:53.0,174,288
187,27:53.0,173,284
188,27:53.0,172,280
189,27:53.0,172,277
190,27:53.0,171,281
191,27:53.0,169,289
192,27:53.0,167,288
193,27:53.0,167,284
194,27:53.0,167,286
195,27:53.0,169,287
196,27:53.1,169,287
197,27:53.1,168,284
198,27:53.1,167,280
199,27:53.1,167,275
200,27:53.1,167,278
201,27:53.1,164,281
202,27:53.1,163,280
203,27:53.1,162,284
204,27:53.1,160,284
205,27:53.1,161,282
206,27:53.1,159,280
207,27:53.1,160,277
208,27:53.1,160,273
209,27:53.1,159,284
210,27:53.1,158,284
211,27:53.1,157,279
212,27:53.1,155,276
213,27:53.1,159,278
214,27:53.1,160,283
215,27:53.1,159,282
216,27:53.1,160,278
217,27:53.1,160,274
218,27:53.1,161,272
219,27:53.1,162,279
220,27:53.1,160,276
221,27:53.1,159,273
222,27:53.1,157,273
223,27:53.1,157,272
224,27:53.1,160,270
225,27:53.1,159,268
226,27:53.2,160,264
227,27:53.2,160,269
228,27:53.2,159,277
229,27:53.2,157,277
230,27:53.2,155,274
231,27:53.2,157,275
232,27:53.2,163,279
233,27:53.2,162,282
234,27:53.2,161,280
235,27:53.2,162,277
236,27:53.2,166,273
237,27:53.2,166,276
238,27:53.2,165,278
239,27:53.2,164,274
240,27:53.2,162,275
241,27:53.2,160,276
242,27:53.2,162,274
243,27:53.2,164,271
244,27:53.2,163,267
245,27:53.2,163,265
246,27:53.2,162,276
247,27:53.2,161,280
248,27:53.2,160,275
249,27:53.2,159,276
250,27:53.2,163,276
251,27:53.2,165,280
252,27:53.2,163,280
253,27:53.3,163,276
254,27:53.3,166,273
255,27:53.3,169,269
256,27:53.3,168,277
257,27:53.3,166,275
258,27:53.3,164,273
259,27:53.3,162,276
260,27:53.3,161,276
261,27:53.3,162,274
262,27:53.3,161,269
263,27:53.3,162,265
264,27:53.3,162,269
265,27:53.3,161,277
266,27:53.3,160,276
267,27:53.3,158,271
268,27:53.3,158,274
269,27:53.3,161,278
270,27:53.3,163,280
271,27:53.3,161,279
272,27:53.3,162,274
273,27:53.3,164,271
274,27:53.3,166,271
275,27:53.3,163,273
276,27:53.3,162,273
277,27:53.3,160,274
278,27:53.3,159,274
279,27:53.3,161,275
280,27:53.3,160,272
281,27:53.3,160,269
282,27:53.3,160,266
283,27:53.4,159,279
284,27:53.4,160,283
285,27:53.4,162,278
286,27:53.4,160,278
287,27:53.4,164,279
288,27:53.4,165,284
289,27:53.4,164,284
290,27:53.4,163,282
291,27:53.4,165,278
292,27:53.4,168,274
293,27:53.4,169,281
294,27:53.4,166,280
295,27:53.4,164,278
296,27:53.4,162,280
297,27:53.4,162,280
298,27:53.4,164,277
299,27:53.4,163,274
300,27:53.4,163,271
301,27:53.4,162,274
302,27:53.4,162,283
303,27:53.4,160,281
304,27:53.4,158,276
305,27:53.4,158,276
306,27:53.4,160,279
307,27:53.4,160,282
308,27:53.4,159,280
309,27:53.4,159,276
310,27:53.4,162,272
311,27:53.5,163,275
312,27:53.5,162,278
313,27:53.5,160,274
314,27:53.5,159,275
315,27:53.5,157,276
316,27:53.5,158,274
317,27:53.5,157,272
318,27:53.5,158,270
319,27:53.5,160,267
320,27:53.5,160,278
321,27:53.5,159,281
322,27:53.5,157,277
323,27:53.5,155,277
324,27:53.5,157,279
325,27:53.5,159,284
326,27:53.5,158,284
327,27:53.5,159,281
328,27:53.5,160,277
329,27:53.5,163,273
330,27:53.5,162,280
331,27:53.5,161,278
332,27:53.5,160,276
333,27:53.5,158,278
334,27:53.5,158,278
335,27:53.5,159,277
336,27:53.5,158,274
337,27:53.5,160,271
338,27:53.6,160,276
339,27:53.6,160,284
340,27:53.6,157,285
341,27:53.6,155,280
