,Waktu,Pipi,Alis
0,19:50.5,80,161
1,19:50.6,82,161
2,19:50.6,82,160
3,19:50.6,82,160
4,19:50.6,84,161
5,19:50.6,84,162
6,19:50.6,83,162
7,19:50.6,82,163
8,19:50.6,82,162
9,19:50.6,82,162
10,19:50.6,84,165
11,19:50.6,83,165
12,19:50.6,80,163
13,19:50.6,82,160
14,19:50.6,82,158
15,19:50.6,80,157
16,19:50.6,83,156
17,19:50.6,84,156
18,19:50.6,83,158
19,19:50.6,82,159
20,19:50.6,81,159
21,19:50.6,84,163
22,19:50.6,80,160
23,19:50.6,81,158
24,19:50.6,82,156
25,19:50.6,81,154
26,19:50.6,80,153
27,19:50.7,81,152
28,19:50.7,83,153
29,19:50.7,83,154
30,19:50.7,81,155
31,19:50.7,83,156
32,19:50.7,84,158
33,19:50.7,79,155
34,19:50.7,82,152
35,19:50.7,81,151
36,19:50.7,81,149
37,19:50.7,82,148
38,19:50.7,84,148
39,19:50.7,83,149
40,19:50.7,82,150
41,19:50.7,82,149
42,19:50.7,84,152
43,19:50.7,82,151
44,19:50.7,80,149
45,19:50.7,81,147
46,19:50.7,81,145
47,19:50.7,80,143
48,19:50.7,82,142
49,19:50.7,84,143
50,19:50.7,83,144
51,19:50.7,82,144
52,19:50.7,81,143
53,19:50.7,85,147
54,19:50.8,80,144
55,19:50.8,81,143
56,19:50.8,82,141
57,19:50.8,81,139
58,19:50.8,82,138
59,19:50.8,82,136
60,19:50.8,84,139
61,19:50.8,82,139
62,19:50.8,82,139
63,19:50.8,84,141
64,19:50.8,83,142
65,19:50.8,80,139
66,19:50.8,81,139
67,19:50.8,81,137
68,19:50.8,80,136
69,19:50.8,81,134
70,19:50.8,83,134
71,19:50.8,82,135
72,19:50.8,81,135
73,19:50.8,81,135
74,19:50.8,84,138
75,19:50.8,79,136
76,19:50.8,80,135
77,19:50.8,81,134
78,19:50.8,80,132
79,19:50.8,79,131
80,19:50.8,82,129
81,19:50.9,83,131
82,19:50.9,82,131
83,19:50.9,81,131
84,19:50.9,83,132
85,19:50.9,83,133
86,19:50.9,79,131
87,19:50.9,81,131
88,19:50.9,82,129
89,19:50.9,81,128
90,19:50.9,81,126
91,19:50.9,84,126
92,19:50.9,83,127
93,19:50.9,82,128
94,19:50.9,81,127
95,19:50.9,84,130
96,19:50.9,82,129
97,19:50.9,80,127
98,19:50.9,82,127
99,19:50.9,80,125
100,19:50.9,81,124
101,19:50.9,83,123
102,19:50.9,84,124
103,19:50.9,83,125
104,19:50.9,82,124
105,19:50.9,81,125
106,19:50.9,84,127
107,19:51.0,80,125
108,19:51.0,81,125
109,19:51.0,82,124
110,19:51.0,82,123
111,19:51.0,83,121
112,19:51.0,84,121
113,19:51.0,84,121
114,19:51.0,83,122
115,19:51.0,82,121
116,19:51.0,85,123
117,19:51.0,83,123
118,19:51.0,81,121
119,19:51.0,83,122
120,19:51.0,82,120
121,19:51.0,82,119
122,19:51.0,83,117
123,19:51.0,85,118
124,19:51.0,84,119
125,19:51.0,83,119
126,19:51.0,82,119
127,19:51.0,86,122
128,19:51.0,80,120
129,19:51.0,82,120
130,19:51.0,83,120
131,19:51.0,82,118
132,19:51.0,81,117
133,19:51.0,84,116
134,19:51.1,85,117
135,19:51.1,84,118
136,19:51.1,83,117
137,19:51.1,85,119
138,19:51.1,84,120
139,19:51.1,81,118
140,19:51.1,83,118
141,19:51.1,83,118
142,19:51.1,82,116
