,Waktu,Pipi
0,04:43.9,300
1,04:44.5,307
2,04:44.5,310
3,04:44.5,312
4,04:44.5,312
5,04:44.5,312
6,04:44.5,312
7,04:44.5,311
8,04:44.5,311
9,04:44.5,309
10,04:44.5,307
11,04:44.5,305
12,04:44.5,304
13,04:44.5,305
14,04:44.5,311
15,04:44.5,319
16,04:44.5,326
17,04:44.5,324
18,04:44.5,321
19,04:44.5,325
20,04:44.5,332
21,04:44.5,332
22,04:44.5,329
23,04:44.5,324
24,04:44.5,320
25,04:44.5,324
26,04:44.6,330
27,04:44.6,328
28,04:44.6,329
29,04:44.6,330
30,04:44.6,326
31,04:44.6,320
32,04:44.6,317
33,04:44.6,320
34,04:44.6,333
35,04:44.6,335
36,04:44.6,331
37,04:44.6,329
38,04:44.6,335
39,04:44.6,342
40,04:44.6,338
41,04:44.6,333
42,04:44.6,331
43,04:44.6,326
44,04:44.6,326
45,04:44.7,328
46,04:44.7,327
47,04:44.7,331
48,04:44.7,335
49,04:44.7,331
50,04:44.7,327
51,04:44.7,323
52,04:44.7,327
53,04:44.7,330
54,04:44.7,326
55,04:44.7,321
56,04:44.7,319
57,04:44.7,322
58,04:44.8,327
59,04:44.8,325
60,04:44.8,323
61,04:44.8,319
62,04:44.8,318
63,04:44.8,321
64,04:44.8,317
65,04:44.8,318
66,04:44.8,317
67,04:44.8,316
68,04:44.8,314
69,04:44.8,311
70,04:44.8,310
71,04:44.9,324
72,04:44.9,327
73,04:44.9,323
74,04:44.9,322
75,04:44.9,321
76,04:44.9,321
77,04:44.9,318
78,04:44.9,317
79,04:44.9,317
80,04:44.9,316
81,04:44.9,323
82,04:44.9,323
83,04:45.0,321
84,04:45.0,323
85,04:45.0,325
86,04:45.0,325
87,04:45.0,323
88,04:45.0,321
89,04:45.0,327
90,04:45.0,332
91,04:45.0,329
92,04:45.0,334
93,04:45.0,339
94,04:45.0,341
95,04:45.0,341
96,04:45.1,341
97,04:45.1,338
98,04:45.1,338
99,04:45.1,336
100,04:45.1,339
101,04:45.1,336
102,04:45.1,335
103,04:45.1,337
104,04:45.1,341
105,04:45.1,338
106,04:45.1,333
107,04:45.1,330
108,04:45.1,337
109,04:45.1,334
110,04:45.2,330
111,04:45.2,329
112,04:45.2,332
113,04:45.2,334
114,04:45.2,334
115,04:45.2,330
116,04:45.2,325
117,04:45.2,320
118,04:45.2,320
119,04:45.2,315
120,04:45.2,313
121,04:45.2,313
122,04:45.2,310
123,04:45.3,308
124,04:45.3,303
125,04:45.3,300
126,04:45.3,303
127,04:45.3,310
128,04:45.3,308
129,04:45.3,303
130,04:45.3,302
131,04:45.3,309
132,04:45.3,309
133,04:45.3,306
134,04:45.3,302
135,04:45.3,300
136,04:45.4,297
137,04:45.4,298
138,04:45.4,295
139,04:45.4,295
140,04:45.4,297
141,04:45.4,298
142,04:45.4,294
143,04:45.4,291
144,04:45.4,289
145,04:45.4,305
146,04:45.4,307
147,04:45.4,306
148,04:45.4,309
149,04:45.5,314
150,04:45.5,321
151,04:45.5,322
152,04:45.5,319
153,04:45.5,314
154,04:45.5,310
155,04:45.5,311
156,04:45.5,308
157,04:45.5,305
158,04:45.5,307
159,04:45.5,309
160,04:45.5,308
161,04:45.6,304
162,04:45.6,299
163,04:45.6,301
164,04:45.6,312
165,04:45.6,311
166,04:45.6,309
167,04:45.6,314
168,04:45.6,321
169,04:45.6,324
170,04:45.6,326
171,04:45.6,321
172,04:45.6,315
173,04:45.6,313
174,04:45.7,311
175,04:45.7,309
