,Waktu,Pipi,Alis
0,17:36.1,239,187
1,17:36.6,239,187
2,17:36.6,238,186
3,17:36.6,237,187
4,17:36.6,239,188
5,17:36.6,239,189
6,17:36.6,240,189
7,17:36.7,239,189
8,17:36.7,238,188
9,17:36.7,236,187
10,17:36.7,234,186
11,17:36.7,233,184
12,17:36.7,230,183
13,17:36.7,229,181
14,17:36.7,227,182
15,17:36.7,227,183
16,17:36.7,229,182
17,17:36.7,227,179
18,17:36.7,226,181
19,17:36.7,225,185
20,17:36.7,224,186
21,17:36.7,221,184
22,17:36.7,217,182
23,17:36.7,215,179
24,17:36.8,221,184
25,17:36.8,226,185
26,17:36.8,225,182
27,17:36.8,223,184
28,17:36.8,224,187
29,17:36.8,229,190
30,17:36.8,231,190
31,17:36.8,230,189
32,17:36.8,227,187
33,17:36.8,223,184
34,17:36.8,224,185
35,17:36.8,226,184
36,17:36.8,224,184
37,17:36.8,226,186
38,17:36.8,229,189
39,17:36.8,230,189
40,17:36.8,228,188
41,17:36.9,224,185
42,17:36.9,224,185
43,17:36.9,232,188
44,17:36.9,234,187
45,17:36.9,230,186
46,17:36.9,232,188
47,17:36.9,235,192
48,17:36.9,240,194
49,17:36.9,240,194
50,17:36.9,237,192
51,17:36.9,234,188
52,17:36.9,230,187
53,17:36.9,232,188
54,17:36.9,232,185
55,17:36.9,231,187
56,17:36.9,233,189
57,17:36.9,234,191
58,17:36.9,232,190
59,17:37.0,230,187
60,17:37.0,225,184
61,17:37.0,232,189
62,17:37.0,238,191
63,17:37.0,236,187
64,17:37.0,234,189
65,17:37.0,234,192
66,17:37.0,240,196
67,17:37.0,244,196
68,17:37.0,243,195
69,17:37.0,239,192
70,17:37.0,236,189
71,17:37.0,235,191
72,17:37.0,237,190
73,17:37.0,235,188
74,17:37.0,236,191
75,17:37.0,237,193
76,17:37.1,236,192
77,17:37.1,233,192
78,17:37.1,230,190
79,17:37.1,232,190
80,17:37.1,241,194
81,17:37.1,244,192
82,17:37.1,241,191
83,17:37.1,240,193
84,17:37.1,243,197
85,17:37.1,248,200
86,17:37.1,248,200
87,17:37.1,244,198
88,17:37.1,242,194
89,17:37.1,237,194
90,17:37.1,242,194
91,17:37.1,245,192
92,17:37.1,242,193
93,17:37.2,240,197
94,17:37.2,239,199
95,17:37.2,237,199
96,17:37.2,235,196
97,17:37.2,231,193
98,17:37.2,238,197
99,17:37.2,245,199
100,17:37.2,244,196
101,17:37.2,241,197
102,17:37.2,241,200
103,17:37.2,246,204
104,17:37.2,249,205
105,17:37.2,247,203
106,17:37.2,245,200
107,17:37.2,241,197
108,17:37.2,241,198
109,17:37.3,244,197
110,17:37.3,241,195
111,17:37.3,244,198
112,17:37.3,246,200
113,17:37.3,246,200
114,17:37.3,245,198
115,17:37.3,241,195
116,17:37.3,241,194
117,17:37.3,252,199
118,17:37.3,256,198
119,17:37.3,252,196
120,17:37.3,251,198
121,17:37.3,258,202
122,17:37.3,267,205
123,17:37.3,269,204
124,17:37.3,266,201
125,17:37.3,263,198
126,17:37.3,260,196
127,17:37.4,262,197
128,17:37.4,260,195
129,17:37.4,260,196
130,17:37.4,262,199
131,17:37.4,264,201
132,17:37.4,263,200
133,17:37.4,261,198
134,17:37.4,257,195
135,17:37.4,264,197
136,17:37.4,270,199
137,17:37.4,269,196
138,17:37.4,265,197
139,17:37.4,266,200
140,17:37.4,272,203
141,17:37.4,275,204
142,17:37.4,274,204
143,17:37.4,271,201
144,17:37.4,267,197
145,17:37.5,267,198
146,17:37.5,267,196
147,17:37.5,264,195
148,17:37.5,262,198
149,17:37.5,261,200
150,17:37.5,259,200
151,17:37.5,256,199
152,17:37.5,253,197
153,17:37.5,252,195
154,17:37.5,261,200
155,17:37.5,263,200
156,17:37.5,259,197
157,17:37.5,259,200
158,17:37.5,261,203
159,17:37.5,265,206
160,17:37.5,266,206
161,17:37.5,263,203
162,17:37.5,260,200
163,17:37.5,256,199
164,17:37.6,259,200
165,17:37.6,258,197
166,17:37.6,258,198
