,Waktu,Pipi,Alis
0,22:39.2,0.3173828125,4.4873046875
1,22:39.2,0.3271484375,4.4775390625
2,22:39.2,0.3369140625,4.4775390625
3,22:39.2,0.33203125,4.482421875
4,22:39.2,0.3271484375,4.4921875
5,22:39.3,0.3271484375,4.4921875
6,22:39.3,0.3271484375,4.4921875
7,22:39.3,0.3271484375,4.4921875
8,22:39.3,0.322265625,4.3896484375
9,22:39.3,0.322265625,4.482421875
10,22:39.3,0.3173828125,4.482421875
11,22:39.3,0.3125,4.4921875
12,22:39.3,0.3173828125,4.482421875
13,22:39.3,0.322265625,4.4775390625
14,22:39.3,0.322265625,4.482421875
15,22:39.3,0.3173828125,4.482421875
16,22:39.3,0.3369140625,4.4775390625
17,22:39.3,0.3369140625,4.4921875
18,22:39.3,0.33203125,4.4921875
19,22:39.3,0.3271484375,4.4970703125
20,22:39.3,0.322265625,4.482421875
21,22:39.3,0.3173828125,4.4873046875
22,22:39.3,0.3125,4.4970703125
23,22:39.3,0.3173828125,4.4775390625
24,22:39.3,0.322265625,4.482421875
25,22:39.3,0.322265625,4.482421875
26,22:39.3,0.322265625,4.4775390625
27,22:39.3,0.341796875,4.482421875
28,22:39.3,0.33203125,4.4921875
29,22:39.3,0.33203125,4.4921875
30,22:39.3,0.33203125,4.4970703125
31,22:39.4,0.3271484375,4.482421875
32,22:39.4,0.322265625,4.4921875
33,22:39.4,0.322265625,4.47265625
34,22:39.4,0.3271484375,4.47265625
35,22:39.4,0.33203125,4.47265625
36,22:39.4,0.33203125,4.4775390625
37,22:39.4,0.3466796875,4.47265625
38,22:39.4,0.3515625,4.4775390625
39,22:39.4,0.341796875,4.4873046875
40,22:39.4,0.341796875,4.4873046875
41,22:39.4,0.3515625,4.453125
42,22:39.4,0.33203125,4.482421875
43,22:39.4,0.322265625,4.4970703125
44,22:39.4,0.33203125,4.482421875
45,22:39.4,0.3369140625,4.4775390625
46,22:39.4,0.3369140625,4.482421875
47,22:39.4,0.33203125,4.4775390625
48,22:39.4,0.3564453125,4.482421875
49,22:39.4,0.3515625,4.4970703125
50,22:39.4,0.3466796875,4.4921875
51,22:39.4,0.361328125,4.462890625
52,22:39.4,0.3369140625,4.4873046875
53,22:39.4,0.33203125,4.4921875
54,22:39.4,0.3369140625,4.47265625
55,22:39.4,0.33203125,4.482421875
56,22:39.4,0.33203125,4.482421875
57,22:39.4,0.3369140625,4.482421875
58,22:39.5,0.3466796875,4.4775390625
59,22:39.5,0.3564453125,4.4775390625
60,22:39.5,0.3466796875,4.4873046875
61,22:39.5,0.3466796875,4.43359375
62,22:39.5,0.341796875,4.3310546875
63,22:39.5,0.3369140625,4.2724609375
64,22:39.5,0.33203125,4.21875
65,22:39.5,0.3369140625,4.1748046875
66,22:39.5,0.3369140625,4.0966796875
67,22:39.5,0.3369140625,4.0185546875
68,22:39.5,0.3369140625,3.955078125
69,22:39.5,0.3564453125,3.9111328125
70,22:39.5,0.361328125,3.8525390625
71,22:39.5,0.3564453125,3.7841796875
72,22:39.5,0.3515625,3.7109375
73,22:39.5,0.3466796875,3.642578125
74,22:39.5,0.341796875,3.583984375
75,22:39.5,0.3369140625,3.5009765625
76,22:39.5,0.341796875,3.4423828125
77,22:39.5,0.3466796875,3.37890625
78,22:39.5,0.3466796875,3.369140625
79,22:39.5,0.3515625,3.37890625
80,22:39.5,0.3662109375,3.37890625
81,22:39.5,0.361328125,3.3349609375
82,22:39.5,0.3564453125,3.2763671875
83,22:39.6,0.3466796875,3.2568359375
84,22:39.6,0.3466796875,3.2373046875
85,22:39.6,0.341796875,3.1982421875
86,22:39.6,0.341796875,3.1494140625
87,22:39.6,0.3466796875,3.0810546875
88,22:39.6,0.341796875,3.0322265625
89,22:39.6,0.3369140625,3.056640625
90,22:39.6,0.3466796875,3.095703125
91,22:39.6,0.3515625,3.0419921875
92,22:39.6,0.3369140625,3.0224609375
93,22:39.6,0.33203125,3.017578125
94,22:39.6,0.3369140625,2.98828125
95,22:39.6,0.33203125,2.9345703125
96,22:39.6,0.33203125,2.890625
97,22:39.6,0.33203125,2.8271484375
98,22:39.6,0.33203125,2.763671875
99,22:39.6,0.3369140625,2.7099609375
100,22:39.6,0.3369140625,2.666015625
101,22:39.6,0.3564453125,2.6123046875
102,22:39.6,0.3515625,2.568359375
103,22:39.6,0.3515625,2.5341796875
104,22:39.6,0.341796875,2.5
105,22:39.6,0.341796875,2.4609375
106,22:39.6,0.33203125,2.4267578125
107,22:39.6,0.3369140625,2.40234375
108,22:39.6,0.3369140625,2.353515625
109,22:39.7,0.341796875,2.314453125
110,22:39.7,0.3369140625,2.265625
111,22:39.7,0.3466796875,2.2265625
112,22:39.7,0.3564453125,2.1923828125
113,22:39.7,0.3515625,2.1875
114,22:39.7,0.3466796875,2.177734375
115,22:39.7,0.341796875,2.138671875
116,22:39.7,0.3369140625,2.0947265625
117,22:39.7,0.33203125,2.0703125
118,22:39.7,0.33203125,2.060546875
119,22:39.7,0.33203125,2.0263671875
120,22:39.7,0.3369140625,2.0166015625
121,22:39.7,0.3369140625,2.0166015625
122,22:39.7,0.3564453125,1.9921875
123,22:39.7,0.3564453125,1.9775390625
124,22:39.7,0.3515625,1.9384765625
125,22:39.7,0.3466796875,1.9287109375
126,22:39.7,0.341796875,1.9482421875
127,22:39.7,0.341796875,1.9677734375
128,22:39.7,0.3515625,1.9873046875
129,22:39.7,0.3369140625,1.9580078125
130,22:39.7,0.341796875,1.9189453125
131,22:39.7,0.341796875,1.884765625
132,22:39.7,0.3515625,1.85546875
133,22:39.7,0.37109375,1.8359375
134,22:39.7,0.37109375,1.8115234375
135,22:39.8,0.361328125,1.845703125
136,22:39.8,0.3564453125,1.8701171875
137,22:39.8,0.3515625,1.8408203125
138,22:39.8,0.341796875,1.8505859375
139,22:39.8,0.341796875,1.875
140,22:39.8,0.3466796875,1.865234375
