,Waktu,Pipi,Alis
0,27:16.2,3.1298828125,4.5947265625
1,27:16.2,3.1005859375,4.5947265625
2,27:16.2,3.0712890625,4.5947265625
3,27:16.2,3.046875,4.5947265625
4,27:16.2,3.0322265625,4.58984375
5,27:16.3,3.0322265625,4.5947265625
6,27:16.3,3.046875,4.5947265625
7,27:16.3,3.0517578125,4.5947265625
8,27:16.3,3.046875,4.5947265625
9,27:16.3,3.037109375,4.5947265625
10,27:16.3,3.02734375,4.5947265625
11,27:16.3,2.998046875,4.5947265625
12,27:16.3,2.9638671875,4.58984375
13,27:16.3,3.02734375,4.5947265625
14,27:16.3,3.0322265625,4.5947265625
15,27:16.3,2.9736328125,4.5947265625
16,27:16.3,2.919921875,4.5947265625
17,27:16.3,2.890625,4.5947265625
18,27:16.3,2.8564453125,4.5947265625
19,27:16.3,2.8564453125,4.58984375
20,27:16.3,2.861328125,4.58984375
21,27:16.3,2.87109375,4.5947265625
22,27:16.3,2.8564453125,4.5947265625
23,27:16.3,2.8515625,4.5947265625
24,27:16.3,2.8955078125,4.5947265625
25,27:16.3,2.861328125,4.5947265625
26,27:16.3,2.841796875,4.5947265625
27,27:16.3,2.8369140625,4.5947265625
28,27:16.3,2.7685546875,4.5947265625
29,27:16.4,2.7392578125,4.5947265625
30,27:16.4,2.7099609375,4.5947265625
31,27:16.4,2.6708984375,4.599609375
32,27:16.4,2.6220703125,4.5947265625
33,27:16.4,2.6513671875,4.5947265625
34,27:16.4,2.6513671875,4.5947265625
35,27:16.4,2.6318359375,4.5947265625
36,27:16.4,2.6171875,4.5947265625
37,27:16.4,2.6025390625,4.5947265625
38,27:16.4,2.59765625,4.5947265625
39,27:16.4,2.5927734375,4.5947265625
40,27:16.4,2.5927734375,4.5947265625
41,27:16.4,2.5634765625,4.5947265625
42,27:16.4,2.5341796875,4.5947265625
43,27:16.4,2.5244140625,4.5947265625
44,27:16.4,2.5146484375,4.5947265625
45,27:16.4,2.490234375,4.5947265625
46,27:16.4,2.4951171875,4.5947265625
47,27:16.4,2.4609375,4.5947265625
48,27:16.4,2.4267578125,4.5947265625
49,27:16.4,2.431640625,4.5947265625
50,27:16.4,2.431640625,4.5947265625
51,27:16.4,2.44140625,4.5947265625
52,27:16.4,2.4560546875,4.5947265625
53,27:16.4,2.470703125,4.5947265625
54,27:16.5,2.4658203125,4.5947265625
55,27:16.5,2.490234375,4.5947265625
56,27:16.5,2.5,4.5947265625
57,27:16.5,2.490234375,4.5947265625
58,27:16.5,2.4609375,4.5947265625
59,27:16.5,2.431640625,4.5947265625
60,27:16.5,2.3876953125,4.5947265625
61,27:16.5,2.3388671875,4.5947265625
62,27:16.5,2.2998046875,4.5947265625
63,27:16.5,2.2802734375,4.5947265625
64,27:16.5,2.2509765625,4.5947265625
65,27:16.5,2.28515625,4.5947265625
66,27:16.5,2.2998046875,4.5947265625
67,27:16.5,2.2705078125,4.5947265625
68,27:16.5,2.2314453125,4.5947265625
69,27:16.5,2.2216796875,4.5947265625
70,27:16.5,2.216796875,4.5947265625
71,27:16.5,2.177734375,4.5947265625
72,27:16.5,2.158203125,4.5947265625
73,27:16.5,2.1533203125,4.5947265625
74,27:16.5,2.158203125,4.599609375
75,27:16.5,2.1875,4.5947265625
76,27:16.5,2.2021484375,4.5947265625
77,27:16.5,2.1630859375,4.5947265625
78,27:16.5,2.1142578125,4.599609375
79,27:16.5,2.0556640625,4.6044921875
80,27:16.6,2.0263671875,4.5947265625
81,27:16.6,2.01171875,4.599609375
82,27:16.6,2.021484375,4.599609375
83,27:16.6,2.0068359375,4.5947265625
84,27:16.6,1.9873046875,4.5947265625
85,27:16.6,1.982421875,4.599609375
86,27:16.6,1.9873046875,4.5947265625
87,27:16.6,1.97265625,4.5947265625
88,27:16.6,1.953125,4.5947265625
89,27:16.6,1.93359375,4.599609375
90,27:16.6,1.9287109375,4.599609375
91,27:16.6,1.9482421875,4.599609375
92,27:16.6,1.9873046875,4.5947265625
93,27:16.6,1.982421875,4.5947265625
