,Waktu,Pipi,Alis
0,17:28.1,0.6982421875,0.810546875
1,17:28.1,0.6689453125,0.80078125
2,17:28.1,0.6982421875,0.80078125
3,17:28.1,0.693359375,0.80078125
4,17:28.1,0.6591796875,0.7958984375
5,17:28.1,0.6640625,0.8056640625
6,17:28.1,0.673828125,0.810546875
7,17:28.1,0.68359375,0.8203125
8,17:28.1,0.6884765625,0.8203125
9,17:28.1,0.693359375,0.8203125
10,17:28.1,0.693359375,0.810546875
11,17:28.1,0.7177734375,0.8154296875
12,17:28.1,0.712890625,0.8154296875
13,17:28.1,0.703125,0.8203125
14,17:28.1,0.6884765625,0.8154296875
15,17:28.2,0.6689453125,0.7958984375
16,17:28.2,0.6640625,0.7958984375
17,17:28.2,0.6689453125,0.810546875
18,17:28.2,0.68359375,0.8203125
19,17:28.2,0.703125,0.8203125
20,17:28.2,0.703125,0.8056640625
21,17:28.2,0.7177734375,0.8154296875
22,17:28.2,0.72265625,0.8203125
23,17:28.2,0.7080078125,0.8203125
24,17:28.2,0.68359375,0.810546875
25,17:28.2,0.693359375,0.80078125
26,17:28.2,0.6689453125,0.7958984375
27,17:28.2,0.68359375,0.8056640625
28,17:28.2,0.703125,0.8203125
29,17:28.2,0.712890625,0.8154296875
30,17:28.2,0.72265625,0.810546875
31,17:28.2,0.7373046875,0.8154296875
32,17:28.2,0.7373046875,0.8203125
33,17:28.2,0.7275390625,0.8251953125
34,17:28.2,0.7177734375,0.810546875
35,17:28.2,0.732421875,0.810546875
36,17:28.2,0.7080078125,0.80078125
37,17:28.2,0.72265625,0.8154296875
38,17:28.2,0.7421875,0.8251953125
39,17:28.2,0.751953125,0.8251953125
40,17:28.3,0.7666015625,0.8251953125
41,17:28.3,0.7763671875,0.8203125
42,17:28.3,0.7763671875,0.8251953125
43,17:28.3,0.76171875,0.830078125
44,17:28.3,0.7373046875,0.8154296875
45,17:28.3,0.7470703125,0.8203125
46,17:28.3,0.72265625,0.810546875
47,17:28.3,0.7421875,0.8203125
48,17:28.3,0.7373046875,0.8251953125
49,17:28.3,0.7470703125,0.8203125
50,17:28.3,0.771484375,0.8251953125
51,17:28.3,0.7861328125,0.8251953125
52,17:28.3,0.78125,0.8251953125
53,17:28.3,0.7666015625,0.8251953125
54,17:28.3,0.7421875,0.8056640625
55,17:28.3,0.751953125,0.810546875
56,17:28.3,0.7373046875,0.8056640625
57,17:28.3,0.751953125,0.8203125
58,17:28.3,0.771484375,0.830078125
59,17:28.3,0.771484375,0.8203125
60,17:28.3,0.7861328125,0.8251953125
61,17:28.3,0.791015625,0.8203125
62,17:28.3,0.78125,0.8251953125
63,17:28.3,0.76171875,0.8203125
64,17:28.3,0.72265625,0.8056640625
65,17:28.4,0.7421875,0.810546875
66,17:28.4,0.7177734375,0.8056640625
67,17:28.4,0.732421875,0.8203125
68,17:28.4,0.7470703125,0.8251953125
69,17:28.4,0.7470703125,0.8203125
70,17:28.4,0.76171875,0.8251953125
71,17:28.4,0.771484375,0.8251953125
72,17:28.4,0.76171875,0.830078125
73,17:28.4,0.7373046875,0.8251953125
74,17:28.4,0.712890625,0.8154296875
75,17:28.4,0.7275390625,0.8056640625
76,17:28.4,0.712890625,0.8154296875
77,17:28.4,0.7373046875,0.830078125
78,17:28.4,0.751953125,0.8349609375
79,17:28.4,0.751953125,0.8251953125
80,17:28.4,0.7763671875,0.8349609375
81,17:28.4,0.7861328125,0.8349609375
82,17:28.4,0.7666015625,0.8349609375
83,17:28.4,0.7470703125,0.830078125
84,17:28.4,0.72265625,0.8154296875
85,17:28.4,0.7177734375,0.8154296875
86,17:28.4,0.7080078125,0.8203125
87,17:28.4,0.7275390625,0.8349609375
88,17:28.4,0.732421875,0.8349609375
89,17:28.5,0.7373046875,0.8251953125
90,17:28.5,0.751953125,0.830078125
91,17:28.5,0.7568359375,0.8349609375
92,17:28.5,0.7421875,0.8349609375
93,17:28.5,0.72265625,0.8251953125
94,17:28.5,0.6982421875,0.810546875
95,17:28.5,0.693359375,0.810546875
96,17:28.5,0.6982421875,0.8154296875
97,17:28.5,0.7080078125,0.830078125
98,17:28.5,0.7080078125,0.830078125
99,17:28.5,0.7080078125,0.8154296875
100,17:28.5,0.72265625,0.8251953125
101,17:28.5,0.732421875,0.830078125
102,17:28.5,0.7275390625,0.83984375
103,17:28.5,0.712890625,0.830078125
104,17:28.5,0.7177734375,0.8154296875
105,17:28.5,0.68359375,0.8154296875
106,17:28.5,0.693359375,0.8251953125
107,17:28.5,0.7177734375,0.83984375
108,17:28.5,0.7275390625,0.8349609375
109,17:28.5,0.7373046875,0.830078125
110,17:28.5,0.751953125,0.830078125
111,17:28.5,0.751953125,0.83984375
112,17:28.5,0.7470703125,0.8447265625
113,17:28.5,0.72265625,0.8349609375
114,17:28.5,0.7275390625,0.830078125
115,17:28.6,0.703125,0.8251953125
116,17:28.6,0.7275390625,0.830078125
117,17:28.6,0.7470703125,0.83984375
118,17:28.6,0.76171875,0.830078125
119,17:28.6,0.771484375,0.8251953125
120,17:28.6,0.7861328125,0.8251953125
121,17:28.6,0.7861328125,0.8349609375
122,17:28.6,0.7568359375,0.83984375
123,17:28.6,0.751953125,0.8349609375
124,17:28.6,0.76171875,0.83984375
125,17:28.6,0.7373046875,0.830078125
126,17:28.6,0.7568359375,0.830078125
127,17:28.6,0.7763671875,0.830078125
128,17:28.6,0.791015625,0.8203125
129,17:28.6,0.810546875,0.8154296875
130,17:28.6,0.8203125,0.8154296875
131,17:28.6,0.8154296875,0.8349609375
132,17:28.6,0.7861328125,0.83984375
133,17:28.6,0.78125,0.830078125
134,17:28.6,0.7861328125,0.8349609375
135,17:28.6,0.771484375,0.8251953125
136,17:28.6,0.791015625,0.830078125
137,17:28.6,0.7568359375,0.8349609375
138,17:28.6,0.76171875,0.8251953125
139,17:28.6,0.7763671875,0.8154296875
140,17:28.6,0.78125,0.8251953125
141,17:28.7,0.771484375,0.8349609375
142,17:28.7,0.7421875,0.83984375
143,17:28.7,0.7373046875,0.83984375
144,17:28.7,0.7421875,0.849609375
145,17:28.7,0.7275390625,0.83984375
146,17:28.7,0.7470703125,0.83984375
147,17:28.7,0.76171875,0.8349609375
148,17:28.7,0.76171875,0.8251953125
149,17:28.7,0.771484375,0.8203125
150,17:28.7,0.7666015625,0.8251953125
151,17:28.7,0.76171875,0.8447265625
152,17:28.7,0.7421875,0.8447265625
153,17:28.7,0.72265625,0.83984375
