,Waktu,Pipi,Alis
0,16:03.3,1.2158203125,2.98828125
1,16:03.4,1.201171875,3.017578125
2,16:03.4,1.1962890625,3.0419921875
3,16:03.4,1.1865234375,3.06640625
4,16:03.4,1.19140625,3.0859375
5,16:03.4,1.2060546875,3.1005859375
6,16:03.4,1.2158203125,3.1201171875
7,16:03.4,1.23046875,3.14453125
8,16:03.4,1.2451171875,3.1591796875
9,16:03.4,1.240234375,3.1640625
10,16:03.4,1.2255859375,3.1787109375
11,16:03.4,1.201171875,3.193359375
12,16:03.4,1.2109375,3.2080078125
13,16:03.4,1.1865234375,3.193359375
14,16:03.4,1.171875,3.203125
15,16:03.4,1.1865234375,3.232421875
16,16:03.4,1.171875,3.2470703125
17,16:03.4,1.1669921875,3.2666015625
18,16:03.4,1.1669921875,3.2861328125
19,16:03.4,1.1669921875,3.2861328125
20,16:03.4,1.1376953125,3.2861328125
21,16:03.4,1.15234375,3.2763671875
22,16:03.4,1.1279296875,3.2763671875
23,16:03.4,1.07421875,3.2666015625
24,16:03.4,1.083984375,3.271484375
25,16:03.5,1.0986328125,3.28125
26,16:03.5,1.1083984375,3.2861328125
27,16:03.5,1.083984375,3.2861328125
28,16:03.5,1.044921875,3.3056640625
29,16:03.5,1.0107421875,3.2958984375
30,16:03.5,0.986328125,3.2861328125
31,16:03.5,0.9814453125,3.28125
32,16:03.5,0.9814453125,3.2568359375
33,16:03.5,0.966796875,3.22265625
34,16:03.5,0.9765625,3.2080078125
35,16:03.5,0.986328125,3.2080078125
36,16:03.5,0.9765625,3.203125
37,16:03.5,0.9521484375,3.1884765625
38,16:03.5,0.947265625,3.193359375
39,16:03.5,0.908203125,3.1787109375
40,16:03.5,0.908203125,3.1591796875
41,16:03.5,0.9326171875,3.1396484375
42,16:03.5,0.9375,3.10546875
43,16:03.5,0.8935546875,3.0712890625
44,16:03.5,0.8935546875,3.0517578125
45,16:03.5,0.9130859375,3.0517578125
46,16:03.5,0.927734375,3.0419921875
47,16:03.5,0.9228515625,3.02734375
48,16:03.5,0.9228515625,3.0224609375
49,16:03.5,0.908203125,3.0029296875
50,16:03.5,0.87890625,2.98828125
51,16:03.6,0.8642578125,2.9736328125
52,16:03.6,0.8544921875,2.9248046875
53,16:03.6,0.849609375,2.8955078125
54,16:03.6,0.83984375,2.890625
55,16:03.6,0.8251953125,2.900390625
56,16:03.6,0.8251953125,2.900390625
57,16:03.6,0.830078125,2.900390625
58,16:03.6,0.8251953125,2.91015625
59,16:03.6,0.8203125,2.890625
60,16:03.6,0.80078125,2.861328125
