,STDEV1,AVG1,MDN1,STDEV2,AVG2,MDN2,EMOSI
0.00000,0.13113,0.12817,0.12085,0.04236,-0.01673,-0.02302,1.00000
1.00000,0.26766,0.37949,0.33977,0.18316,0.16816,0.15671,1.00000
2.00000,0.25759,0.37957,0.36345,0.47423,0.84325,0.64296,1.00000
3.00000,0.30271,0.41643,0.28858,0.01263,0.99850,0.99622,1.00000
4.00000,0.12709,0.10533,0.08246,12.89405,75.77456,69.90547,1.00000
5.00000,0.22960,0.33315,0.22864,0.01387,-0.21863,-0.21670,1.00000
6.00000,0.22910,0.42935,0.46132,2.06469,-0.58255,-0.90888,1.00000
7.00000,0.27938,0.50058,0.45642,0.60458,3.33116,3.17909,1.00000
8.00000,0.31726,0.40796,0.32816,0.15633,-1.91090,-1.91962,1.00000
9.00000,0.28625,0.68238,0.74181,0.60762,-2.37250,-2.36929,2.00000
10.00000,0.29686,0.48538,0.48695,0.38609,1.19952,1.06088,2.00000
11.00000,0.26512,0.31855,0.22336,0.29459,0.90379,0.92616,2.00000
12.00000,0.31146,0.54225,0.56590,0.13192,2.27507,2.23416,2.00000
13.00000,0.29716,0.29473,0.20258,0.58698,1.38012,1.29501,2.00000
14.00000,0.27929,0.43063,0.39013,0.48945,2.40455,2.38763,2.00000
15.00000,0.25711,0.54497,0.53609,0.00129,-2.11754,-2.11740,2.00000
16.00000,0.14105,0.21698,0.23203,0.48520,0.69610,0.63461,2.00000
17.00000,0.11648,0.13290,0.11814,1.49567,9.13547,9.44597,2.00000
18.00000,0.19593,0.73527,0.80331,0.76808,18.30213,18.48657,3.00000
19.00000,0.31121,0.54737,0.62210,0.17114,-5.39410,-5.42207,3.00000
20.00000,0.23728,0.50005,0.46127,0.12101,1.39341,1.45202,3.00000
21.00000,0.30594,0.59945,0.74761,10.16406,30.64714,29.17015,3.00000
22.00000,0.35750,0.47331,0.42136,0.09944,0.63149,0.62505,3.00000
23.00000,0.32216,0.47155,0.45066,0.05268,0.16840,0.17099,3.00000
24.00000,0.19885,0.65799,0.66777,0.29841,1.88719,1.87305,3.00000
25.00000,0.17958,0.30768,0.29917,0.49522,-3.12414,-3.02962,3.00000
26.00000,0.22644,0.37837,0.42159,0.03293,-2.91961,-2.90817,3.00000
27.00000,0.27294,0.49455,0.51454,0.24709,0.44251,0.37193,4.00000
28.00000,0.26602,0.43950,0.36350,0.29110,1.23563,1.25572,4.00000
29.00000,0.31298,0.54879,0.57040,0.39785,-0.38703,-0.44771,4.00000
30.00000,0.31412,0.43377,0.38585,0.12768,0.98763,0.99250,4.00000
31.00000,0.25099,0.52555,0.53514,0.25505,-0.56314,-0.57094,4.00000
32.00000,0.25990,0.52000,0.51206,0.15323,0.23009,0.24471,4.00000
33.00000,0.23174,0.64315,0.66525,0.09562,-1.43704,-1.46172,4.00000
34.00000,0.23712,0.47323,0.41202,1.43336,8.22123,7.98722,4.00000
35.00000,0.27613,0.47459,0.42950,0.36103,0.34515,0.37160,4.00000
