,Waktu,Pipi,Alis
0,15:19:20.632,,ÿ316.00
1,15:19:20.642,297.00,287.00
2,15:19:20.645,309.00,303.00
3,15:19:20.648,325.00,320.00
4,15:19:20.651,331.00,328.00
5,15:19:20.655,333.00,330.00
6,15:19:20.659,329.00,327.00
7,15:19:20.663,324.00,320.00
8,15:19:20.666,314.00,313.00
9,15:19:20.670,305.00,304.00
10,15:19:20.673,291.00,287.00
11,15:19:20.679,249.00,251.00
12,15:19:20.681,234.00,235.00
13,15:19:20.684,234.00,233.00
14,15:19:20.688,237.00,234.00
15,15:19:20.693,250.00,249.00
16,15:19:20.697,282.00,276.00
17,15:19:20.701,288.00,284.00
18,15:19:20.705,281.00,278.00
19,15:19:20.708,269.00,267.00
20,15:19:20.711,247.00,245.00
21,15:19:20.715,210.00,212.00
22,15:19:20.718,198.00,198.00
23,15:19:20.722,198.00,197.00
24,15:19:20.726,202.00,200.00
25,15:19:20.730,222.00,219.00
26,15:19:20.734,250.00,245.00
27,15:19:20.737,254.00,250.00
28,15:19:20.742,246.00,244.00
29,15:19:20.746,234.00,233.00
30,15:19:20.750,208.00,207.00
31,15:19:20.754,175.00,176.00
32,15:19:20.758,166.00,166.00
33,15:19:20.761,168.00,166.00
34,15:19:20.772,171.00,169.00
35,15:19:20.780,196.00,192.00
36,15:19:20.787,222.00,217.00
37,15:19:20.794,224.00,220.00
38,15:19:20.802,215.00,213.00
39,15:19:20.809,203.00,202.00
40,15:19:20.815,174.00,174.00
41,15:19:20.822,143.00,145.00
42,15:19:20.830,138.00,138.00
43,15:19:20.835,140.00,139.00
44,15:19:20.844,145.00,143.00
45,15:19:20.850,174.00,171.00
46,15:19:20.861,197.00,192.00
47,15:19:20.867,196.00,194.00
48,15:19:20.877,188.00,186.00
49,15:19:20.883,177.00,176.00
50,15:19:20.893,142.00,143.00
51,15:19:20.898,115.00,118.00
52,15:19:20.905,113.00,113.00
53,15:19:20.913,117.00,115.00
54,15:19:20.919,122.00,120.00
55,15:19:20.926,156.00,151.00
56,15:19:20.933,177.00,172.00
57,15:19:20.943,175.00,172.00
58,15:19:20.949,165.00,164.00
59,15:19:20.955,155.00,154.00
60,15:19:20.963,117.00,118.00
61,15:19:20.968,92.00,95.00
62,15:19:20.976,92.00,91.00
63,15:19:20.982,95.00,94.00
64,15:19:20.993,99.00,97.00
65,15:19:20.998,118.00,115.00
66,15:19:21.004,150.00,144.00
67,15:19:21.011,156.00,153.00
68,15:19:21.017,150.00,148.00
69,15:19:21.026,140.00,139.00
70,15:19:21.031,117.00,115.00
71,15:19:21.038,82.00,84.00
72,15:19:21.046,73.00,74.00
73,15:19:21.052,74.00,75.00
74,15:19:21.060,80.00,79.00
75,15:19:21.066,85.00,83.00
76,15:19:21.075,119.00,116.00
77,15:19:21.082,141.00,136.00
78,15:19:21.088,139.00,137.00
79,15:19:21.098,131.00,129.00
80,15:19:21.105,120.00,119.00
81,15:19:21.113,80.00,81.00
82,15:19:21.118,61.00,61.00
83,15:19:21.126,58.00,59.00
84,15:19:21.133,62.00,61.00
85,15:19:21.143,67.00,65.00
86,15:19:21.148,81.00,82.00
87,15:19:21.154,115.00,110.00
88,15:19:21.162,128.00,123.00
89,15:19:21.167,125.00,122.00
90,15:19:21.176,114.00,112.00
91,15:19:21.183,102.00,99.00
92,15:19:21.189,60.00,64.00
93,15:19:21.197,46.00,47.00
94,15:19:21.202,47.00,47.00
95,15:19:21.212,53.00,51.00
96,15:19:21.219,57.00,55.00
97,15:19:21.227,84.00,81.00
98,15:19:21.233,108.00,105.00
99,15:19:21.243,117.00,113.00
100,15:19:21.248,112.00,109.00
101,15:19:21.254,102.00,100.00
102,15:19:21.263,78.00,78.00
103,15:19:21.269,47.00,50.00
104,15:19:21.278,37.00,39.00
105,15:19:21.284,38.00,39.00
106,15:19:21.294,45.00,44.00
107,15:19:21.299,51.00,49.00
108,15:19:21.306,82.00,80.00
109,15:19:21.314,106.00,101.00
110,15:19:21.322,109.00,106.00
111,15:19:21.330,102.00,101.00
112,15:19:21.336,92.00,92.00
113,15:19:21.344,67.00,67.00
114,15:19:21.351,39.00,41.00
115,15:19:21.360,30.00,32.00
116,15:19:21.366,32.00,33.00
117,15:19:21.372,39.00,37.00
118,15:19:21.380,45.00,43.00
119,15:19:21.387,80.00,75.00
120,15:19:21.396,100.00,95.00
121,15:19:21.403,103.00,99.00
122,15:19:21.412,96.00,95.00
123,15:19:21.418,87.00,86.00
124,15:19:21.428,73.00,70.00
125,15:19:21.435,36.00,40.00
126,15:19:21.445,23.00,25.00
127,15:19:21.450,25.00,25.00
128,15:19:21.460,31.00,30.00
129,15:19:21.465,38.00,36.00
130,15:19:21.470,65.00,61.00
131,15:19:21.478,90.00,85.00
132,15:19:21.484,97.00,94.00
133,15:19:21.494,95.00,92.00
134,15:19:21.500,86.00,84.00
135,15:19:21.510,77.00,76.00
136,15:19:21.516,41.00,43.00
137,15:19:21.526,21.00,23.00
138,15:19:21.532,20.00,20.00
139,15:19:21.544,24.00,23.00
140,15:19:21.549,31.00,29.00
141,15:19:21.559,40.00,41.00
142,15:19:21.565,78.00,73.00
143,15:19:21.570,94.00,89.00
144,15:19:21.578,92.00,90.00
145,15:19:21.584,85.00,83.00
146,15:19:21.594,75.00,76.00
147,15:19:21.601,55.00,53.00
148,15:19:21.611,25.00,27.00
149,15:19:21.616,15.00,16.00
150,15:19:21.622,17.00,18.00
151,15:19:21.630,25.00,23.00
152,15:19:21.636,32.00,29.00
153,15:19:21.644,64.00,61.00
154,15:19:21.651,86.00,82.00
155,15:19:21.658,90.00,87.00
156,15:19:21.664,86.00,84.00
157,15:19:21.670,77.00,75.00
158,15:19:21.679,69.00,68.00
159,15:19:21.686,28.00,33.00
160,15:19:21.694,13.00,14.00
161,15:19:21.701,14.00,14.00
162,15:19:21.710,20.00,19.00
163,15:19:21.716,26.00,25.00
164,15:19:21.727,45.00,44.00
165,15:19:21.732,76.00,71.00
166,15:19:21.743,88.00,83.00
167,15:19:21.748,87.00,84.00
168,15:19:21.760,77.00,76.00
169,15:19:21.766,69.00,69.00
170,15:19:21.772,42.00,42.00
171,15:19:21.781,16.00,18.00
172,15:19:21.786,10.00,12.00
173,15:19:21.797,15.00,14.00
174,15:19:21.803,21.00,20.00
175,15:19:21.811,27.00,26.00
176,15:19:21.818,68.00,62.00
177,15:19:21.826,85.00,80.00
