,Waktu,Pipi,Alis
0,13:46:47.441,,ñ
1,13:46:47.967,277.00,239.00
2,13:46:47.982,261.00,251.00
3,13:46:47.985,262.00,257.00
4,13:46:47.988,311.00,309.00
5,13:46:47.992,377.00,370.00
6,13:46:47.995,407.00,402.00
7,13:46:47.999,422.00,416.00
8,13:46:48.002,419.00,415.00
9,13:46:48.005,411.00,406.00
10,13:46:48.009,387.00,385.00
11,13:46:48.013,357.00,356.00
12,13:46:48.017,280.00,280.00
13,13:46:48.025,192.00,199.00
14,13:46:48.032,185.00,186.00
15,13:46:48.038,195.00,193.00
16,13:46:48.046,208.00,205.00
17,13:46:48.053,310.00,300.00
18,13:46:48.061,381.00,367.00
19,13:46:48.069,379.00,374.00
20,13:46:48.077,349.00,348.00
21,13:46:48.085,316.00,317.00
22,13:46:48.095,225.00,230.00
23,13:46:48.102,150.00,159.00
24,13:46:48.112,149.00,151.00
25,13:46:48.119,163.00,161.00
26,13:46:48.128,177.00,174.00
27,13:46:48.135,291.00,281.00
28,13:46:48.143,350.00,337.00
29,13:46:48.151,347.00,342.00
30,13:46:48.160,313.00,312.00
31,13:46:48.167,280.00,281.00
32,13:46:48.175,178.00,184.00
33,13:46:48.182,117.00,126.00
34,13:46:48.192,119.00,120.00
35,13:46:48.198,135.00,133.00
36,13:46:48.205,149.00,147.00
37,13:46:48.213,277.00,260.00
38,13:46:48.221,322.00,309.00
39,13:46:48.229,318.00,312.00
40,13:46:48.236,279.00,279.00
41,13:46:48.244,249.00,249.00
42,13:46:48.250,138.00,148.00
43,13:46:48.260,86.00,96.00
44,13:46:48.266,90.00,91.00
45,13:46:48.274,104.00,103.00
46,13:46:48.278,119.00,117.00
47,13:46:48.286,234.00,224.00
48,13:46:48.295,294.00,282.00
49,13:46:48.301,292.00,287.00
50,13:46:48.308,259.00,258.00
51,13:46:48.314,227.00,228.00
52,13:46:48.318,124.00,130.00
53,13:46:48.325,61.00,71.00
54,13:46:48.330,64.00,67.00
55,13:46:48.336,76.00,76.00
56,13:46:48.342,90.00,88.00
57,13:46:48.347,156.00,154.00
58,13:46:48.352,252.00,240.00
59,13:46:48.359,269.00,262.00
60,13:46:48.364,252.00,247.00
61,13:46:48.368,217.00,217.00
62,13:46:48.377,158.00,155.00
63,13:46:48.385,57.00,66.00
64,13:46:48.392,41.00,46.00
65,13:46:48.398,48.00,50.00
66,13:46:48.402,62.00,62.00
67,13:46:48.408,76.00,79.00
68,13:46:48.413,197.00,188.00
69,13:46:48.419,252.00,240.00
70,13:46:48.425,249.00,245.00
71,13:46:48.430,216.00,215.00
72,13:46:48.436,184.00,185.00
73,13:46:48.444,74.00,86.00
74,13:46:48.449,21.00,31.00
75,13:46:48.459,24.00,27.00
76,13:46:48.464,36.00,36.00
77,13:46:48.469,51.00,49.00
78,13:46:48.476,109.00,108.00
79,13:46:48.481,213.00,199.00
80,13:46:48.488,235.00,227.00
81,13:46:48.498,220.00,215.00
82,13:46:48.502,185.00,185.00
