,Waktu,Pipi,Alis
0,15:37:14.443,303.00,268.00
1,15:37:14.447,284.00,274.00
2,15:37:14.450,280.00,275.00
3,15:37:14.454,280.00,280.00
4,15:37:14.457,303.00,300.00
5,15:37:14.460,315.00,312.00
6,15:37:14.463,323.00,319.00
7,15:37:14.466,320.00,316.00
8,15:37:14.469,315.00,314.00
9,15:37:14.474,306.00,305.00
10,15:37:14.477,295.00,294.00
11,15:37:14.480,272.00,271.00
12,15:37:14.484,235.00,237.00
13,15:37:14.489,223.00,223.00
14,15:37:14.492,224.00,222.00
15,15:37:14.496,227.00,225.00
16,15:37:14.499,248.00,245.00
17,15:37:14.503,276.00,270.00
18,15:37:14.507,279.00,275.00
19,15:37:14.510,270.00,268.00
20,15:37:14.514,258.00,256.00
21,15:37:14.517,230.00,229.00
22,15:37:14.520,197.00,197.00
23,15:37:14.524,187.00,187.00
24,15:37:14.528,190.00,188.00
25,15:37:14.531,193.00,191.00
26,15:37:14.534,219.00,215.00
27,15:37:14.537,244.00,240.00
28,15:37:14.541,245.00,242.00
29,15:37:14.545,236.00,234.00
30,15:37:14.548,224.00,222.00
31,15:37:14.551,192.00,192.00
32,15:37:14.554,161.00,163.00
33,15:37:14.557,156.00,156.00
34,15:37:14.560,160.00,158.00
35,15:37:14.565,164.00,161.00
36,15:37:14.570,193.00,189.00
37,15:37:14.578,217.00,212.00
38,15:37:14.583,216.00,213.00
39,15:37:14.590,206.00,204.00
40,15:37:14.597,195.00,193.00
41,15:37:14.603,159.00,160.00
42,15:37:14.610,132.00,134.00
43,15:37:14.615,129.00,129.00
44,15:37:14.620,133.00,132.00
45,15:37:14.628,138.00,135.00
46,15:37:14.633,173.00,167.00
47,15:37:14.641,192.00,187.00
48,15:37:14.647,191.00,188.00
49,15:37:14.653,180.00,179.00
50,15:37:14.661,169.00,168.00
51,15:37:14.667,130.00,131.00
52,15:37:14.675,106.00,108.00
53,15:37:14.681,105.00,105.00
54,15:37:14.692,110.00,109.00
55,15:37:14.697,116.00,113.00
56,15:37:14.702,155.00,151.00
57,15:37:14.709,172.00,167.00
58,15:37:14.715,170.00,167.00
59,15:37:14.726,158.00,157.00
60,15:37:14.731,148.00,147.00
61,15:37:14.737,104.00,108.00
62,15:37:14.744,85.00,87.00
63,15:37:14.750,85.00,85.00
64,15:37:14.758,89.00,88.00
65,15:37:14.764,93.00,92.00
66,15:37:14.769,116.00,115.00
67,15:37:14.776,147.00,142.00
68,15:37:14.782,152.00,149.00
69,15:37:14.787,144.00,143.00
70,15:37:14.795,134.00,133.00
71,15:37:14.802,106.00,106.00
72,15:37:14.809,74.00,76.00
73,15:37:14.815,67.00,68.00
74,15:37:14.821,70.00,70.00
75,15:37:14.827,75.00,74.00
76,15:37:14.833,80.00,79.00
77,15:37:14.840,121.00,116.00
78,15:37:14.847,139.00,133.00
79,15:37:14.853,136.00,134.00
80,15:37:14.861,126.00,124.00
81,15:37:14.867,115.00,114.00
82,15:37:14.875,72.00,76.00
83,15:37:14.881,54.00,55.00
84,15:37:14.887,53.00,54.00
85,15:37:14.896,58.00,57.00
86,15:37:14.901,64.00,62.00
87,15:37:14.909,82.00,80.00
88,15:37:14.915,113.00,108.00
