,Waktu,Pipi,Alis
0,13:28:03.219,4283.00,249.00
1,13:28:03.226,265.00,256.00
2,13:28:03.232,262.00,258.00
3,13:28:03.239,262.00,261.00
4,13:28:03.247,303.00,297.00
5,13:28:03.253,330.00,323.00
6,13:28:03.262,348.00,341.00
7,13:28:03.269,350.00,344.00
8,13:28:03.276,350.00,346.00
9,13:28:03.284,339.00,337.00
10,13:28:03.290,325.00,324.00
11,13:28:03.298,294.00,293.00
12,13:28:03.305,228.00,235.00
13,13:28:03.313,204.00,209.00
14,13:28:03.319,205.00,204.00
15,13:28:03.325,210.00,208.00
16,13:28:03.333,242.00,238.00
17,13:28:03.340,297.00,287.00
18,13:28:03.348,312.00,304.00
19,13:28:03.354,304.00,301.00
20,13:28:03.362,287.00,286.00
21,13:28:03.368,247.00,246.00
22,13:28:03.374,187.00,192.00
23,13:28:03.382,169.00,172.00
24,13:28:03.388,171.00,170.00
25,13:28:03.396,177.00,175.00
26,13:28:03.402,220.00,214.00
27,13:28:03.407,270.00,261.00
28,13:28:03.415,280.00,273.00
29,13:28:03.422,270.00,267.00
30,13:28:03.430,253.00,252.00
31,13:28:03.437,203.00,206.00
32,13:28:03.445,148.00,155.00
33,13:28:03.451,138.00,140.00
34,13:28:03.462,141.00,141.00
35,13:28:03.467,149.00,146.00
36,13:28:03.474,200.00,193.00
37,13:28:03.482,246.00,236.00
38,13:28:03.487,251.00,245.00
39,13:28:03.496,239.00,237.00
40,13:28:03.501,223.00,222.00
41,13:28:03.508,164.00,169.00
42,13:28:03.516,115.00,123.00
43,13:28:03.522,109.00,111.00
44,13:28:03.529,115.00,114.00
45,13:28:03.536,124.00,121.00
46,13:28:03.545,185.00,176.00
47,13:28:03.551,223.00,213.00
48,13:28:03.558,227.00,221.00
49,13:28:03.567,212.00,210.00
50,13:28:03.573,196.00,195.00
51,13:28:03.581,129.00,136.00
52,13:28:03.588,88.00,96.00
53,13:28:03.595,84.00,87.00
54,13:28:03.600,90.00,89.00
55,13:28:03.606,97.00,95.00
56,13:28:03.614,131.00,128.00
57,13:28:03.620,188.00,178.00
58,13:28:03.628,203.00,196.00
59,13:28:03.635,196.00,193.00
60,13:28:03.640,180.00,180.00
61,13:28:03.647,139.00,140.00
62,13:28:03.653,79.00,86.00
63,13:28:03.663,64.00,69.00
64,13:28:03.668,65.00,67.00
65,13:28:03.674,72.00,71.00
66,13:28:03.682,81.00,79.00
67,13:28:03.687,149.00,138.00
68,13:28:03.695,183.00,172.00
69,13:28:03.702,186.00,180.00
70,13:28:03.707,171.00,168.00
71,13:28:03.716,155.00,155.00
72,13:28:03.721,84.00,93.00
73,13:28:03.728,50.00,57.00
74,13:28:03.735,45.00,48.00
75,13:28:03.741,51.00,51.00
76,13:28:03.748,59.00,57.00
77,13:28:03.754,91.00,87.00
78,13:28:03.763,145.00,136.00
79,13:28:03.770,169.00,160.00
80,13:28:03.778,166.00,161.00
81,13:28:03.785,151.00,148.00
82,13:28:03.791,124.00,121.00
83,13:28:03.798,54.00,63.00
84,13:28:03.804,33.00,39.00
85,13:28:03.812,31.00,33.00
86,13:28:03.818,40.00,40.00
87,13:28:03.829,49.00,48.00
88,13:28:03.834,105.00,99.00
89,13:28:03.840,150.00,141.00
90,13:28:03.848,157.00,152.00
91,13:28:03.854,148.00,146.00
92,13:28:03.862,132.00,132.00
93,13:28:03.868,76.00,81.00
94,13:28:03.874,31.00,38.00
95,13:28:03.882,21.00,25.00
96,13:28:03.888,25.00,26.00
97,13:28:03.895,34.00,33.00
98,13:28:03.902,45.00,46.00
99,13:28:03.908,115.00,103.00
100,13:28:03.915,147.00,137.00
101,13:28:03.923,149.00,145.00
102,13:28:03.931,134.00,133.00
103,13:28:03.940,119.00,119.00
104,13:28:03.948,45.00,55.00
105,13:28:03.955,15.00,22.00
106,13:28:03.962,12.00,15.00
107,13:28:03.968,20.00,20.00
108,13:28:03.974,30.00,28.00
109,13:28:03.982,67.00,65.00
110,13:28:03.988,120.00,110.00
111,13:28:03.996,141.00,133.00
112,13:28:04.003,136.00,133.00
113,13:28:04.012,122.00,121.00
114,13:28:04.017,89.00,89.00
115,13:28:04.023,30.00,37.00
116,13:28:04.031,7.00,13.00
117,13:28:04.038,6.00,8.00
118,13:28:04.045,14.00,13.00
119,13:28:04.051,23.00,22.00
120,13:28:04.057,61.00,60.00
121,13:28:04.064,114.00,105.00
122,13:28:04.071,136.00,128.00
123,13:28:04.079,131.00,127.00
124,13:28:04.085,116.00,115.00
125,13:28:04.091,82.00,82.00
126,13:28:04.098,24.00,32.00
127,13:28:04.104,2.00,9.00
128,13:28:04.112,1.00,3.00
129,13:28:04.117,10.00,8.00
130,13:28:04.124,18.00,16.00
131,13:28:04.131,48.00,45.00
132,13:28:04.138,105.00,96.00
133,13:28:04.146,130.00,121.00
134,13:28:04.152,132.00,127.00
135,13:28:04.157,114.00,114.00
136,13:28:04.165,97.00,93.00
137,13:28:04.172,30.00,37.00
138,13:28:04.180,0.00,7.00
139,13:28:04.187,0.00,2.00
140,13:28:04.195,4.00,4.00
141,13:28:04.201,12.00,11.00
142,13:28:04.206,22.00,21.00
143,13:28:04.214,94.00,81.00
144,13:28:04.220,125.00,116.00
145,13:28:04.228,130.00,125.00
146,13:28:04.234,117.00,115.00
147,13:28:04.240,101.00,102.00
148,13:28:04.248,37.00,43.00
149,13:28:04.255,0.00,7.00
150,13:28:04.262,0.00,0.00
151,13:28:04.268,0.00,1.00
152,13:28:04.274,8.00,8.00
153,13:28:04.283,16.00,14.00
154,13:28:04.289,66.00,60.00
155,13:28:04.297,113.00,103.00
156,13:28:04.303,128.00,121.00
157,13:28:04.312,121.00,118.00
158,13:28:04.317,106.00,105.00
159,13:28:04.323,61.00,64.00
160,13:28:04.331,12.00,19.00
161,13:28:04.338,0.00,1.00
162,13:28:04.346,0.00,0.00
163,13:28:04.352,6.00,5.00
164,13:28:04.362,13.00,12.00
165,13:28:04.367,48.00,46.00
166,13:28:04.373,104.00,94.00
167,13:28:04.380,125.00,118.00
168,13:28:04.386,125.00,119.00
169,13:28:04.395,109.00,108.00
170,13:28:04.401,84.00,81.00
171,13:28:04.406,22.00,30.00
172,13:28:04.414,0.00,3.00
173,13:28:04.420,0.00,0.00
174,13:28:04.440,3.00,3.00
175,13:28:04.448,11.00,9.00
176,13:28:04.455,19.00,21.00
177,13:28:04.462,92.00,79.00
178,13:28:04.468,124.00,114.00
179,13:28:04.475,129.00,124.00
180,13:28:04.483,115.00,114.00
181,13:28:04.490,100.00,100.00
182,13:28:04.498,33.00,41.00
183,13:28:04.504,0.00,6.00
184,13:28:04.513,0.00,0.00
185,13:28:04.518,0.00,1.00
186,13:28:04.524,7.00,7.00
187,13:28:04.533,16.00,14.00
188,13:28:04.539,66.00,59.00
189,13:28:04.547,112.00,103.00
190,13:28:04.553,127.00,120.00
191,13:28:04.558,120.00,117.00
192,13:28:04.566,104.00,104.00
193,13:28:04.573,58.00,62.00
194,13:28:04.580,10.00,18.00
195,13:28:04.586,0.00,1.00
196,13:28:04.591,0.00,0.00
197,13:28:04.600,5.00,5.00
198,13:28:04.605,13.00,12.00
199,13:28:04.612,49.00,47.00
200,13:28:04.620,104.00,95.00
201,13:28:04.628,125.00,118.00
202,13:28:04.635,125.00,120.00
203,13:28:04.641,108.00,108.00
204,13:28:04.649,83.00,80.00
205,13:28:04.655,21.00,28.00
206,13:28:04.663,0.00,3.00
207,13:28:04.668,0.00,0.00
208,13:28:04.674,2.00,2.00
209,13:28:04.681,9.00,9.00
210,13:28:04.686,17.00,16.00
211,13:28:04.695,87.00,77.00
212,13:28:04.701,122.00,112.00
213,13:28:04.708,127.00,121.00
214,13:28:04.716,115.00,113.00
215,13:28:04.721,100.00,100.00
216,13:28:04.729,37.00,42.00
217,13:28:04.734,0.00,6.00
218,13:28:04.745,0.00,0.00
219,13:28:04.750,0.00,0.00
220,13:28:04.756,6.00,6.00
221,13:28:04.764,14.00,12.00
222,13:28:04.770,61.00,56.00
223,13:28:04.779,109.00,100.00
224,13:28:04.785,127.00,119.00
225,13:28:04.791,120.00,117.00
226,13:28:04.799,104.00,104.00
227,13:28:04.806,62.00,63.00
228,13:28:04.813,11.00,19.00
229,13:28:04.819,0.00,1.00
230,13:28:04.828,0.00,0.00
231,13:28:04.834,5.00,4.00
232,13:28:04.839,12.00,11.00
233,13:28:04.846,46.00,42.00
234,13:28:04.852,101.00,92.00
235,13:28:04.862,124.00,116.00
236,13:28:04.868,126.00,120.00
237,13:28:04.874,108.00,108.00
238,13:28:04.883,87.00,84.00
239,13:28:04.890,22.00,30.00
240,13:28:04.897,0.00,2.00
241,13:28:04.904,0.00,0.00
242,13:28:04.913,2.00,2.00
243,13:28:04.918,9.00,8.00
244,13:28:04.924,17.00,15.00
245,13:28:04.932,82.00,74.00
246,13:28:04.937,120.00,111.00
247,13:28:04.946,127.00,122.00
248,13:28:04.952,116.00,114.00
249,13:28:04.962,100.00,100.00
250,13:28:04.968,40.00,46.00
251,13:28:04.975,0.00,7.00
252,13:28:04.983,0.00,0.00
253,13:28:04.990,0.00,0.00
254,13:28:04.998,5.00,5.00
255,13:28:05.004,13.00,12.00
256,13:28:05.011,57.00,53.00
257,13:28:05.018,106.00,97.00
258,13:28:05.024,125.00,118.00
259,13:28:05.032,122.00,118.00
260,13:28:05.038,106.00,105.00
261,13:28:05.047,74.00,73.00
262,13:28:05.053,16.00,23.00
263,13:28:05.063,0.00,1.00
264,13:28:05.067,0.00,0.00
265,13:28:05.074,3.00,2.00
266,13:28:05.081,10.00,9.00
267,13:28:05.087,28.00,28.00
268,13:28:05.096,93.00,83.00
269,13:28:05.101,122.00,113.00
270,13:28:05.107,128.00,123.00
271,13:28:05.115,112.00,111.00
272,13:28:05.120,97.00,97.00
273,13:28:05.129,33.00,40.00
274,13:28:05.135,0.00,5.00
275,13:28:05.146,0.00,0.00
276,13:28:05.151,0.00,0.00
277,13:28:05.156,7.00,5.00
278,13:28:05.165,14.00,13.00
279,13:28:05.175,63.00,57.00
280,13:28:05.182,109.00,100.00
281,13:28:05.187,126.00,119.00
282,13:28:05.195,119.00,116.00
283,13:28:05.200,104.00,103.00
284,13:28:05.206,60.00,62.00
285,13:28:05.213,9.00,17.00
286,13:28:05.219,0.00,0.00
287,13:28:05.225,0.00,0.00
288,13:28:05.232,3.00,3.00
289,13:28:05.238,11.00,10.00
290,13:28:05.246,41.00,39.00
291,13:28:05.252,99.00,89.00
292,13:28:05.258,122.00,115.00
293,13:28:05.266,127.00,121.00
294,13:28:05.272,109.00,108.00
295,13:28:05.280,95.00,93.00
296,13:28:05.285,25.00,34.00
297,13:28:05.291,0.00,3.00
298,13:28:05.298,0.00,0.00
299,13:28:05.304,1.00,1.00
300,13:28:05.312,8.00,7.00
301,13:28:05.316,15.00,15.00
302,13:28:05.322,74.00,67.00
303,13:28:05.330,117.00,107.00
304,13:28:05.336,126.00,120.00
