,Waktu,Pipi,Alis
0,15:18:13.578,.310.00,273.00
1,15:18:13.583,290.00,279.00
2,15:18:13.587,285.00,280.00
3,15:18:13.590,283.00,282.00
4,15:18:13.594,305.00,303.00
5,15:18:13.598,318.00,315.00
6,15:18:13.601,326.00,322.00
7,15:18:13.605,324.00,320.00
8,15:18:13.609,320.00,318.00
9,15:18:13.614,311.00,310.00
10,15:18:13.617,301.00,299.00
11,15:18:13.620,280.00,278.00
12,15:18:13.623,242.00,243.00
13,15:18:13.628,229.00,229.00
14,15:18:13.631,229.00,227.00
15,15:18:13.635,231.00,229.00
16,15:18:13.638,249.00,247.00
17,15:18:13.641,278.00,273.00
18,15:18:13.645,283.00,279.00
19,15:18:13.649,275.00,273.00
20,15:18:13.652,263.00,262.00
21,15:18:13.655,239.00,237.00
22,15:18:13.659,204.00,204.00
23,15:18:13.664,193.00,193.00
24,15:18:13.667,195.00,193.00
25,15:18:13.671,198.00,196.00
26,15:18:13.675,221.00,217.00
27,15:18:13.680,247.00,242.00
28,15:18:13.683,249.00,246.00
29,15:18:13.687,241.00,239.00
30,15:18:13.690,229.00,228.00
31,15:18:13.695,199.00,199.00
32,15:18:13.699,168.00,169.00
33,15:18:13.703,161.00,161.00
34,15:18:13.712,164.00,162.00
35,15:18:13.717,168.00,165.00
36,15:18:13.725,196.00,192.00
37,15:18:13.733,220.00,214.00
38,15:18:13.739,220.00,216.00
39,15:18:13.747,210.00,208.00
40,15:18:13.754,199.00,198.00
41,15:18:13.762,166.00,165.00
42,15:18:13.767,137.00,139.00
43,15:18:13.774,134.00,134.00
44,15:18:13.783,137.00,135.00
45,15:18:13.790,141.00,139.00
46,15:18:13.799,174.00,169.00
47,15:18:13.805,195.00,190.00
48,15:18:13.812,194.00,191.00
49,15:18:13.820,184.00,182.00
50,15:18:13.830,173.00,172.00
51,15:18:13.838,137.00,138.00
52,15:18:13.846,111.00,113.00
53,15:18:13.854,110.00,109.00
54,15:18:13.861,115.00,113.00
55,15:18:13.869,119.00,117.00
56,15:18:13.875,158.00,153.00
57,15:18:13.884,174.00,169.00
58,15:18:13.889,172.00,169.00
59,15:18:13.897,161.00,160.00
60,15:18:13.904,151.00,150.00
61,15:18:13.913,110.00,112.00
62,15:18:13.919,89.00,91.00
63,15:18:13.925,89.00,89.00
64,15:18:13.932,93.00,92.00
65,15:18:13.939,97.00,95.00
66,15:18:13.948,119.00,117.00
67,15:18:13.954,149.00,145.00
68,15:18:13.961,153.00,151.00
69,15:18:13.968,147.00,145.00
70,15:18:13.979,137.00,135.00
71,15:18:13.986,110.00,110.00
72,15:18:13.992,79.00,80.00
73,15:18:14.000,71.00,72.00
74,15:18:14.007,73.00,73.00
75,15:18:14.014,78.00,77.00
76,15:18:14.019,82.00,82.00
77,15:18:14.029,124.00,117.00
78,15:18:14.035,140.00,134.00
79,15:18:14.042,137.00,135.00
80,15:18:14.050,128.00,126.00
81,15:18:14.057,117.00,117.00
82,15:18:14.067,74.00,78.00
83,15:18:14.073,57.00,59.00
84,15:18:14.082,57.00,57.00
85,15:18:14.088,61.00,60.00
86,15:18:14.096,67.00,64.00
87,15:18:14.101,86.00,83.00
88,15:18:14.107,116.00,111.00
89,15:18:14.113,126.00,122.00
90,15:18:14.120,122.00,119.00
91,15:18:14.125,112.00,111.00
92,15:18:14.133,96.00,93.00
93,15:18:14.140,60.00,62.00
94,15:18:14.146,44.00,47.00
95,15:18:14.151,45.00,46.00
96,15:18:14.158,52.00,50.00
97,15:18:14.166,56.00,55.00
98,15:18:14.172,84.00,80.00
99,15:18:14.179,108.00,104.00
100,15:18:14.185,116.00,113.00
101,15:18:14.192,110.00,108.00
102,15:18:14.200,100.00,99.00
103,15:18:14.205,78.00,78.00
104,15:18:14.213,48.00,49.00
105,15:18:14.218,35.00,37.00
106,15:18:14.224,37.00,37.00
107,15:18:14.231,43.00,42.00
108,15:18:14.237,49.00,47.00
109,15:18:14.247,78.00,76.00
110,15:18:14.255,104.00,99.00
111,15:18:14.263,108.00,104.00
112,15:18:14.270,101.00,100.00
113,15:18:14.275,91.00,91.00
114,15:18:14.283,71.00,70.00
115,15:18:14.289,39.00,42.00
116,15:18:14.296,28.00,30.00
117,15:18:14.302,30.00,30.00
118,15:18:14.307,36.00,35.00
119,15:18:14.318,43.00,40.00
120,15:18:14.323,73.00,69.00
121,15:18:14.331,96.00,92.00
122,15:18:14.337,102.00,98.00
123,15:18:14.346,96.00,95.00
124,15:18:14.352,88.00,87.00
125,15:18:14.359,80.00,78.00
126,15:18:14.367,39.00,42.00
127,15:18:14.373,21.00,24.00
128,15:18:14.385,24.00,23.00
129,15:18:14.390,28.00,28.00
130,15:18:14.397,34.00,33.00
131,15:18:14.404,54.00,53.00
132,15:18:14.413,85.00,81.00
133,15:18:14.419,96.00,92.00
134,15:18:14.424,95.00,93.00
135,15:18:14.433,87.00,85.00
136,15:18:14.438,78.00,76.00
137,15:18:14.447,48.00,49.00
138,15:18:14.452,24.00,25.00
139,15:18:14.458,18.00,18.00
140,15:18:14.467,21.00,21.00
141,15:18:14.473,28.00,26.00
142,15:18:14.482,33.00,33.00
143,15:18:14.489,73.00,68.00
144,15:18:14.496,91.00,87.00
145,15:18:14.504,92.00,89.00
146,15:18:14.508,85.00,84.00
147,15:18:14.516,78.00,76.00
148,15:18:14.523,64.00,61.00
149,15:18:14.530,27.00,30.00
150,15:18:14.536,14.00,16.00
151,15:18:14.542,15.00,16.00
152,15:18:14.550,23.00,21.00
153,15:18:14.556,29.00,27.00
154,15:18:14.567,54.00,52.00
155,15:18:14.572,81.00,77.00
156,15:18:14.580,89.00,86.00
157,15:18:14.586,87.00,84.00
158,15:18:14.596,78.00,77.00
159,15:18:14.602,69.00,68.00
160,15:18:14.608,34.00,37.00
161,15:18:14.617,14.00,16.00
162,15:18:14.624,12.00,13.00
163,15:18:14.632,18.00,16.00
164,15:18:14.639,24.00,23.00
165,15:18:14.647,34.00,35.00
166,15:18:14.653,72.00,67.00
167,15:18:14.664,88.00,82.00
168,15:18:14.669,87.00,84.00
169,15:18:14.675,79.00,78.00
170,15:18:14.682,71.00,70.00
171,15:18:14.692,51.00,48.00
172,15:18:14.699,19.00,22.00
173,15:18:14.706,10.00,12.00
174,15:18:14.713,13.00,13.00
175,15:18:14.720,20.00,18.00
176,15:18:14.729,26.00,25.00
177,15:18:14.735,59.00,55.00
178,15:18:14.742,82.00,77.00
179,15:18:14.751,86.00,82.00
180,15:18:14.756,82.00,79.00
181,15:18:14.764,73.00,72.00
182,15:18:14.771,65.00,64.00
183,15:18:14.779,24.00,28.00
184,15:18:14.785,8.00,11.00
185,15:18:14.792,10.00,11.00
186,15:18:14.799,15.00,15.00
187,15:18:14.805,21.00,21.00
188,15:18:14.813,37.00,37.00
189,15:18:14.822,71.00,67.00
190,15:18:14.830,84.00,80.00
191,15:18:14.836,84.00,81.00
192,15:18:14.847,76.00,74.00
193,15:18:14.852,68.00,66.00
194,15:18:14.858,42.00,41.00
195,15:18:14.867,14.00,17.00
196,15:18:14.873,8.00,9.00
197,15:18:14.881,10.00,10.00
198,15:18:14.887,17.00,15.00
199,15:18:14.897,24.00,22.00
200,15:18:14.902,55.00,52.00
201,15:18:14.914,79.00,74.00
202,15:18:14.919,84.00,80.00
203,15:18:14.925,80.00,77.00
204,15:18:14.934,72.00,71.00
205,15:18:14.942,63.00,63.00
206,15:18:14.949,24.00,26.00
207,15:18:14.955,7.00,10.00
208,15:18:14.963,9.00,9.00
209,15:18:14.969,12.00,12.00
210,15:18:14.975,18.00,18.00
211,15:18:14.982,26.00,28.00
212,15:18:14.988,67.00,62.00
213,15:18:14.997,83.00,78.00
214,15:18:15.002,83.00,80.00
215,15:18:15.008,76.00,74.00
216,15:18:15.016,67.00,67.00
217,15:18:15.021,49.00,48.00
218,15:18:15.030,17.00,20.00
219,15:18:15.037,6.00,9.00
220,15:18:15.042,8.00,9.00
221,15:18:15.050,14.00,13.00
222,15:18:15.055,20.00,19.00
223,15:18:15.063,40.00,40.00
224,15:18:15.069,71.00,67.00
225,15:18:15.079,83.00,78.00
226,15:18:15.085,82.00,79.00
227,15:18:15.091,73.00,72.00
228,15:18:15.099,64.00,63.00
229,15:18:15.105,37.00,37.00
230,15:18:15.112,12.00,14.00
231,15:18:15.117,6.00,8.00
232,15:18:15.123,9.00,9.00
233,15:18:15.130,14.00,14.00
234,15:18:15.135,21.00,20.00
235,15:18:15.141,51.00,49.00
236,15:18:15.149,75.00,72.00
237,15:18:15.154,81.00,78.00
238,15:18:15.162,79.00,76.00
239,15:18:15.167,70.00,69.00
240,15:18:15.173,62.00,61.00
241,15:18:15.181,25.00,26.00
242,15:18:15.187,6.00,8.00
243,15:18:15.197,6.00,7.00
244,15:18:15.202,9.00,9.00
245,15:18:15.208,15.00,13.00
246,15:18:15.216,22.00,20.00
247,15:18:15.222,56.00,52.00
248,15:18:15.230,77.00,73.00
249,15:18:15.235,80.00,77.00
250,15:18:15.240,76.00,74.00
251,15:18:15.247,68.00,66.00
252,15:18:15.255,60.00,58.00
253,15:18:15.262,21.00,24.00
254,15:18:15.269,4.00,7.00
255,15:18:15.279,6.00,6.00
256,15:18:15.284,9.00,10.00
257,15:18:15.291,16.00,15.00
258,15:18:15.300,23.00,23.00
259,15:18:15.306,64.00,59.00
260,15:18:15.314,80.00,76.00
261,15:18:15.321,80.00,78.00
262,15:18:15.329,74.00,73.00
263,15:18:15.336,65.00,65.00
264,15:18:15.341,50.00,48.00
265,15:18:15.350,16.00,19.00
266,15:18:15.357,4.00,7.00
267,15:18:15.368,6.00,6.00
268,15:18:15.374,11.00,11.00
269,15:18:15.383,17.00,18.00
270,15:18:15.389,35.00,35.00
271,15:18:15.397,68.00,64.00
272,15:18:15.403,81.00,77.00
273,15:18:15.413,81.00,78.00
274,15:18:15.418,72.00,70.00
275,15:18:15.425,64.00,63.00
276,15:18:15.434,39.00,38.00
277,15:18:15.441,11.00,14.00
278,15:18:15.448,5.00,6.00
279,15:18:15.454,7.00,8.00
280,15:18:15.464,13.00,12.00
281,15:18:15.470,19.00,18.00
282,15:18:15.478,48.00,45.00
283,15:18:15.484,72.00,70.00
284,15:18:15.491,80.00,76.00
285,15:18:15.499,78.00,75.00
286,15:18:15.506,69.00,68.00
287,15:18:15.514,60.00,60.00
288,15:18:15.519,27.00,27.00
289,15:18:15.525,6.00,8.00
290,15:18:15.533,5.00,6.00
291,15:18:15.539,8.00,8.00
292,15:18:15.546,13.00,13.00
293,15:18:15.553,20.00,18.00
294,15:18:15.558,53.00,50.00
295,15:18:15.567,75.00,71.00
296,15:18:15.574,80.00,77.00
