,pipi
0,
1,400.00
2,400.00
3,402.00
4,401.00
5,402.00
6,401.00
7,399.00
8,398.00
9,397.00
10,377.00
11,354.00
12,391.00
13,340.00
14,393.00
15,348.00
16,359.00
17,378.00
18,338.00
19,387.00
20,333.00
21,374.00
22,364.00
23,339.00
24,377.00
25,327.00
26,379.00
27,336.00
28,344.00
29,365.00
30,325.00
31,375.00
32,320.00
33,361.00
34,353.00
35,327.00
36,366.00
37,315.00
38,367.00
39,326.00
40,331.00
41,355.00
42,314.00
43,364.00
44,310.00
45,349.00
46,344.00
47,316.00
48,356.00
49,304.00
50,357.00
51,317.00
52,320.00
53,346.00
54,304.00
55,355.00
56,301.00
57,339.00
58,336.00
59,306.00
60,347.00
61,295.00
62,348.00
63,309.00
64,309.00
65,337.00
66,295.00
67,347.00
68,292.00
69,329.00
70,328.00
71,298.00
72,340.00
73,287.00
74,339.00
75,303.00
76,301.00
77,330.00
78,287.00
79,339.00
80,285.00
81,320.00
82,321.00
83,290.00
84,333.00
85,280.00
86,332.00
87,297.00
88,293.00
89,323.00
90,279.00
91,332.00
92,279.00
93,312.00
94,315.00
95,282.00
96,326.00
97,273.00
98,325.00
99,292.00
100,286.00
101,317.00
102,273.00
103,326.00
104,273.00
105,304.00
106,309.00
107,276.00
108,320.00
109,267.00
110,318.00
111,288.00
112,280.00
113,312.00
114,267.00
115,320.00
116,268.00
117,297.00
118,304.00
119,270.00
120,315.00
121,262.00
122,312.00
123,285.00
124,274.00
125,307.00
126,261.00
127,314.00
128,263.00
129,290.00
130,299.00
131,264.00
132,310.00
133,257.00
134,307.00
135,281.00
136,269.00
137,303.00
138,256.00
139,309.00
140,260.00
141,284.00
142,295.00
143,259.00
144,306.00
145,253.00
146,301.00
147,278.00
148,264.00
149,299.00
150,252.00
151,305.00
152,257.00
153,279.00
154,291.00
155,255.00
156,303.00
157,249.00
158,296.00
159,276.00
160,260.00
161,296.00
162,248.00
163,301.00
164,254.00
165,273.00
166,287.00
167,250.00
168,298.00
169,245.00
170,290.00
171,272.00
172,254.00
173,289.00
174,242.00
175,295.00
176,248.00
177,265.00
178,279.00
179,243.00
180,291.00
181,238.00
182,282.00
183,267.00
184,247.00
185,284.00
186,236.00
187,289.00
188,244.00
189,259.00
190,275.00
191,238.00
192,287.00
193,234.00
194,278.00
195,265.00
196,243.00
197,281.00
198,232.00
199,286.00
200,242.00
201,254.00
202,273.00
203,235.00
204,286.00
205,232.00
206,275.00
207,267.00
208,243.00
209,283.00
210,233.00
211,287.00
212,245.00
213,254.00
214,277.00
215,237.00
216,288.00
217,235.00
218,276.00
219,270.00
220,244.00
221,285.00
222,234.00
223,287.00
224,247.00
225,253.00
226,278.00
227,237.00
228,288.00
229,234.00
230,274.00
231,271.00
232,242.00
233,284.00
234,233.00
235,287.00
236,247.00
237,250.00
238,278.00
239,236.00
240,289.00
241,235.00
242,274.00
243,272.00
244,242.00
245,285.00
246,233.00
247,286.00
248,249.00
249,248.00
250,278.00
251,235.00
252,288.00
253,234.00
254,272.00
255,271.00
256,240.00
257,284.00
258,231.00
