,Waktu,Pipi,Alis
0,37:50.3,1.20117,3.60352
1,37:50.4,1.19141,3.64746
2,37:50.4,1.18164,3.63281
3,37:50.4,1.19629,3.60352
4,37:50.4,1.21094,3.53516
5,37:50.4,1.20117,3.64746
6,37:50.4,1.21582,3.57422
7,37:50.5,1.21582,3.5791
8,37:50.5,1.23535,3.64746
9,37:50.5,1.2207,3.59863
10,37:50.5,1.20117,3.50586
11,37:50.5,1.22559,3.48145
12,37:50.5,1.20605,3.59375
13,37:50.6,1.19141,3.63281
14,37:50.6,1.21094,3.6084
15,37:50.6,1.21582,3.55469
16,37:50.6,1.23535,3.60352
17,37:50.6,1.24512,3.66699
18,37:50.7,1.21582,3.58887
19,37:50.7,1.2207,3.51563
20,37:50.7,1.22559,3.55957
21,37:50.7,1.20117,3.65234
22,37:50.7,1.20605,3.68164
23,37:50.7,1.23047,3.62305
24,37:50.8,1.22559,3.61328
25,37:50.8,1.25488,3.68652
26,37:50.8,1.23535,3.67188
27,37:50.8,1.21094,3.5791
28,37:50.8,1.23535,3.53516
29,37:50.8,1.22559,3.61816
30,37:50.9,1.20605,3.65234
31,37:50.9,1.2207,3.65234
32,37:50.9,1.22559,3.56934
33,37:50.9,1.23047,3.58887
34,37:50.9,1.24023,3.65234
35,37:51.0,1.21094,3.58887
36,37:51.0,1.20605,3.51563
37,37:51.0,1.2207,3.51563
38,37:51.0,1.18652,3.59863
39,37:51.0,1.19141,3.63281
40,37:51.0,1.21094,3.58887
41,37:51.1,1.21094,3.5498
42,37:51.1,1.23535,3.59375
43,37:51.1,1.23535,3.61816
44,37:51.1,1.20117,3.53027
45,37:51.1,1.2207,3.47168
46,37:51.1,1.21582,3.55469
47,37:51.2,1.19141,3.61328
48,37:51.2,1.20605,3.62793
49,37:51.2,1.22559,3.56445
50,37:51.2,1.22559,3.5791
51,37:51.2,1.24512,3.65723
52,37:51.3,1.2207,3.62793
53,37:51.3,1.21094,3.54492
54,37:51.3,1.23535,3.52539
55,37:51.3,1.21094,3.62793
56,37:51.3,1.19629,3.66699
57,37:51.3,1.21582,3.64746
58,37:51.4,1.22559,3.59375
59,37:51.4,1.23535,3.62793
60,37:51.4,1.23535,3.67676
61,37:51.4,1.20605,3.59375
62,37:51.4,1.21582,3.53516
63,37:51.4,1.2207,3.58398
64,37:51.5,1.19629,3.64258
65,37:51.5,1.20117,3.66699
66,37:51.5,1.21094,3.59863
67,37:51.5,1.21582,3.58398
68,37:51.5,1.23535,3.64746
69,37:51.6,1.2207,3.64746
70,37:51.6,1.19629,3.5498
71,37:51.6,1.21582,3.49121
72,37:51.6,1.20117,3.57422
73,37:51.6,1.18652,3.62305
74,37:51.6,1.20117,3.62793
75,37:51.7,1.21094,3.56445
76,37:51.7,1.21582,3.5791
77,37:51.7,1.22559,3.64746
78,37:51.7,1.20117,3.58887
79,37:51.7,1.20605,3.51074
80,37:51.8,1.2207,3.52539
81,37:51.8,1.20605,3.6084
82,37:51.8,1.19629,3.64746
83,37:51.8,1.20605,3.6084
84,37:51.8,1.2207,3.58887
85,37:51.8,1.24512,3.64746
86,37:51.9,1.23535,3.67188
87,37:51.9,1.21094,3.58398
88,37:51.9,1.22559,3.53027
89,37:51.9,1.21582,3.60352
90,37:51.9,1.20117,3.66211
91,37:51.9,1.21094,3.68164
92,37:52.0,1.2207,3.61328
93,37:52.0,1.23047,3.61328
94,37:52.0,1.23535,3.67676
95,37:52.0,1.21094,3.6377
96,37:52.0,1.20605,3.55469
97,37:52.1,1.2207,3.53027
98,37:52.1,1.19629,3.6084
99,37:52.1,1.18652,3.64258
100,37:52.1,1.19629,3.61816
101,37:52.1,1.21582,3.56934
102,37:52.1,1.22559,3.59863
103,37:52.2,1.2207,3.65723
104,37:52.2,1.20117,3.57422
105,37:52.2,1.21582,3.51074
106,37:52.2,1.21094,3.55469
107,37:52.2,1.19629,3.62305
108,37:52.2,1.20605,3.64746
109,37:52.3,1.21582,3.59863
110,37:52.3,1.2207,3.58398
111,37:52.3,1.24023,3.64746
112,37:52.3,1.23047,3.66699
113,37:52.3,1.21094,3.56445
114,37:52.4,1.23047,3.53516
115,37:52.4,1.21094,3.61816
116,37:52.4,1.20117,3.66699
117,37:52.4,1.21582,3.66699
118,37:52.4,1.23535,3.61816
119,37:52.4,1.24512,3.62793
120,37:52.5,1.25,3.69629
121,37:52.5,1.2207,3.62793
122,37:52.5,1.22559,3.5498
123,37:52.5,1.22559,3.56445
124,37:52.5,1.20605,3.6377
125,37:52.5,1.20605,3.68164
126,37:52.6,1.21094,3.63281
127,37:52.6,1.21582,3.59863
128,37:52.6,1.23047,3.62305
129,37:52.6,1.21582,3.65723
130,37:52.6,1.19629,3.55957
131,37:52.7,1.2207,3.51563
132,37:52.7,1.20605,3.57422
133,37:52.7,1.19141,3.63281
134,37:52.7,1.19629,3.6377
135,37:52.7,1.21582,3.58398
136,37:52.7,1.22559,3.58398
137,37:52.8,1.23535,3.66699
138,37:52.8,1.21582,3.63281
139,37:52.8,1.21582,3.54492
140,37:52.8,1.22559,3.53516
141,37:52.8,1.20605,3.62305
142,37:52.8,1.20117,3.65723
143,37:52.9,1.21094,3.64746
144,37:52.9,1.23047,3.6084
145,37:52.9,1.24512,3.63281
146,37:52.9,1.23535,3.69629
147,37:52.9,1.21094,3.60352
148,37:53.0,1.22559,3.55469
149,37:53.0,1.2207,3.59863
150,37:53.0,1.20605,3.66211
151,37:53.0,1.20605,3.67676
152,37:53.0,1.2207,3.62305
153,37:53.0,1.23047,3.61328
154,37:53.1,1.24512,3.66211
155,37:53.1,1.22559,3.66211
156,37:53.1,1.21094,3.55957
157,37:53.1,1.22559,3.53027
158,37:53.1,1.20605,3.60352
159,37:53.1,1.19629,3.66211
160,37:53.2,1.20117,3.65723
161,37:53.2,1.2207,3.60352
162,37:53.2,1.23047,3.58887
163,37:53.2,1.23047,3.66211
164,37:53.2,1.21094,3.60352
165,37:53.3,1.21582,3.54004
166,37:53.3,1.21582,3.5498
