,Waktu,Pipi,Alis
0,25:37.1,1.36719,1.74805
1,25:37.1,1.37695,1.7627
2,25:37.1,1.3623,1.77734
3,25:37.2,1.34766,1.7627
4,25:37.2,1.34277,1.7334
5,25:37.2,1.37695,1.7627
6,25:37.2,1.37207,1.7334
7,25:37.2,1.37695,1.74805
8,25:37.2,1.3623,1.69922
9,25:37.3,1.35254,1.66992
10,25:37.3,1.37207,1.66504
11,25:37.3,1.35254,1.69434
12,25:37.3,1.33789,1.72852
13,25:37.3,1.3623,1.73828
14,25:37.3,1.3623,1.71387
15,25:37.3,1.37695,1.69434
16,25:37.4,1.38184,1.71387
17,25:37.4,1.3623,1.66992
18,25:37.4,1.37207,1.64063
19,25:37.4,1.37695,1.66504
20,25:37.5,1.34766,1.69434
21,25:37.5,1.35742,1.7334
22,25:37.5,1.38672,1.73828
23,25:37.5,1.37207,1.71875
24,25:37.5,1.3916,1.72363
25,25:37.5,1.37695,1.71875
26,25:37.6,1.3623,1.66992
27,25:37.6,1.38672,1.65039
28,25:37.6,1.36719,1.69922
29,25:37.6,1.33789,1.72852
30,25:37.6,1.3623,1.76758
31,25:37.6,1.38184,1.74805
32,25:37.7,1.38184,1.71875
33,25:37.7,1.3916,1.74805
34,25:37.7,1.36719,1.71387
35,25:37.7,1.3623,1.66992
36,25:37.7,1.37695,1.66992
37,25:37.8,1.35254,1.69434
38,25:37.8,1.34277,1.72852
39,25:37.8,1.37207,1.75293
40,25:37.8,1.36719,1.7334
41,25:37.8,1.38184,1.7041
42,25:37.8,1.38184,1.72852
43,25:37.8,1.35742,1.6748
44,25:37.8,1.36719,1.64063
45,25:37.9,1.37207,1.6748
46,25:37.9,1.33301,1.69922
47,25:37.9,1.34277,1.7334
48,25:38.0,1.3623,1.72852
49,25:38.0,1.35742,1.7041
50,25:38.0,1.38184,1.71387
51,25:38.0,1.3623,1.71387
52,25:38.0,1.34277,1.65527
53,25:38.0,1.37207,1.64063
54,25:38.1,1.35254,1.67969
55,25:38.1,1.32813,1.70898
56,25:38.1,1.35254,1.75293
57,25:38.1,1.36719,1.73828
58,25:38.1,1.37207,1.71875
59,25:38.1,1.38184,1.74316
60,25:38.2,1.3623,1.69922
61,25:38.2,1.3623,1.66016
62,25:38.2,1.37695,1.66992
63,25:38.2,1.35254,1.69922
64,25:38.2,1.34277,1.73828
65,25:38.3,1.37207,1.75781
66,25:38.3,1.36719,1.73828
67,25:38.3,1.3916,1.72363
68,25:38.3,1.38672,1.73828
69,25:38.3,1.35254,1.67969
70,25:38.3,1.37695,1.65527
71,25:38.4,1.37207,1.68457
72,25:38.4,1.33789,1.7041
73,25:38.4,1.35742,1.74316
74,25:38.4,1.37207,1.74805
75,25:38.4,1.36719,1.72852
76,25:38.4,1.3916,1.72852
77,25:38.5,1.37695,1.72852
78,25:38.5,1.35254,1.66992
79,25:38.5,1.38672,1.64551
80,25:38.5,1.3623,1.67969
81,25:38.5,1.33789,1.71387
82,25:38.6,1.3623,1.75781
83,25:38.6,1.37207,1.7334
84,25:38.6,1.37695,1.71387
85,25:38.6,1.3916,1.7334
86,25:38.6,1.3623,1.69434
87,25:38.6,1.36719,1.66016
88,25:38.7,1.38184,1.6748
89,25:38.7,1.34766,1.69434
90,25:38.7,1.35254,1.7334
91,25:38.7,1.37207,1.75781
92,25:38.7,1.37207,1.73828
93,25:38.7,1.3916,1.72852
94,25:38.8,1.38184,1.74316
95,25:38.8,1.35254,1.67969
96,25:38.8,1.38184,1.65527
97,25:38.8,1.37695,1.68457
98,25:38.8,1.34277,1.70898
99,25:38.9,1.3623,1.74805
100,25:38.9,1.36719,1.74316
101,25:38.9,1.37207,1.72363
102,25:38.9,1.3916,1.71387
103,25:38.9,1.37207,1.72363
104,25:38.9,1.35742,1.66504
105,25:39.0,1.38184,1.65039
106,25:39.0,1.3623,1.67969
107,25:39.0,1.34277,1.71875
108,25:39.0,1.37207,1.76758
109,25:39.0,1.38184,1.75293
110,25:39.0,1.38672,1.72852
111,25:39.1,1.39648,1.74316
112,25:39.1,1.36719,1.69922
113,25:39.1,1.37695,1.66504
114,25:39.1,1.38672,1.68457
115,25:39.1,1.3623,1.69922
116,25:39.2,1.35742,1.73828
117,25:39.2,1.37207,1.75781
118,25:39.2,1.38184,1.74805
119,25:39.2,1.40625,1.73828
120,25:39.2,1.38672,1.76758
121,25:39.2,1.35742,1.7041
122,25:39.2,1.38184,1.67969
123,25:39.2,1.37207,1.7041
124,25:39.3,1.34277,1.72852
125,25:39.3,1.35742,1.77734
126,25:39.3,1.36719,1.76758
127,25:39.3,1.36719,1.74316
128,25:39.4,1.38184,1.72852
129,25:39.4,1.3623,1.72852
130,25:39.4,1.35742,1.67969
131,25:39.4,1.38184,1.66016
132,25:39.4,1.35742,1.67969
133,25:39.5,1.34277,1.71875
134,25:39.5,1.35742,1.74805
135,25:39.5,1.36719,1.7334
136,25:39.5,1.37695,1.71875
137,25:39.5,1.38184,1.74316
138,25:39.5,1.35742,1.7041
139,25:39.5,1.36719,1.66504
140,25:39.6,1.37207,1.66016
141,25:39.6,1.34766,1.67969
142,25:39.6,1.34766,1.72852
143,25:39.6,1.3623,1.74316
144,25:39.6,1.37207,1.7334
145,25:39.6,1.38672,1.71875
146,25:39.7,1.37207,1.7334
147,25:39.7,1.35254,1.6748
148,25:39.7,1.37695,1.65039
149,25:39.7,1.36719,1.66992
150,25:39.7,1.34277,1.69922
151,25:39.7,1.34766,1.7334
152,25:39.8,1.3623,1.72363
153,25:39.8,1.36719,1.71387
154,25:39.8,1.38672,1.71387
155,25:39.8,1.36719,1.71387
156,25:39.8,1.36719,1.66016
157,25:39.8,1.38184,1.63574
158,25:39.9,1.36719,1.66504
159,25:39.9,1.34766,1.7041
160,25:39.9,1.35254,1.74316
161,25:39.9,1.37207,1.72852
162,25:39.9,1.37207,1.70898
163,25:40.0,1.36719,1.70898
164,25:40.0,1.34766,1.6748
165,25:40.0,1.3623,1.64551
166,25:40.0,1.35742,1.65039
167,25:40.0,1.33301,1.6748
168,25:40.0,1.32813,1.71875
169,25:40.1,1.33789,1.7334
170,25:40.1,1.35254,1.72363
171,25:40.1,1.3623,1.69434
172,25:40.1,1.35254,1.72852
173,25:40.1,1.33789,1.66992
174,25:40.1,1.35742,1.65527
175,25:40.2,1.34277,1.66992
176,25:40.2,1.33301,1.69922
177,25:40.2,1.33789,1.74805
178,25:40.2,1.35254,1.74316
179,25:40.2,1.35742,1.71875
180,25:40.3,1.3623,1.71387
181,25:40.3,1.34277,1.71387
182,25:40.3,1.34277,1.66016
183,25:40.3,1.35742,1.64551
184,25:40.3,1.33789,1.66992
185,25:40.3,1.31836,1.69922
186,25:40.4,1.32813,1.72852
187,25:40.4,1.35254,1.71387
188,25:40.4,1.34766,1.6748
189,25:40.4,1.34766,1.7041
190,25:40.4,1.33301,1.66016
191,25:40.4,1.34277,1.63574
192,25:40.5,1.33789,1.64063
193,25:40.5,1.32324,1.66016
194,25:40.5,1.31348,1.7041
195,25:40.5,1.33301,1.72852
196,25:40.6,1.34277,1.7041
197,25:40.6,1.34766,1.6748
198,25:40.6,1.34277,1.70898
199,25:40.6,1.33301,1.64551
200,25:40.6,1.34766,1.64551
201,25:40.6,1.33789,1.66504
202,25:40.6,1.32324,1.69434
203,25:40.7,1.31836,1.7334
204,25:40.7,1.34766,1.73828
205,25:40.7,1.35742,1.71387
206,25:40.7,1.36719,1.71875
207,25:40.7,1.35254,1.70898
208,25:40.8,1.34766,1.65039
209,25:40.8,1.35254,1.63086
210,25:40.8,1.34277,1.65527
211,25:40.8,1.32324,1.69922
212,25:40.8,1.33789,1.73828
213,25:40.8,1.36719,1.7334
214,25:40.9,1.35742,1.69434
215,25:40.9,1.36719,1.72363
216,25:40.9,1.35742,1.68457
217,25:40.9,1.35742,1.6748
218,25:40.9,1.35254,1.66504
219,25:40.9,1.33789,1.67969
220,25:41.0,1.31836,1.70898
221,25:41.0,1.33789,1.72363
222,25:41.0,1.34766,1.70898
223,25:41.0,1.35254,1.68945
224,25:41.0,1.35254,1.70898
225,25:41.1,1.33301,1.64551
226,25:41.1,1.34277,1.63574
227,25:41.1,1.33789,1.64551
228,25:41.1,1.32324,1.68457
229,25:41.1,1.32324,1.72852
230,25:41.1,1.34766,1.71875
231,25:41.2,1.34277,1.68945
232,25:41.2,1.3623,1.7041
233,25:41.2,1.34766,1.69922
234,25:41.2,1.33789,1.65527
235,25:41.2,1.34766,1.64063
236,25:41.2,1.34277,1.66992
237,25:41.3,1.31348,1.7041
238,25:41.3,1.33301,1.73828
239,25:41.3,1.35742,1.72852
240,25:41.3,1.34766,1.7041
241,25:41.3,1.3623,1.72852
242,25:41.4,1.34277,1.6748
243,25:41.4,1.34766,1.65039
244,25:41.4,1.34766,1.64063
245,25:41.4,1.33301,1.66992
246,25:41.4,1.31836,1.7041
247,25:41.4,1.34766,1.72363
248,25:41.5,1.34277,1.69922
249,25:41.5,1.35742,1.68457
250,25:41.5,1.35742,1.70898
251,25:41.5,1.33789,1.65527
252,25:41.5,1.34766,1.62109
253,25:41.5,1.34277,1.64551
254,25:41.6,1.31836,1.66992
255,25:41.6,1.31836,1.71875
256,25:41.6,1.34766,1.71387
257,25:41.6,1.34277,1.68945
258,25:41.6,1.3623,1.69922
259,25:41.7,1.35254,1.68945
260,25:41.7,1.33789,1.65527
261,25:41.7,1.34766,1.64551
262,25:41.7,1.34277,1.68945
263,25:41.7,1.31348,1.72852
264,25:41.7,1.33301,1.7627
265,25:41.8,1.35742,1.74316
266,25:41.8,1.35254,1.71387
267,25:41.8,1.36719,1.74805
268,25:41.8,1.35254,1.7041
269,25:41.8,1.35254,1.66992
270,25:41.8,1.3623,1.66992
271,25:41.9,1.34277,1.69434
272,25:41.9,1.32813,1.72852
273,25:41.9,1.37207,1.74316
274,25:41.9,1.35742,1.71875
275,25:41.9,1.37207,1.70898
276,25:42.0,1.36719,1.72363
277,25:42.0,1.33789,1.66016
278,25:42.0,1.35254,1.63086
279,25:42.0,1.35254,1.65039
280,25:42.0,1.32813,1.68457
281,25:42.0,1.33789,1.72363
282,25:42.1,1.35742,1.71875
283,25:42.1,1.35254,1.68945
284,25:42.1,1.37695,1.70898
285,25:42.1,1.3623,1.68945
286,25:42.1,1.34277,1.64063
287,25:42.1,1.3623,1.62109
288,25:42.2,1.35254,1.66016
289,25:42.2,1.32324,1.68457
290,25:42.2,1.34766,1.72363
291,25:42.2,1.3623,1.7041
292,25:42.2,1.3623,1.68945
293,25:42.3,1.36719,1.72363
294,25:42.3,1.34766,1.6748
295,25:42.3,1.34277,1.64063
296,25:42.3,1.3623,1.64063
297,25:42.3,1.33301,1.68945
298,25:42.3,1.33301,1.72852
299,25:42.4,1.35742,1.74316
300,25:42.4,1.35254,1.71875
301,25:42.4,1.36719,1.70898
302,25:42.4,1.3623,1.72852
303,25:42.4,1.33789,1.6748
304,25:42.5,1.35742,1.65527
305,25:42.5,1.35254,1.69434
306,25:42.5,1.32324,1.71387
307,25:42.5,1.33301,1.74805
308,25:42.5,1.3623,1.73828
309,25:42.5,1.35254,1.70898
310,25:42.6,1.37207,1.71875
311,25:42.6,1.35254,1.70898
312,25:42.6,1.33789,1.66016
313,25:42.6,1.35742,1.64063
314,25:42.6,1.33789,1.67969
315,25:42.6,1.30859,1.7041
316,25:42.7,1.33789,1.73828
317,25:42.7,1.34766,1.71387
318,25:42.7,1.35254,1.68945
319,25:42.7,1.3623,1.71875
320,25:42.7,1.33789,1.68457
321,25:42.8,1.34277,1.65039
322,25:42.8,1.35742,1.66016
323,25:42.8,1.32813,1.68457
324,25:42.8,1.32324,1.71875
325,25:42.8,1.35254,1.73828
326,25:42.8,1.35254,1.72852
327,25:42.9,1.37207,1.72363
328,25:42.9,1.37207,1.75781
329,25:42.9,1.34277,1.68457
330,25:42.9,1.3623,1.65039
331,25:42.9,1.3623,1.68457
332,25:42.9,1.32813,1.70898
333,25:43.0,1.33789,1.75293
334,25:43.0,1.35742,1.73828
335,25:43.0,1.34766,1.71387
336,25:43.0,1.37695,1.72852
337,25:43.0,1.3623,1.70898
338,25:43.1,1.34277,1.65039
339,25:43.1,1.36719,1.63574
340,25:43.1,1.34277,1.66992
341,25:43.1,1.32324,1.69922
342,25:43.1,1.34766,1.73828
343,25:43.1,1.35742,1.71875
344,25:43.2,1.3623,1.69922
345,25:43.2,1.36719,1.71875
346,25:43.2,1.34277,1.66504
347,25:43.2,1.34277,1.63086
348,25:43.2,1.35742,1.65039
349,25:43.2,1.32324,1.66992
350,25:43.3,1.32813,1.71387
351,25:43.3,1.35254,1.72852
352,25:43.3,1.34277,1.70898
353,25:43.3,1.36719,1.69922
354,25:43.3,1.35742,1.71875
355,25:43.4,1.32813,1.65527
356,25:43.4,1.35742,1.64063
357,25:43.4,1.34277,1.6748
358,25:43.4,1.31836,1.69434
359,25:43.4,1.34277,1.74316
360,25:43.4,1.35254,1.73828
361,25:43.5,1.35254,1.71875
362,25:43.5,1.37207,1.7334
363,25:43.5,1.34766,1.71875
364,25:43.5,1.34277,1.66016
365,25:43.5,1.3623,1.66504
366,25:43.5,1.34277,1.69434
367,25:43.6,1.32324,1.7334
368,25:43.6,1.34766,1.7627
369,25:43.6,1.3623,1.7334
370,25:43.6,1.37207,1.70898
371,25:43.6,1.36719,1.7334
372,25:43.7,1.34277,1.69922
373,25:43.7,1.35254,1.66992
374,25:43.7,1.3623,1.68945
375,25:43.7,1.32813,1.69434
376,25:43.7,1.33301,1.74316
377,25:43.7,1.34766,1.74316
378,25:43.8,1.35254,1.7334
379,25:43.8,1.37207,1.71875
380,25:43.8,1.3623,1.72852
381,25:43.8,1.33789,1.66016
382,25:43.8,1.36719,1.63574
383,25:43.8,1.35254,1.6748
384,25:43.9,1.32813,1.70898
385,25:43.9,1.35254,1.74805
386,25:43.9,1.35742,1.7334
387,25:43.9,1.36719,1.70898
388,25:43.9,1.37695,1.72363
389,25:44.0,1.34766,1.70898
390,25:44.0,1.34766,1.66016
391,25:44.0,1.36719,1.66016
392,25:44.0,1.33301,1.6748
393,25:44.0,1.32324,1.72363
394,25:44.0,1.34277,1.75293
395,25:44.1,1.35742,1.7334
396,25:44.1,1.36719,1.70898
397,25:44.1,1.3623,1.72852
398,25:44.1,1.33301,1.66992
399,25:44.1,1.35254,1.64551
400,25:44.2,1.35254,1.6748
401,25:44.2,1.33301,1.68945
402,25:44.2,1.33301,1.7334
403,25:44.2,1.34277,1.7334
404,25:44.2,1.34766,1.71875
405,25:44.2,1.36719,1.7041
406,25:44.3,1.34766,1.71875
407,25:44.3,1.32813,1.65527
408,25:44.3,1.35742,1.64063
409,25:44.3,1.33301,1.66016
410,25:44.3,1.31836,1.69434
411,25:44.3,1.33301,1.73828
412,25:44.4,1.34766,1.71875
413,25:44.4,1.35742,1.69922
414,25:44.4,1.35742,1.70898
415,25:44.4,1.33789,1.69434
416,25:44.4,1.34277,1.66016
417,25:44.5,1.3623,1.67969
418,25:44.5,1.33301,1.68945
419,25:44.5,1.32324,1.7334
420,25:44.5,1.33789,1.75293
421,25:44.5,1.35254,1.73828
422,25:44.5,1.3623,1.71387
423,25:44.6,1.35742,1.7334
424,25:44.6,1.33301,1.68457
425,25:44.6,1.35254,1.66504
426,25:44.6,1.34277,1.67969
427,25:44.6,1.32813,1.69922
428,25:44.6,1.33301,1.74316
429,25:44.7,1.34277,1.73828
430,25:44.7,1.34277,1.72363
431,25:44.7,1.35742,1.7041
432,25:44.7,1.33789,1.71387
433,25:44.7,1.33789,1.65527
434,25:44.8,1.35254,1.64063
435,25:44.8,1.33301,1.66016
436,25:44.8,1.31348,1.69434
437,25:44.8,1.32324,1.72852
438,25:44.8,1.35254,1.71875
439,25:44.8,1.35742,1.7041
440,25:44.9,1.35742,1.71875
441,25:44.9,1.33789,1.68945
442,25:44.9,1.34277,1.65039
443,25:44.9,1.35254,1.65039
444,25:44.9,1.33789,1.6748
445,25:44.9,1.32813,1.72363
446,25:45.0,1.33789,1.74316
447,25:45.0,1.35254,1.72852
448,25:45.0,1.35254,1.69922
449,25:45.0,1.35254,1.73828
450,25:45.0,1.33301,1.68457
451,25:45.1,1.35742,1.6748
452,25:45.1,1.34766,1.6748
453,25:45.1,1.32813,1.69434
454,25:45.1,1.32813,1.72852
455,25:45.1,1.34277,1.72852
456,25:45.1,1.34766,1.71387
457,25:45.2,1.35742,1.7041
458,25:45.2,1.34277,1.71387
459,25:45.2,1.33301,1.65527
460,25:45.2,1.35254,1.62109
461,25:45.2,1.33789,1.64551
462,25:45.2,1.32324,1.68945
463,25:45.3,1.32813,1.7334
464,25:45.3,1.35254,1.71875
465,25:45.3,1.35742,1.68945
466,25:45.3,1.35254,1.70898
467,25:45.3,1.33301,1.67969
468,25:45.4,1.34277,1.65039
469,25:45.4,1.34766,1.64551
470,25:45.4,1.33301,1.6748
471,25:45.4,1.32324,1.71387
472,25:45.4,1.33789,1.7334
473,25:45.4,1.35742,1.72852
474,25:45.5,1.35742,1.69922
475,25:45.5,1.35254,1.73828
476,25:45.5,1.33789,1.67969
477,25:45.5,1.35254,1.65039
478,25:45.5,1.34766,1.65039
479,25:45.5,1.33301,1.6748
480,25:45.6,1.32813,1.71875
481,25:45.6,1.35254,1.71387
