,Waktu,Pipi,Alis
0,30:02.6,0.89844,2.16309
1,30:02.7,0.89844,2.16309
2,30:02.7,0.89355,2.14355
3,30:02.7,0.88867,2.10449
4,30:02.7,0.88867,2.09961
5,30:02.7,0.89355,2.15332
6,30:02.7,0.87402,2.07031
7,30:02.8,0.88379,2.05566
8,30:02.8,0.87891,2.08008
9,30:02.8,0.87402,2.11426
10,30:02.8,0.87402,2.12891
11,30:02.8,0.88379,2.09473
12,30:02.8,0.88379,2.08496
13,30:02.9,0.89355,2.13867
14,30:02.9,0.88379,2.11426
15,30:02.9,0.87402,2.07031
16,30:02.9,0.87891,2.0752
17,30:02.9,0.88379,2.12402
18,30:03.0,0.87402,2.13379
19,30:03.0,0.87891,2.13867
20,30:03.0,0.89355,2.10938
21,30:03.0,0.89355,2.14355
22,30:03.0,0.89844,2.18262
23,30:03.0,0.87891,2.11426
24,30:03.1,0.87891,2.08496
25,30:03.1,0.87402,2.09473
26,30:03.1,0.87402,2.15332
27,30:03.1,0.87891,2.1582
28,30:03.1,0.88867,2.12891
29,30:03.1,0.88867,2.10449
30,30:03.2,0.89844,2.14355
31,30:03.2,0.89355,2.14355
32,30:03.2,0.87891,2.08496
33,30:03.2,0.88379,2.06543
34,30:03.2,0.87402,2.10938
35,30:03.3,0.86914,2.11426
36,30:03.3,0.86914,2.11914
37,30:03.3,0.88867,2.08496
38,30:03.3,0.89844,2.09961
39,30:03.3,0.89844,2.14355
40,30:03.3,0.88867,2.09961
41,30:03.4,0.88379,2.08008
42,30:03.4,0.88379,2.08984
43,30:03.4,0.88379,2.14844
44,30:03.4,0.87891,2.15332
45,30:03.4,0.88867,2.13867
46,30:03.4,0.88867,2.11426
47,30:03.5,0.89355,2.15332
48,30:03.5,0.89355,2.17773
49,30:03.5,0.88379,2.10938
50,30:03.5,0.88379,2.08984
51,30:03.5,0.87891,2.13379
52,30:03.6,0.87402,2.1582
53,30:03.6,0.87891,2.17285
54,30:03.6,0.88867,2.13379
55,30:03.6,0.89355,2.13379
56,30:03.6,0.90332,2.19727
57,30:03.6,0.88867,2.1582
58,30:03.7,0.87891,2.09961
59,30:03.7,0.88379,2.08008
60,30:03.7,0.87891,2.13379
61,30:03.7,0.87402,2.14355
62,30:03.7,0.88379,2.14355
63,30:03.7,0.88867,2.09961
64,30:03.8,0.89844,2.12891
65,30:03.8,0.89355,2.1582
66,30:03.8,0.87891,2.08984
