,Waktu,Pipi,Alis
0,11:38.1,3.18848,0.70801
1,11:38.1,3.20313,0.69824
2,11:38.1,3.20801,0.69336
3,11:38.2,3.1543,0.68359
4,11:38.2,3.16406,0.67871
5,11:38.2,3.18848,0.63477
6,11:38.2,3.16406,0.5957
7,11:38.2,3.12988,0.55664
8,11:38.2,3.15918,0.53223
9,11:38.3,3.2373,0.50293
10,11:38.3,3.26172,0.46875
11,11:38.3,3.21777,0.44434
12,11:38.3,3.14453,0.43457
13,11:38.3,3.25684,0.4248
14,11:38.3,3.20801,0.41016
15,11:38.4,3.18848,0.40039
16,11:38.4,3.16895,0.39551
17,11:38.4,3.23242,0.38574
18,11:38.4,3.33496,0.36621
19,11:38.4,3.29102,0.36133
20,11:38.5,3.21777,0.36133
21,11:38.5,3.19824,0.35645
22,11:38.5,3.25195,0.35156
23,11:38.5,3.22266,0.35645
24,11:38.5,3.18359,0.36133
25,11:38.5,3.18848,0.36621
26,11:38.6,3.26172,0.36621
27,11:38.6,3.2959,0.37598
28,11:38.6,3.24219,0.38086
29,11:38.6,3.19336,0.38086
30,11:38.6,3.2959,0.38086
31,11:38.6,3.27148,0.37598
32,11:38.7,3.25684,0.38574
33,11:38.7,3.22754,0.38574
34,11:38.7,3.25195,0.38574
35,11:38.7,3.30566,0.39063
36,11:38.7,3.29102,0.39551
37,11:38.8,3.21777,0.40039
38,11:38.8,3.18848,0.41016
39,11:38.8,3.25684,0.40527
40,11:38.8,3.20313,0.41504
41,11:38.8,3.17383,0.41504
42,11:38.8,3.16895,0.41504
43,11:38.9,3.25195,0.41504
44,11:38.9,3.33496,0.42969
45,11:38.9,3.2959,0.43457
46,11:38.9,3.27637,0.43457
47,11:38.9,3.34473,0.43457
48,11:39.0,3.35938,0.43457
49,11:39.0,3.34961,0.43457
50,11:39.0,3.28125,0.43457
51,11:39.0,3.2959,0.43457
52,11:39.0,3.36914,0.42969
53,11:39.0,3.42285,0.43457
54,11:39.1,3.38379,0.44434
55,11:39.1,3.33496,0.44434
56,11:39.1,3.36914,0.43945
57,11:39.1,3.28125,0.44434
58,11:39.1,3.26172,0.43945
59,11:39.1,3.26172,0.43457
60,11:39.2,3.38867,0.43457
61,11:39.2,3.47168,0.42969
62,11:39.2,3.39844,0.43457
63,11:39.2,3.31055,0.43945
64,11:39.2,3.25195,0.43945
65,11:39.3,3.2959,0.43945
66,11:39.3,3.29102,0.44434
67,11:39.3,3.28613,0.4541
68,11:39.3,3.36426,0.44922
69,11:39.3,3.44727,0.44434
70,11:39.3,3.45703,0.44434
71,11:39.4,3.35938,0.44922
72,11:39.4,3.2666,0.44434
73,11:39.4,3.26172,0.44434
