,Waktu,Pipi,Alis
0,06:43.5,2.10449,0.67871
1,06:43.6,2.09961,0.66406
2,06:43.6,2.10938,0.66406
3,06:43.6,2.10449,0.65918
4,06:43.6,2.0752,0.6543
5,06:43.7,2.0752,0.61035
6,06:43.7,2.03125,0.56641
7,06:43.7,1.98242,0.53711
8,06:43.7,1.95312,0.50293
9,06:43.7,1.92871,0.46387
10,06:43.7,1.9043,0.44434
11,06:43.8,1.83594,0.42969
12,06:43.8,1.79199,0.41504
13,06:43.8,1.7627,0.40039
14,06:43.8,1.76758,0.39063
15,06:43.8,1.78223,0.38086
16,06:43.9,1.77246,0.37109
17,06:43.9,1.77734,0.35645
18,06:43.9,1.80176,0.35156
19,06:43.9,1.77246,0.34668
20,06:43.9,1.72852,0.3418
21,06:43.9,1.74316,0.33691
22,06:44.0,1.7334,0.33691
23,06:44.0,1.7627,0.33203
24,06:44.0,1.77734,0.33203
25,06:44.0,1.75781,0.33691
26,06:44.0,1.72363,0.33203
27,06:44.0,1.72363,0.33691
28,06:44.1,1.68457,0.34668
29,06:44.1,1.66504,0.35156
30,06:44.1,1.66992,0.34668
31,06:44.1,1.68457,0.36133
32,06:44.1,1.7041,0.36133
33,06:44.2,1.72363,0.36621
34,06:44.2,1.74805,0.36621
35,06:44.2,1.74316,0.37109
36,06:44.2,1.74316,0.37109
37,06:44.2,1.69922,0.37598
38,06:44.2,1.7041,0.39063
39,06:44.3,1.68457,0.39551
40,06:44.3,1.71387,0.40527
41,06:44.3,1.73828,0.40039
42,06:44.3,1.74316,0.40527
43,06:44.3,1.73828,0.40039
44,06:44.3,1.7627,0.41016
45,06:44.3,1.70898,0.41504
46,06:44.3,1.67969,0.41992
47,06:44.4,1.68945,0.41504
48,06:44.4,1.7041,0.41992
49,06:44.4,1.71875,0.41992
50,06:44.4,1.73828,0.41504
51,06:44.4,1.72363,0.41504
52,06:44.5,1.73828,0.41504
53,06:44.5,1.74316,0.41504
54,06:44.5,1.70898,0.41992
55,06:44.5,1.70898,0.4248
56,06:44.5,1.68457,0.4248
57,06:44.5,1.71875,0.42969
58,06:44.6,1.72852,0.42969
59,06:44.6,1.77734,0.4248
60,06:44.6,1.78223,0.42969
61,06:44.6,1.79688,0.42969
62,06:44.7,1.77246,0.42969
63,06:44.7,1.73828,0.43457
64,06:44.7,1.7627,0.42969
65,06:44.7,1.75781,0.43457
66,06:44.7,1.76758,0.42969
67,06:44.8,1.79688,0.43457
68,06:44.8,1.81152,0.44434
69,06:44.8,1.81641,0.44434
70,06:44.8,1.82129,0.44434
71,06:44.8,1.77734,0.44434
72,06:44.8,1.75781,0.43945
73,06:44.9,1.73828,0.43945
74,06:44.9,1.75781,0.43457
75,06:44.9,1.7627,0.42969
76,06:44.9,1.76758,0.42969
77,06:44.9,1.76758,0.43457
78,06:44.9,1.77734,0.42969
79,06:44.9,1.79199,0.43457
80,06:45.0,1.72852,0.43457
81,06:45.0,1.69922,0.44434
82,06:45.0,1.69922,0.44434
83,06:45.0,1.7334,0.43945
84,06:45.1,1.72363,0.43457
85,06:45.1,1.72852,0.4248
86,06:45.1,1.72363,0.41992
87,06:45.1,1.76758,0.4248
88,06:45.1,1.71875,0.42969
89,06:45.1,1.72363,0.43457
90,06:45.1,1.81641,0.42969
91,06:45.1,1.86523,0.4248
92,06:45.2,1.94824,0.41504
93,06:45.2,2.04102,0.41992
94,06:45.2,2.27539,0.4248
95,06:45.2,2.56348,0.41504
96,06:45.3,3.01758,0.41016
97,06:45.3,3.57422,0.39551
98,06:45.3,4.16016,0.38086
99,06:45.3,4.63867,0.36621
100,06:45.3,4.69727,0.36133
101,06:45.4,4.69727,0.35645
102,06:45.4,4.69727,0.35645
103,06:45.4,4.69238,0.35645
104,06:45.4,4.69727,0.36133
105,06:45.4,4.69727,0.37109
106,06:45.4,4.69727,0.37598
107,06:45.5,4.69727,0.37598
108,06:45.5,4.69727,0.37598
109,06:45.5,4.69727,0.37598
110,06:45.5,4.69727,0.38086
111,06:45.5,4.69727,0.38574
112,06:45.5,4.69727,0.38574
113,06:45.5,4.69727,0.40039
114,06:45.6,4.69727,0.39063
115,06:45.6,4.69727,0.39551
116,06:45.6,4.69727,0.40039
117,06:45.6,4.61426,0.39551
118,06:45.7,4.39941,0.39063
119,06:45.7,4.16504,0.39063
120,06:45.7,3.95508,0.39551
121,06:45.7,3.77441,0.40527
122,06:45.7,3.67676,0.41992
123,06:45.7,3.6377,0.42969
124,06:45.7,3.49121,0.42969
125,06:45.8,3.22754,0.43945
126,06:45.8,3.02246,0.43945
127,06:45.8,2.79785,0.43945
128,06:45.8,2.59277,0.43945
129,06:45.8,2.41211,0.43945
130,06:45.9,2.31445,0.44434
131,06:45.9,2.16309,0.44434
132,06:45.9,2.0166,0.44922
133,06:45.9,1.89941,0.4541
134,06:45.9,1.82617,0.4541
135,06:45.9,1.79199,0.4541
136,06:45.9,1.77734,0.44922
137,06:46.0,1.80176,0.44434
138,06:46.0,1.82129,0.44434
139,06:46.0,1.76758,0.44434
140,06:46.0,1.67969,0.44434
141,06:46.0,1.63574,0.43945
142,06:46.0,1.6748,0.43457
143,06:46.1,1.74316,0.4248
144,06:46.1,1.81641,0.4248
145,06:46.1,1.92871,0.43457
146,06:46.1,2.02148,0.4248
147,06:46.2,2.08008,0.41992
148,06:46.2,2.02637,0.41016
149,06:46.2,1.97266,0.40527
150,06:46.2,1.98242,0.39551
151,06:46.2,2.06055,0.39063
152,06:46.2,2.13379,0.38574
153,06:46.2,2.21191,0.38086
154,06:46.3,2.25586,0.38086
155,06:46.3,2.25586,0.38574
156,06:46.3,2.10449,0.39063
157,06:46.3,1.91895,0.40527
158,06:46.3,1.7627,0.41016
159,06:46.4,1.66992,0.41992
160,06:46.4,1.63574,0.4248
161,06:46.4,1.69434,0.41992
162,06:46.4,1.84082,0.41504
163,06:46.4,2.02637,0.41016
164,06:46.4,2.20215,0.41016
165,06:46.5,2.25586,0.40039
166,06:46.5,2.29492,0.39551
167,06:46.5,2.37305,0.38574
168,06:46.5,2.51465,0.37598
169,06:46.5,2.58301,0.37598
170,06:46.5,2.66602,0.37598
171,06:46.6,2.72461,0.37109
172,06:46.6,2.76367,0.37109
173,06:46.6,2.70508,0.38574
174,06:46.6,2.57813,0.39063
175,06:46.6,2.45117,0.38574
176,06:46.7,2.37305,0.38086
177,06:46.7,2.34863,0.38574
178,06:46.7,2.33887,0.38574
179,06:46.7,2.34863,0.38574
180,06:46.7,2.34375,0.38574
181,06:46.7,2.3291,0.39551
182,06:46.8,2.2168,0.40039
183,06:46.8,2.0752,0.40527
184,06:46.8,1.95312,0.41016
185,06:46.8,1.92383,0.41504
186,06:46.8,1.90918,0.41504
187,06:46.8,1.90918,0.41504
188,06:46.9,1.92383,0.41992
189,06:46.9,1.93359,0.41992
190,06:46.9,1.89941,0.4248
191,06:46.9,1.79199,0.42969
192,06:46.9,1.67969,0.43457
193,06:47.0,1.62109,0.43945
