,Waktu,Pipi,Alis
0,01:12.1,1.57227,0.74219
1,01:12.2,1.54785,0.7373
2,01:12.2,1.58691,0.74707
3,01:12.2,1.60156,0.74219
4,01:12.2,1.59668,0.73242
5,01:12.2,1.53809,0.65918
6,01:12.2,1.58203,0.61523
7,01:12.3,1.54785,0.57617
8,01:12.3,1.51367,0.54688
9,01:12.3,1.5332,0.51758
10,01:12.3,1.5625,0.49805
11,01:12.3,1.5918,0.47852
12,01:12.4,1.61621,0.46387
13,01:12.4,1.57715,0.43945
14,01:12.4,1.57227,0.41504
15,01:12.4,1.60156,0.41016
16,01:12.4,1.54785,0.40039
17,01:12.4,1.52344,0.40039
18,01:12.5,1.54297,0.39551
19,01:12.5,1.57227,0.39063
20,01:12.5,1.61133,0.39063
21,01:12.5,1.61133,0.39063
22,01:12.5,1.54785,0.38574
23,01:12.5,1.59668,0.40039
24,01:12.6,1.57715,0.40527
25,01:12.6,1.52832,0.40527
26,01:12.6,1.52832,0.41016
27,01:12.6,1.55762,0.4248
28,01:12.6,1.58691,0.43457
29,01:12.6,1.61133,0.44922
30,01:12.7,1.58691,0.43945
31,01:12.7,1.56738,0.43945
32,01:12.7,1.5918,0.44922
33,01:12.7,1.53809,0.4541
34,01:12.7,1.50391,0.4541
35,01:12.8,1.52344,0.46387
36,01:12.8,1.55762,0.46387
37,01:12.8,1.59668,0.46387
38,01:12.8,1.60645,0.46875
39,01:12.9,1.54785,0.45898
40,01:12.9,1.57715,0.47363
41,01:12.9,1.58691,0.4834
42,01:12.9,1.52832,0.48828
43,01:12.9,1.52344,0.49316
44,01:12.9,1.54785,0.49316
45,01:12.9,1.57227,0.48828
46,01:13.0,1.60156,0.4834
47,01:13.0,1.5918,0.47363
48,01:13.0,1.55273,0.46875
49,01:13.0,1.5918,0.47363
50,01:13.0,1.54297,0.47363
51,01:13.1,1.50391,0.47852
52,01:13.1,1.51855,0.47852
53,01:13.1,1.55762,0.47852
54,01:13.1,1.5918,0.47363
55,01:13.1,1.60156,0.47852
56,01:13.1,1.55273,0.47852
57,01:13.2,1.57227,0.4834
58,01:13.2,1.58203,0.4834
59,01:13.2,1.52344,0.4834
60,01:13.2,1.52344,0.47852
61,01:13.2,1.54297,0.48828
62,01:13.2,1.57227,0.47852
63,01:13.2,1.61133,0.4834
64,01:13.3,1.60645,0.47852
65,01:13.3,1.55273,0.47852
66,01:13.3,1.59668,0.4834
67,01:13.3,1.56738,0.49316
68,01:13.3,1.51855,0.49316
69,01:13.4,1.51855,0.49316
70,01:13.4,1.55273,0.49316
71,01:13.4,1.58203,0.48828
72,01:13.4,1.60645,0.48828
73,01:13.4,1.5625,0.4834
74,01:13.4,1.55273,0.4834
