,Waktu,Pipi,Alis
0,06:07.0,1.72363,0.68359
1,06:07.1,1.72363,0.67383
2,06:07.1,1.7041,0.66406
3,06:07.1,1.71875,0.66406
4,06:07.1,1.7041,0.65918
5,06:07.1,1.7334,0.61035
6,06:07.1,1.74805,0.57129
7,06:07.2,1.74805,0.53711
8,06:07.2,1.71875,0.49805
9,06:07.2,1.75293,0.46387
10,06:07.2,1.73828,0.44922
11,06:07.2,1.70898,0.4248
12,06:07.2,1.69922,0.41504
13,06:07.3,1.69922,0.39551
14,06:07.3,1.69434,0.38574
15,06:07.3,1.69922,0.37598
16,06:07.3,1.72363,0.36621
17,06:07.3,1.71387,0.35645
18,06:07.4,1.75293,0.34668
19,06:07.4,1.70898,0.33691
20,06:07.4,1.68945,0.33203
21,06:07.4,1.69922,0.32715
22,06:07.4,1.69922,0.32715
23,06:07.4,1.70898,0.32715
24,06:07.5,1.68945,0.32715
25,06:07.5,1.68945,0.32227
26,06:07.5,1.69434,0.32227
27,06:07.5,1.71387,0.33203
28,06:07.5,1.67969,0.33203
29,06:07.5,1.7041,0.33691
30,06:07.6,1.71387,0.34668
31,06:07.6,1.71387,0.35645
32,06:07.6,1.70898,0.35645
33,06:07.6,1.71387,0.36133
34,06:07.6,1.71875,0.35645
35,06:07.7,1.73828,0.36621
36,06:07.7,1.7041,0.37109
37,06:07.7,1.7041,0.37598
38,06:07.7,1.7627,0.37598
39,06:07.7,1.81152,0.38086
40,06:07.7,1.8457,0.38574
41,06:07.8,1.88477,0.38574
42,06:07.8,1.89453,0.38574
43,06:07.8,1.91406,0.38574
44,06:07.8,1.94336,0.39551
45,06:07.8,1.90918,0.40039
46,06:07.8,1.82617,0.40039
47,06:07.9,1.74805,0.40527
48,06:07.9,1.72852,0.41016
49,06:07.9,1.72852,0.40527
50,06:07.9,1.78223,0.40527
51,06:07.9,1.84082,0.40039
52,06:08.0,1.875,0.40527
53,06:08.0,1.83594,0.40527
54,06:08.0,1.75293,0.40527
55,06:08.0,1.70898,0.40527
56,06:08.0,1.72852,0.41016
57,06:08.0,1.74805,0.41504
58,06:08.1,1.78711,0.41992
59,06:08.1,1.79199,0.41504
60,06:08.1,1.78711,0.41992
61,06:08.1,1.73828,0.4248
62,06:08.1,1.63574,0.42969
63,06:08.1,1.5918,0.42969
64,06:08.2,1.58691,0.43457
65,06:08.2,1.61133,0.43457
