,Waktu,Pipi,Alis
0,32:43.6,0.67383,1.28906
1,32:43.6,0.66895,1.29883
2,32:43.6,0.66406,1.31348
3,32:43.7,0.65918,1.33301
4,32:43.7,0.66406,1.33789
5,32:43.7,0.625,1.28418
6,32:43.7,0.60059,1.29395
7,32:43.7,0.57129,1.28906
8,32:43.7,0.53711,1.27441
9,32:43.8,0.50293,1.25
10,32:43.8,0.47852,1.26953
11,32:43.8,0.4541,1.30859
12,32:43.8,0.41992,1.32324
13,32:43.8,0.39551,1.28906
14,32:43.8,0.38574,1.26953
15,32:43.9,0.37109,1.29395
16,32:43.9,0.35645,1.26953
17,32:43.9,0.35156,1.25488
18,32:43.9,0.33691,1.25488
19,32:43.9,0.33203,1.29883
20,32:44.0,0.32227,1.32324
21,32:44.0,0.31738,1.31348
22,32:44.0,0.31738,1.29395
23,32:44.0,0.32227,1.29395
24,32:44.0,0.32227,1.31348
25,32:44.0,0.32715,1.29395
26,32:44.1,0.33691,1.26953
27,32:44.1,0.3418,1.29395
28,32:44.1,0.3418,1.33301
29,32:44.1,0.3418,1.35254
30,32:44.1,0.34668,1.32813
31,32:44.1,0.35645,1.30371
32,32:44.2,0.36621,1.32324
33,32:44.2,0.37598,1.30371
34,32:44.2,0.38086,1.2793
35,32:44.2,0.38574,1.26953
36,32:44.2,0.39063,1.29883
37,32:44.3,0.39551,1.32324
38,32:44.3,0.40039,1.30859
39,32:44.3,0.40039,1.2793
40,32:44.3,0.40527,1.2793
41,32:44.3,0.40527,1.30371
42,32:44.3,0.41016,1.2793
43,32:44.4,0.40527,1.25
44,32:44.4,0.40527,1.26465
45,32:44.4,0.41016,1.30371
46,32:44.4,0.41504,1.32813
47,32:44.4,0.41504,1.31348
48,32:44.5,0.4248,1.28418
49,32:44.5,0.42969,1.31348
50,32:44.5,0.42969,1.29883
51,32:44.5,0.4248,1.27441
52,32:44.5,0.41504,1.25977
53,32:44.5,0.41016,1.29395
54,32:44.6,0.41016,1.32813
55,32:44.6,0.40527,1.33789
56,32:44.6,0.40039,1.31348
57,32:44.6,0.39551,1.29883
58,32:44.6,0.39063,1.33301
59,32:44.6,0.39063,1.29883
60,32:44.7,0.38574,1.27441
61,32:44.7,0.38574,1.2793
62,32:44.7,0.38086,1.30859
63,32:44.7,0.38086,1.33789
64,32:44.7,0.38574,1.31836
65,32:44.8,0.38574,1.29395
66,32:44.8,0.39063,1.31348
67,32:44.8,0.39063,1.30371
68,32:44.8,0.39063,1.28418
69,32:44.8,0.39063,1.26465
70,32:44.8,0.39063,1.28906
71,32:44.9,0.39063,1.31348
72,32:44.9,0.39551,1.32813
73,32:44.9,0.39551,1.29883
74,32:44.9,0.40039,1.29395
75,32:44.9,0.40039,1.31836
76,32:44.9,0.41016,1.29883
77,32:45.0,0.41504,1.27441
78,32:45.0,0.41016,1.27441
79,32:45.0,0.40527,1.30859
80,32:45.0,0.40039,1.33301
81,32:45.0,0.41016,1.32324
82,32:45.1,0.41504,1.29883
83,32:45.1,0.41504,1.31348
84,32:45.1,0.41992,1.31348
85,32:45.1,0.41992,1.29395
86,32:45.1,0.41992,1.2793
87,32:45.1,0.41504,1.29883
88,32:45.2,0.41504,1.32813
89,32:45.2,0.41504,1.34277
90,32:45.2,0.41504,1.32324
91,32:45.2,0.41992,1.30371
92,32:45.2,0.41504,1.33789
93,32:45.2,0.41504,1.30859
94,32:45.3,0.41016,1.28418
95,32:45.3,0.41016,1.27441
96,32:45.3,0.40527,1.30859
97,32:45.3,0.40527,1.34277
98,32:45.3,0.40527,1.33301
99,32:45.4,0.40527,1.31348
100,32:45.4,0.40527,1.31836
101,32:45.4,0.40527,1.31348
102,32:45.4,0.40527,1.28906
103,32:45.4,0.40527,1.26953
104,32:45.4,0.40039,1.28906
105,32:45.5,0.40039,1.32813
106,32:45.5,0.39551,1.34766
107,32:45.5,0.40039,1.31348
108,32:45.5,0.40039,1.29395
109,32:45.5,0.39551,1.32324
110,32:45.5,0.40527,1.29883
111,32:45.6,0.40527,1.2793
112,32:45.6,0.40039,1.26953
113,32:45.6,0.39551,1.31348
114,32:45.6,0.39063,1.35254
115,32:45.6,0.39063,1.35742
116,32:45.7,0.39063,1.32813
117,32:45.7,0.39551,1.32813
118,32:45.7,0.39551,1.34766
119,32:45.7,0.39551,1.31836
120,32:45.7,0.39551,1.30859
121,32:45.7,0.39551,1.33301
122,32:45.8,0.39551,1.36719
123,32:45.8,0.39551,1.38184
124,32:45.8,0.40039,1.34277
125,32:45.8,0.40527,1.31348
126,32:45.8,0.40527,1.33789
127,32:45.8,0.41016,1.32324
128,32:45.9,0.41016,1.30859
129,32:45.9,0.41016,1.29883
130,32:45.9,0.40527,1.34277
131,32:45.9,0.41504,1.37695
132,32:45.9,0.4248,1.37207
133,32:46.0,0.42969,1.33789
134,32:46.0,0.43457,1.32324
135,32:46.0,0.43457,1.34766
136,32:46.0,0.43457,1.31836
137,32:46.0,0.42969,1.30371
138,32:46.0,0.42969,1.31836
139,32:46.1,0.4248,1.35254
140,32:46.1,0.4248,1.37695
141,32:46.1,0.42969,1.35254
142,32:46.1,0.4248,1.32324
143,32:46.1,0.41992,1.34766
144,32:46.2,0.41992,1.33789
145,32:46.2,0.41992,1.31836
146,32:46.2,0.41504,1.29883
147,32:46.2,0.41504,1.33301
148,32:46.2,0.41992,1.36719
149,32:46.2,0.41504,1.37207
150,32:46.3,0.4248,1.33789
151,32:46.3,0.4248,1.31348
152,32:46.3,0.4248,1.33301
153,32:46.3,0.4248,1.30859
154,32:46.3,0.41504,1.28906
155,32:46.3,0.41016,1.29395
156,32:46.4,0.40527,1.33789
157,32:46.4,0.39551,1.36719
158,32:46.4,0.39551,1.34277
159,32:46.4,0.39551,1.31348
160,32:46.4,0.39551,1.33301
161,32:46.5,0.39551,1.32813
162,32:46.5,0.39551,1.30859
163,32:46.5,0.39551,1.29395
164,32:46.5,0.39551,1.32813
165,32:46.5,0.39551,1.36719
166,32:46.5,0.39551,1.37695
167,32:46.6,0.40527,1.34277
168,32:46.6,0.40527,1.31836
169,32:46.6,0.40039,1.34277
170,32:46.6,0.40527,1.31348
171,32:46.6,0.39551,1.33301
172,32:46.6,0.39063,1.44043
173,32:46.7,0.39063,1.51855
174,32:46.7,0.38574,1.53809
175,32:46.7,0.39063,1.47949
176,32:46.7,0.39551,1.41602
177,32:46.7,0.40039,1.39648
178,32:46.8,0.40039,1.39648
179,32:46.8,0.40527,1.35742
180,32:46.8,0.41016,1.31836
181,32:46.8,0.41992,1.33301
182,32:46.8,0.4248,1.3623
183,32:46.8,0.42969,1.38672
184,32:46.9,0.43457,1.34766
185,32:46.9,0.43945,1.32813
186,32:46.9,0.43945,1.35254
187,32:46.9,0.43945,1.30859
188,32:46.9,0.43457,1.30371
189,32:46.9,0.43457,1.28906
190,32:47.0,0.42969,1.32324
191,32:47.0,0.42969,1.3623
192,32:47.0,0.42969,1.35254
193,32:47.0,0.42969,1.32324
194,32:47.0,0.42969,1.33789
195,32:47.1,0.42969,1.35254
196,32:47.1,0.43945,1.32813
197,32:47.1,0.43457,1.30371
198,32:47.1,0.42969,1.31836
199,32:47.1,0.4248,1.3623
200,32:47.1,0.41992,1.38672
201,32:47.2,0.41992,1.34766
202,32:47.2,0.41992,1.32813
203,32:47.2,0.41504,1.35254
204,32:47.2,0.41504,1.32813
205,32:47.2,0.41016,1.31348
206,32:47.2,0.41016,1.31348
207,32:47.3,0.40039,1.34766
208,32:47.3,0.39551,1.38184
209,32:47.3,0.39551,1.36719
210,32:47.3,0.39063,1.33789
211,32:47.3,0.39063,1.33301
212,32:47.4,0.39063,1.34766
213,32:47.4,0.39063,1.31836
214,32:47.4,0.39551,1.29395
215,32:47.4,0.39551,1.30859
216,32:47.4,0.39551,1.32324
217,32:47.4,0.39551,1.35254
218,32:47.5,0.40039,1.32324
