,Waktu,Pipi,Alis
0,31:46.7,0.65918,1.34277
1,31:46.7,0.65918,1.34766
2,31:46.7,0.65918,1.33301
3,31:46.8,0.6543,1.30859
4,31:46.8,0.64941,1.28418
5,31:46.8,0.61523,1.35254
6,31:46.8,0.57129,1.32324
7,31:46.8,0.53223,1.28418
8,31:46.8,0.50293,1.2793
9,31:46.9,0.47363,1.28418
10,31:46.9,0.43945,1.26465
11,31:46.9,0.40527,1.25488
12,31:46.9,0.38086,1.29395
13,31:46.9,0.36133,1.30859
14,31:46.9,0.3418,1.32324
15,31:47.0,0.32715,1.28418
16,31:47.0,0.31738,1.26465
17,31:47.0,0.3125,1.28418
18,31:47.0,0.30762,1.26953
19,31:47.0,0.30273,1.25977
20,31:47.1,0.30273,1.26465
21,31:47.1,0.30762,1.29883
22,31:47.1,0.30273,1.33789
23,31:47.1,0.30273,1.34277
24,31:47.1,0.30762,1.30859
25,31:47.1,0.3125,1.29883
26,31:47.2,0.30762,1.32813
27,31:47.2,0.3125,1.30859
28,31:47.2,0.31738,1.29883
29,31:47.2,0.32227,1.32813
30,31:47.2,0.32227,1.35742
31,31:47.2,0.33203,1.37207
32,31:47.3,0.3418,1.33789
33,31:47.3,0.34668,1.30859
34,31:47.3,0.34668,1.32324
35,31:47.3,0.34668,1.31348
36,31:47.3,0.34668,1.29395
37,31:47.4,0.3418,1.2793
38,31:47.4,0.3418,1.30371
39,31:47.4,0.34668,1.34277
40,31:47.4,0.34668,1.34277
41,31:47.4,0.35156,1.30371
42,31:47.4,0.35645,1.28906
43,31:47.5,0.35645,1.30371
44,31:47.5,0.36133,1.27441
45,31:47.5,0.36133,1.25977
46,31:47.5,0.36133,1.26953
47,31:47.5,0.36621,1.30859
48,31:47.6,0.37109,1.33301
49,31:47.6,0.37598,1.30371
50,31:47.6,0.38086,1.27441
51,31:47.6,0.38086,1.28906
52,31:47.6,0.38086,1.28906
53,31:47.6,0.38086,1.26953
54,31:47.7,0.38086,1.25488
55,31:47.7,0.37598,1.28418
56,31:47.7,0.37598,1.31836
57,31:47.7,0.38086,1.33789
58,31:47.7,0.38086,1.30859
59,31:47.7,0.38574,1.28418
60,31:47.8,0.39551,1.30371
61,31:47.8,0.41016,1.28906
62,31:47.8,0.41504,1.28418
63,31:47.8,0.41016,1.28906
64,31:47.8,0.40527,1.33789
65,31:47.9,0.40527,1.36719
66,31:47.9,0.40527,1.34277
67,31:47.9,0.40039,1.30859
68,31:47.9,0.40039,1.30371
69,31:47.9,0.39551,1.32813
70,31:47.9,0.39551,1.31348
71,31:48.0,0.39551,1.29883
72,31:48.0,0.39063,1.33301
73,31:48.0,0.39063,1.3623
74,31:48.0,0.39063,1.37695
75,31:48.0,0.39063,1.33789
76,31:48.0,0.39063,1.30859
77,31:48.1,0.39063,1.31836
78,31:48.1,0.39063,1.31348
79,31:48.1,0.38574,1.29883
80,31:48.1,0.38574,1.28906
81,31:48.1,0.38574,1.33301
82,31:48.2,0.38574,1.35742
83,31:48.2,0.38574,1.34277
84,31:48.2,0.38574,1.30859
85,31:48.2,0.38086,1.29883
86,31:48.2,0.37109,1.32813
87,31:48.2,0.36621,1.29883
88,31:48.3,0.36133,1.28906
89,31:48.3,0.36133,1.29883
90,31:48.3,0.35645,1.32813
91,31:48.3,0.36133,1.35742
92,31:48.3,0.36133,1.34277
93,31:48.3,0.36133,1.31348
94,31:48.4,0.36621,1.31348
95,31:48.4,0.37109,1.31348
96,31:48.4,0.37109,1.29395
97,31:48.4,0.36621,1.2793
98,31:48.4,0.36621,1.30371
99,31:48.5,0.36621,1.34277
100,31:48.5,0.37598,1.34766
101,31:48.5,0.37598,1.32813
102,31:48.5,0.38086,1.31348
103,31:48.5,0.38086,1.33789
104,31:48.5,0.38574,1.30371
105,31:48.6,0.38086,1.28418
106,31:48.6,0.38086,1.28418
107,31:48.6,0.39063,1.32813
