,Waktu,Pipi,Alis
0,38:43.7,3.91602,0.05371
1,38:43.7,3.83789,0.05371
2,38:43.7,3.80371,0.05371
3,38:43.8,3.83789,0.05371
4,38:43.8,3.87695,0.05371
5,38:43.8,3.84766,0.05371
6,38:43.8,3.93066,0.05371
7,38:43.8,3.90137,0.05371
8,38:43.8,3.83789,0.05371
9,38:43.9,3.80859,0.05371
10,38:43.9,3.8623,0.05371
11,38:43.9,3.8623,0.05371
12,38:43.9,3.81836,0.05371
13,38:44.0,3.78418,0.05371
14,38:44.0,3.86719,0.05371
15,38:44.0,3.90625,0.05371
16,38:44.0,3.84277,0.05859
17,38:44.0,3.81348,0.05859
18,38:44.0,3.81348,0.05371
19,38:44.0,3.88672,0.05859
20,38:44.1,3.85742,0.05859
21,38:44.1,3.78906,0.05859
22,38:44.1,3.7793,0.05859
23,38:44.1,3.8623,0.05859
24,38:44.2,3.8916,0.05859
25,38:44.2,3.82812,0.05859
26,38:44.2,3.85254,0.05859
27,38:44.2,3.90625,0.05859
28,38:44.2,3.92578,0.05859
29,38:44.2,3.84277,0.05859
30,38:44.3,3.73047,0.05371
31,38:44.3,3.73047,0.05859
32,38:44.3,3.80371,0.05371
33,38:44.3,3.79395,0.05859
34,38:44.3,3.66211,0.05859
35,38:44.4,3.79883,0.05859
36,38:44.4,3.96484,0.05859
37,38:44.4,3.95996,0.05859
38,38:44.4,3.90625,0.05859
39,38:44.4,3.88672,0.05859
40,38:44.4,4.04297,0.05859
41,38:44.4,4.09668,0.05859
42,38:44.4,4.01855,0.05859
43,38:44.5,3.9502,0.05859
44,38:44.5,3.93555,0.05859
45,38:44.5,4.00879,0.05859
46,38:44.5,3.98926,0.05859
47,38:44.6,3.93555,0.05859
48,38:44.6,3.95508,0.05859
49,38:44.6,4.04785,0.05859
50,38:44.6,4.02832,0.05371
51,38:44.6,3.9209,0.05371
52,38:44.6,3.85742,0.05859
53,38:44.6,3.90137,0.05371
54,38:44.7,3.94531,0.05371
55,38:44.7,3.91113,0.05371
56,38:44.7,3.84766,0.05371
57,38:44.7,3.90137,0.05371
58,38:44.7,3.9502,0.05371
59,38:44.8,3.88672,0.05371
60,38:44.8,3.79883,0.05371
61,38:44.8,3.76953,0.05371
62,38:44.8,3.80371,0.05371
63,38:44.8,3.77441,0.05371
