,Waktu,Pipi,Alis
0,49:56.9,3.73047,2.01172
1,49:56.9,3.73047,1.99707
2,49:56.9,3.75488,1.97754
3,49:56.9,3.79395,1.98242
4,49:56.9,3.81348,2.0166
5,49:57.0,3.7207,1.99707
6,49:57.0,3.75488,2.00195
7,49:57.0,3.78906,1.95801
8,49:57.0,3.69629,1.96777
9,49:57.0,3.61816,1.9873
10,49:57.1,3.65723,2.0166
11,49:57.1,3.72559,2.0166
12,49:57.1,3.71094,1.97266
13,49:57.1,3.66211,1.95312
14,49:57.1,3.66699,2.00195
15,49:57.1,3.75,1.96777
16,49:57.2,3.74023,1.93848
17,49:57.2,3.67676,1.93848
18,49:57.2,3.68652,1.94824
19,49:57.2,3.81348,1.99707
20,49:57.2,3.82812,1.95801
21,49:57.2,3.78906,1.98242
22,49:57.3,3.75,2.0459
23,49:57.3,3.76465,2.00684
24,49:57.3,3.84277,1.98242
25,49:57.3,3.75977,1.98242
26,49:57.3,3.65234,2.0459
27,49:57.3,3.61328,2.10938
28,49:57.4,3.68652,2.12891
29,49:57.4,3.70117,2.08984
30,49:57.4,3.69629,2.05566
31,49:57.4,3.69141,2.06055
32,49:57.4,3.74023,2.06543
33,49:57.5,3.74023,2.02637
34,49:57.5,3.66699,2.0166
35,49:57.5,3.63281,2.02148
36,49:57.5,3.71582,2.03125
37,49:57.5,3.74023,2.0166
38,49:57.5,3.70605,1.97266
39,49:57.6,3.66699,1.96289
40,49:57.6,3.67188,1.9873
41,49:57.6,3.74512,1.9873
42,49:57.6,3.71094,1.95312
43,49:57.6,3.59863,1.95801
44,49:57.6,3.56445,1.9873
45,49:57.7,3.65723,1.99707
46,49:57.7,3.67188,1.98242
47,49:57.7,3.65234,1.95312
48,49:57.7,3.6377,1.95801
49,49:57.7,3.70117,1.9873
50,49:57.8,3.73047,1.94824
51,49:57.8,3.69629,1.94824
52,49:57.8,3.75488,1.94824
53,49:57.8,3.92578,1.98242
54,49:57.8,4.01855,2.0166
55,49:57.8,3.99902,2.00195
56,49:57.9,3.95508,2.01172
57,49:57.9,3.93066,2.06055
58,49:57.9,3.97949,2.02637
59,49:57.9,4.03809,1.97266
60,49:57.9,3.95508,1.96289
61,49:57.9,3.90137,1.98242
62,49:58.0,3.93555,2.0166
63,49:58.0,3.90625,2.01172
64,49:58.0,3.84277,1.99219
65,49:58.0,3.81348,2.03125
66,49:58.0,3.8623,2.05566
67,49:58.1,3.90625,2.03125
68,49:58.1,3.80371,1.9873
69,49:58.1,3.68652,1.95801
70,49:58.1,3.66699,1.99219
71,49:58.1,3.79883,2.01172
72,49:58.1,3.83301,1.98242
73,49:58.2,3.81836,1.96777
74,49:58.2,3.79395,2.03613
75,49:58.2,3.83789,2.05566
76,49:58.2,4.01855,1.99707
77,49:58.2,4.0918,1.97754
78,49:58.2,4.11133,1.94824
79,49:58.3,4.16992,1.99707
80,49:58.3,4.17969,2.01172
81,49:58.3,4.0918,1.99219
82,49:58.3,3.99414,1.96777
83,49:58.3,3.96484,1.99707
84,49:58.4,4.00391,2.00195
85,49:58.4,3.94531,1.95801
86,49:58.4,3.80371,1.96289
87,49:58.4,3.71094,2.00684
88,49:58.4,3.78418,2.05566
89,49:58.4,3.83301,2.04102
90,49:58.5,3.85254,2.00684
91,49:58.5,3.85254,1.99707
92,49:58.5,3.90137,2.05078
93,49:58.5,3.97461,2.00684
94,49:58.5,3.87207,1.99707
95,49:58.5,3.79395,1.99219
96,49:58.6,3.85742,2.02637
97,49:58.6,3.93555,2.04102
98,49:58.6,3.93555,2.00195
99,49:58.6,3.8916,1.98242
100,49:58.6,3.83789,2.02148
101,49:58.7,3.93066,2.03613
102,49:58.7,3.9502,1.9873
103,49:58.7,3.87695,1.9873
104,49:58.7,3.82812,2.00195
105,49:58.7,3.89648,2.0166
106,49:58.7,3.93555,2.00684
107,49:58.8,3.9209,1.97754
108,49:58.8,3.88672,1.96777
109,49:58.8,3.90137,2.02637
110,49:58.8,3.98437,2.0166
111,49:58.8,3.93555,1.99219
112,49:58.9,3.8623,1.99707
113,49:58.9,3.85742,2.03613
114,49:58.9,3.95996,2.05078
115,49:58.9,3.98926,2.0166
116,49:58.9,3.9502,1.99219
117,49:58.9,3.91113,2.01172
118,49:59.0,3.97461,2.06543
119,49:59.0,4.05762,2.03125
120,49:59.0,3.97949,2.03125
121,49:59.0,3.89648,2.03125
122,49:59.0,3.95508,2.07031
123,49:59.0,4.02832,2.08008
124,49:59.1,4.02832,2.05078
125,49:59.1,3.99902,2.0166
126,49:59.1,3.99414,2.05566
127,49:59.1,4.08691,2.0752
128,49:59.1,4.08691,2.03613
129,49:59.2,4.01855,2.02637
130,49:59.2,3.99902,2.07031
131,49:59.2,4.11133,2.10449
132,49:59.2,4.15039,2.0752
133,49:59.2,4.12598,2.00195
134,49:59.2,4.07227,2.00195
135,49:59.3,4.10156,2.04102
136,49:59.3,4.19922,2.00684
137,49:59.3,4.13574,1.9873
138,49:59.3,4.02832,1.99707
139,49:59.3,3.96973,2.0459
140,49:59.3,4.0625,2.08984
141,49:59.4,4.07715,2.06055
142,49:59.4,4.05273,1.99707
143,49:59.4,4.0332,2.03613
144,49:59.4,4.10156,2.06543
145,49:59.4,4.12598,2.06543
146,49:59.5,4.01367,2.08496
147,49:59.5,3.91602,2.09961
148,49:59.5,3.96484,2.12891
149,49:59.5,4.04297,2.11914
150,49:59.5,4.04297,2.07031
151,49:59.5,4.00879,2.0459
152,49:59.6,4.02344,2.0752
153,49:59.6,4.12109,2.06543
154,49:59.6,4.08203,2.04102
155,49:59.6,3.96973,2.04102
156,49:59.6,3.92578,2.0752
157,49:59.6,4.02832,2.09961
158,49:59.7,4.05762,2.08008
159,49:59.7,4.0332,2.04102
160,49:59.7,4.00879,2.06543
161,49:59.7,4.05273,2.08496
162,49:59.7,4.10156,2.0459
163,49:59.8,4.02832,2.03125
164,49:59.8,3.95508,2.0166
165,49:59.8,3.98437,2.07031
166,49:59.8,4.08203,2.10938
167,49:59.8,4.0918,2.08008
168,49:59.8,4.05762,2.06055
169,49:59.9,4.0332,2.08008
170,49:59.9,4.11133,2.08984
171,49:59.9,4.13086,2.05078
172,49:59.9,4.06738,2.05078
173,49:59.9,4.05273,2.0459
174,49:59.9,4.12598,2.08008
175,50:00.0,4.16992,2.09473
176,50:00.0,4.14551,2.03125
177,50:00.0,4.10156,2.03125
178,50:00.0,4.11133,2.06543
179,50:00.0,4.20898,2.06055
180,50:00.1,4.14062,2.05566
181,50:00.1,4.04297,2.02148
182,50:00.1,4.01855,2.00684
183,50:00.1,4.12109,2.10938
184,50:00.1,4.14551,2.09473
185,50:00.1,4.11133,2.0459
186,50:00.2,4.08691,2.05078
187,50:00.2,4.14551,2.03613
188,50:00.2,4.20898,2.02148
189,50:00.2,4.11621,2.06055
190,50:00.2,4.02832,2.05566
191,50:00.2,4.07227,2.10938
192,50:00.3,4.14551,2.09961
193,50:00.3,4.16504,2.06055
194,50:00.3,4.13086,2.0752
195,50:00.3,4.13086,2.12402
196,50:00.3,4.21387,2.09473
197,50:00.4,4.19922,2.06543
198,50:00.4,4.09668,2.10449
199,50:00.4,4.05273,2.14355
200,50:00.4,4.15527,2.12891
201,50:00.4,4.17969,2.10449
202,50:00.4,4.16016,2.03613
203,50:00.5,4.11133,2.04102
204,50:00.5,4.14062,2.07031
205,50:00.5,4.22363,2.04102
206,50:00.5,4.13574,2.01172
207,50:00.5,4.01855,2.02148
208,50:00.6,4.00391,2.0752
209,50:00.6,4.12109,2.09961
210,50:00.6,4.14062,2.0752
211,50:00.6,4.11133,2.03613
212,50:00.6,4.0918,2.07031
213,50:00.6,4.16992,2.07031
214,50:00.7,4.19922,2.0459
215,50:00.7,4.10156,2.0459
216,50:00.7,4.02832,2.03125
217,50:00.7,4.11133,2.07031
218,50:00.7,4.21387,2.09961
219,50:00.7,4.21875,2.06543
220,50:00.8,4.1748,2.08984
221,50:00.8,4.18457,2.11426
222,50:00.8,4.31152,2.08984
223,50:00.8,4.29687,2.00684
224,50:00.8,4.21387,2.00195
225,50:00.9,4.21387,2.04102
226,50:00.9,4.31641,2.08496
227,50:00.9,4.31641,2.06543
228,50:00.9,4.27734,2.0166
229,50:00.9,4.2334,2.03613
230,50:00.9,4.27246,2.08008
231,50:01.0,4.36035,2.04102
232,50:01.0,4.27246,2.02148
233,50:01.0,4.16992,2.01172
234,50:01.0,4.1748,2.06543
235,50:01.0,4.25293,2.11426
236,50:01.0,4.28223,2.08496
237,50:01.1,4.32129,2.08984
238,50:01.1,4.42871,2.13379
239,50:01.1,4.55078,2.12402
240,50:01.1,4.49707,2.08984
241,50:01.1,4.32617,2.0752
242,50:01.2,4.21387,2.10449
243,50:01.2,4.33594,2.15332
244,50:01.2,4.42383,2.16797
245,50:01.2,4.42383,2.11914
246,50:01.2,4.37988,2.11426
247,50:01.2,4.38477,2.11426
248,50:01.3,4.45312,2.10449
249,50:01.3,4.47754,2.08008
250,50:01.3,4.43848,2.06055
251,50:01.3,4.54102,2.08984
252,50:01.3,4.6582,2.13379
253,50:01.3,4.63867,2.12891
254,50:01.4,4.59473,2.08984
255,50:01.4,4.53125,2.10449
256,50:01.4,4.5459,2.08984
257,50:01.4,4.66797,2.08008
258,50:01.4,4.59473,2.06055
259,50:01.5,4.52637,2.07031
260,50:01.5,4.59961,2.12891
261,50:01.5,4.6582,2.15332
262,50:01.5,4.62891,2.11426
263,50:01.5,4.55078,2.11426
264,50:01.5,4.5459,2.14844
265,50:01.6,4.64355,2.14844
266,50:01.6,4.64844,2.10449
267,50:01.6,4.53613,2.10938
268,50:01.6,4.49707,2.16797
269,50:01.6,4.58984,2.18262
270,50:01.6,4.62891,2.18262
271,50:01.7,4.62891,2.13867
272,50:01.7,4.58008,2.15332
273,50:01.7,4.58984,2.19238
274,50:01.7,4.67773,2.16797
275,50:01.7,4.60449,2.14355
276,50:01.8,4.50684,2.13379
277,50:01.8,4.50684,2.16797
278,50:01.8,4.64355,2.17773
279,50:01.8,4.64844,2.1582
280,50:01.8,4.61914,2.13379
281,50:01.8,4.61914,2.14355
282,50:01.9,4.67285,2.16797
283,50:01.9,4.69727,2.13379
284,50:01.9,4.64355,2.10938
285,50:01.9,4.58984,2.11426
286,50:01.9,4.69238,2.13867
287,50:01.9,4.69727,2.14844
288,50:02.0,4.69727,2.11426
289,50:02.0,4.66309,2.10938
290,50:02.0,4.65332,2.13867
291,50:02.0,4.70215,2.12402
292,50:02.0,4.70215,2.09473
293,50:02.1,4.62891,2.10449
294,50:02.1,4.61914,2.12891
