,Waktu,Pipi,Alis
0,02:25.7,4.70215,3.19336
1,02:25.7,4.70215,3.21289
2,02:25.7,4.70703,3.27148
3,02:25.8,4.70215,3.34473
4,02:25.8,4.70215,3.39355
5,02:25.8,4.70703,3.20313
6,02:25.8,4.70215,3.2373
7,02:25.8,4.70215,3.30078
8,02:25.8,4.70215,3.3252
9,02:25.9,4.70215,3.30566
10,02:25.9,4.70215,3.31055
11,02:25.9,4.70215,3.37402
12,02:25.9,4.70215,3.34473
13,02:25.9,4.70215,3.22754
14,02:25.9,4.70215,3.19336
15,02:26.0,4.70215,3.27637
16,02:26.0,4.69727,3.3252
17,02:26.0,4.70215,3.33496
18,02:26.0,4.70215,3.31055
19,02:26.0,4.70215,3.33008
20,02:26.1,4.70215,3.38867
21,02:26.1,4.70703,3.30566
22,02:26.1,4.70215,3.24219
23,02:26.1,4.70215,3.2666
24,02:26.1,4.70215,3.33984
25,02:26.1,4.70215,3.35938
26,02:26.2,4.70215,3.33984
27,02:26.2,4.70215,3.33496
28,02:26.2,4.70215,3.39844
29,02:26.2,4.70215,3.36426
30,02:26.2,4.70215,3.25684
31,02:26.2,4.70703,3.20801
32,02:26.3,4.70215,3.2959
33,02:26.3,4.69727,3.32031
34,02:26.3,4.70215,3.3252
35,02:26.3,4.70215,3.2959
36,02:26.3,4.70703,3.2959
37,02:26.4,4.70215,3.3252
38,02:26.4,4.70215,3.25195
39,02:26.4,4.70215,3.17871
40,02:26.4,4.70215,3.20313
41,02:26.4,4.70215,3.2666
42,02:26.4,4.69727,3.29102
43,02:26.5,4.70215,3.26172
44,02:26.5,4.70215,3.26172
45,02:26.5,4.70215,3.30566
46,02:26.5,4.70215,3.30566
47,02:26.5,4.70215,3.19824
48,02:26.6,4.70215,3.15918
49,02:26.6,4.69727,3.24707
50,02:26.6,4.69727,3.30078
51,02:26.6,4.70215,3.31055
52,02:26.6,4.70215,3.27637
53,02:26.6,4.70215,3.28125
54,02:26.7,4.70215,3.33496
55,02:26.7,4.70215,3.27637
56,02:26.7,4.70703,3.21289
57,02:26.7,4.70215,3.24219
58,02:26.7,4.70215,3.31543
59,02:26.7,4.70215,3.33984
60,02:26.8,4.70215,3.3252
61,02:26.8,4.70215,3.31055
62,02:26.8,4.70215,3.34473
63,02:26.8,4.70215,3.35449
64,02:26.8,4.70215,3.25195
65,02:26.9,4.70215,3.20801
66,02:26.9,4.70215,3.31055
67,02:26.9,4.69727,3.38379
68,02:26.9,4.70215,3.41309
69,02:26.9,4.70215,3.40332
70,02:26.9,4.70703,3.4082
71,02:27.0,4.70215,3.52539
72,02:27.0,4.70215,3.54004
73,02:27.0,4.70215,3.47656
74,02:27.0,4.70215,3.43262
75,02:27.0,4.70215,3.44238
76,02:27.0,4.70215,3.42285
77,02:27.1,4.70215,3.37402
78,02:27.1,4.70215,3.33984
79,02:27.1,4.70703,3.35938
80,02:27.1,4.70215,3.36426
81,02:27.1,4.69727,3.25195
82,02:27.2,4.70215,3.18359
83,02:27.2,4.70215,3.24219
84,02:27.2,4.69727,3.2959
85,02:27.2,4.70215,3.31055
86,02:27.2,4.70215,3.28613
87,02:27.2,4.70215,3.28125
88,02:27.3,4.70215,3.34473
89,02:27.3,4.70703,3.28613
90,02:27.3,4.70215,3.19824
91,02:27.3,4.70215,3.18359
92,02:27.3,4.70215,3.26172
93,02:27.3,4.70215,3.2959
94,02:27.4,4.70215,3.28613
95,02:27.4,4.70215,3.27637
96,02:27.4,4.70215,3.31055
97,02:27.4,4.70215,3.33496
98,02:27.4,4.70215,3.22266
99,02:27.5,4.70215,3.16895
100,02:27.5,4.70215,3.22754
101,02:27.5,4.70215,3.28125
102,02:27.5,4.70215,3.30078
103,02:27.5,4.70215,3.2666
104,02:27.5,4.70703,3.26172
105,02:27.6,4.70703,3.3252
106,02:27.6,4.70215,3.2666
107,02:27.6,4.70215,3.18848
108,02:27.6,4.70215,3.16895
109,02:27.6,4.70215,3.25195
110,02:27.6,4.69727,3.2666
111,02:27.7,4.70215,3.25684
112,02:27.7,4.70215,3.25195
113,02:27.7,4.70215,3.30566
114,02:27.7,4.70215,3.44238
115,02:27.7,4.70215,3.35938
116,02:27.8,4.70703,3.26172
117,02:27.8,4.70215,3.24219
118,02:27.8,4.70215,3.28613
119,02:27.8,4.70215,3.31543
120,02:27.8,4.70215,3.29102
121,02:27.8,4.70703,3.30078
122,02:27.9,4.70215,3.35938
123,02:27.9,4.70703,3.28613
124,02:27.9,4.70215,3.15918
125,02:27.9,4.70703,3.10059
126,02:27.9,4.69727,3.16895
127,02:27.9,4.70215,3.22266
128,02:28.0,4.69727,3.2373
129,02:28.0,4.70215,3.2373
130,02:28.0,4.70703,3.2666
131,02:28.0,4.70215,3.30078
132,02:28.0,4.70215,3.17383
133,02:28.1,4.70215,3.11035
134,02:28.1,4.70215,3.14453
135,02:28.1,4.70215,3.21289
136,02:28.1,4.70215,3.26172
137,02:28.1,4.70215,3.2373
138,02:28.1,4.70703,3.22754
139,02:28.2,4.70215,3.29102
140,02:28.2,4.70215,3.25195
141,02:28.2,4.70703,3.15918
