,Pipi,Alis
0,4.70215,2.8613299999999997
1,4.70215,2.7832
2,4.70215,2.72949
3,4.70215,2.7832
4,4.70215,2.82715
5,4.70215,2.84668
6,4.70215,2.80762
7,4.70215,2.80273
8,4.70215,2.8613299999999997
9,4.70215,2.82715
10,4.70215,2.75391
11,4.70215,2.7441400000000002
12,4.69727,2.81738
13,4.70215,2.83203
14,4.70215,2.82715
15,4.70215,2.79297
16,4.70215,2.82227
17,4.70215,2.87109
18,4.70215,2.78809
19,4.7070300000000005,2.73926
20,4.70215,2.80273
21,4.70215,2.84668
22,4.70215,2.8759799999999998
23,4.70215,2.8418
24,4.70215,2.78809
25,4.70215,2.84668
26,4.70215,2.96387
27,4.70215,3.0371099999999998
28,4.70215,3.0712900000000003
29,4.70215,3.08105
30,4.69727,3.0371099999999998
31,4.70215,2.97852
32,4.70215,2.9199200000000003
33,4.70215,2.9199200000000003
34,4.70215,2.9248
35,4.70215,2.78809
36,4.70215,2.68066
37,4.70215,2.6709
38,4.69727,2.73438
39,4.70215,2.7734400000000003
40,4.70215,2.7587900000000003
41,4.70215,2.7587900000000003
42,4.70215,2.81738
43,4.70215,2.77832
44,4.70215,2.6709
45,4.70215,2.62695
46,4.70215,2.6953099999999997
47,4.70215,2.73438
48,4.69727,2.7636700000000003
49,4.69727,2.75391
50,4.70215,2.76855
51,4.70215,2.82227
52,4.70215,2.73438
53,4.70215,2.66113
54,4.70215,2.69043
55,4.69727,2.7587900000000003
56,4.70215,2.80273
57,4.69727,2.7832
58,4.70215,2.77832
59,4.7070300000000005,2.82227
60,4.70215,2.80762
61,4.70215,2.7197299999999998
62,4.70215,2.68555
63,4.70215,2.7587900000000003
64,4.70215,2.79297
65,4.69727,2.80762
66,4.70215,2.7734400000000003
67,4.7070300000000005,2.7832
68,4.70215,2.83691
69,4.70215,2.75391
70,4.70215,2.68555
71,4.70215,2.7099599999999997
72,4.69727,2.76855
73,4.70215,2.79785
74,4.70215,2.77832
75,4.70215,2.7636700000000003
76,4.70215,2.80273
77,4.70215,2.8125
78,4.70215,2.72949
79,4.70215,2.6953099999999997
80,4.70215,2.7587900000000003
81,4.70215,2.79297
82,4.70215,2.80762
83,4.70215,2.77832
84,4.70215,2.7832
85,4.70215,2.84668
86,4.70215,2.77832
87,4.70215,2.7099599999999997
88,4.70215,2.72949
89,4.69727,2.79785
90,4.70215,2.83203
91,4.70215,2.8125
92,4.70215,2.79785
93,4.70215,2.83203
94,4.7070300000000005,2.8418
95,4.7070300000000005,2.75391
96,4.7070300000000005,2.7197299999999998
97,4.70215,2.77832
98,4.70215,2.8125
99,4.70215,2.82715
100,4.70215,2.79297
101,4.70215,2.78809
102,4.70215,2.8515599999999997
103,4.70215,2.78809
104,4.70215,2.7197299999999998
105,4.70215,2.72949
106,4.70215,2.79297
107,4.70215,2.81738
108,4.70215,2.79785
109,4.70215,2.7587900000000003
110,4.70215,2.7734400000000003
111,4.70215,2.80762
112,4.70215,2.7246099999999998
113,4.7070300000000005,2.69043
114,4.70215,2.75391
115,4.70215,2.79297
116,4.70215,2.80762
117,4.70215,2.7734400000000003
118,4.70215,2.7734400000000003
119,4.70215,2.83691
120,4.70215,2.78809
121,4.70215,2.71484
122,4.70215,2.7197299999999998
123,4.69727,2.78809
124,4.70215,2.8125
125,4.70215,2.80273
126,4.70215,2.78809
127,4.70215,2.79785
128,4.70215,2.83691
129,4.70215,2.7441400000000002
130,4.70215,2.6953099999999997
131,4.70215,2.7490200000000002
132,4.70215,2.78809
133,4.70215,2.80762
134,4.69727,2.77832
135,4.7070300000000005,2.7734400000000003
136,4.70215,2.83203
137,4.70215,2.75391
138,4.70215,2.73438
139,4.70215,2.9150400000000003
140,4.69727,3.09082
141,4.70215,3.1933599999999998
142,4.70215,3.2128900000000002
143,4.70215,3.1738299999999997
144,4.70215,3.14453
145,4.70215,3.1787099999999997
146,4.70215,3.0615200000000002
147,4.70215,2.96387
148,4.70215,2.95898
149,4.69727,2.96387
150,4.70215,2.94434
151,4.70215,2.89062
152,4.70215,2.85645
153,4.69727,2.89551
154,4.70215,2.84668
155,4.70215,2.82227
156,4.70215,2.9834
157,4.69727,3.0957
158,4.70215,3.10547
159,4.70215,3.0712900000000003
160,4.70215,3.0078099999999997
161,4.70215,2.99316
162,4.70215,2.99805
163,4.70215,2.8515599999999997
164,4.70215,2.72949
165,4.70215,2.6953099999999997
166,4.70215,2.7587900000000003
167,4.69727,2.78809
168,4.70215,2.7832
169,4.70215,2.78809
170,4.70215,2.82715
171,4.70215,2.7734400000000003
172,4.70215,2.66602
173,4.70215,2.62207
174,4.70215,2.69043
175,4.70215,2.73926
176,4.70215,2.7587900000000003
177,4.70215,2.75391
178,4.70215,2.77832
179,4.70215,2.82227
180,4.70215,2.72949
181,4.7070300000000005,2.6709
182,4.70215,2.69043
183,4.70215,2.75391
184,4.70215,2.7832
185,4.69727,2.76855
186,4.70215,2.7636700000000003
187,4.70215,2.8125
188,4.70215,2.7734400000000003
189,4.70215,2.68066
190,4.70215,2.64648
191,4.70215,2.7099599999999997
192,4.70215,2.7441400000000002
193,4.70215,2.7587900000000003
194,4.70215,2.73926
195,4.7070300000000005,2.7441400000000002
196,4.70215,2.79297
197,4.70215,2.71484
198,4.7070300000000005,2.66602
199,4.70215,2.68555
200,4.70215,2.7490200000000002
201,4.70215,2.77832
202,4.70215,2.7587900000000003
203,4.70215,2.75391
204,4.70215,2.80273
205,4.70215,2.80273
206,4.70215,2.7197299999999998
207,4.70215,2.7002
208,4.70215,2.76855
209,4.70215,2.80762
210,4.70215,2.81738
211,4.70215,2.79297
212,4.7070300000000005,2.79785
213,4.70215,2.8613299999999997
214,4.70215,2.7832
215,4.70215,2.72949
216,4.70215,2.7490200000000002
217,4.69727,2.80273
218,4.70215,2.81738
219,4.70215,2.79785
220,4.70215,2.77832
221,4.70215,2.80762
222,4.70215,2.80762
223,4.70215,2.7197299999999998
224,4.70215,2.68066
225,4.70215,2.73926
226,4.70215,2.77832
227,4.70215,2.79297
228,4.70215,2.7587900000000003
229,4.7070300000000005,2.75391
230,4.70215,2.8125
231,4.70215,2.7441400000000002
232,4.7070300000000005,2.6709
233,4.70215,2.68066
234,4.70215,2.7490200000000002
235,4.70215,2.78809
236,4.70215,2.7734400000000003
237,4.70215,2.7636700000000003
238,4.70215,2.79297
239,4.70215,2.81738
240,4.70215,2.72949
241,4.70215,2.82715
242,4.70215,3.0371099999999998
243,4.70215,3.14453
244,4.70215,3.18359
245,4.70215,3.14453
246,4.70215,3.10547
247,4.70215,3.14453
248,4.70215,3.0859400000000003
249,4.70215,2.99805
250,4.70215,2.95898
251,4.69727,2.96875
252,4.69727,2.9541
253,4.70215,2.9199200000000003
254,4.70215,2.8662099999999997
255,4.7070300000000005,2.8613299999999997
256,4.70215,2.87109
257,4.70215,2.7734400000000003
258,4.70215,2.72949
259,4.70215,2.77832
260,4.69727,2.80762
261,4.70215,2.82227
262,4.70215,2.7832
263,4.70215,2.7734400000000003
264,4.7070300000000005,2.83203
265,4.70215,2.7734400000000003
266,4.7070300000000005,2.7050799999999997
267,4.70215,2.68555
268,4.70215,2.7587900000000003
269,4.69727,2.7832
270,4.69727,2.7734400000000003
271,4.70215,2.7587900000000003
272,4.70215,2.7832
273,4.70215,2.81738
274,4.70215,2.73438
275,4.70215,2.69043
276,4.70215,2.7441400000000002
277,4.70215,2.79297
278,4.70215,2.81738
279,4.70215,2.78809
280,4.70215,2.7832
281,4.70215,2.83691
282,4.70215,2.78809
283,4.70215,2.7197299999999998
284,4.70215,2.71484
285,4.69727,2.77832
286,4.70215,2.79785
287,4.70215,2.79297
288,4.70215,2.76855
289,4.7070300000000005,2.77832
290,4.70215,2.83203
291,4.70215,2.7490200000000002
292,4.70215,2.7050799999999997
293,4.70215,2.73926
294,4.69727,2.7636700000000003
295,4.70215,2.7832
296,4.70215,2.7587900000000003
297,4.7070300000000005,2.7441400000000002
298,4.70215,2.80762
299,4.7070300000000005,2.77832
300,4.7070300000000005,2.71484
301,4.70215,2.7002
302,4.70215,2.7636700000000003
303,4.69727,2.7832
304,4.69727,2.7832
305,4.70215,2.7587900000000003
306,4.70215,2.7734400000000003
307,4.70215,2.81738
308,4.70215,2.73438
309,4.7070300000000005,2.6709
310,4.70215,2.7099599999999997
311,4.70215,2.7636700000000003
312,4.70215,2.7832
313,4.69727,2.75391
314,4.7070300000000005,2.73438
315,4.7070300000000005,2.78809
316,4.70215,2.7587900000000003
317,4.7070300000000005,2.69043
318,4.70215,2.66113
319,4.70215,2.72949
320,4.70215,2.7587900000000003
321,4.70215,2.77832
322,4.70215,2.7490200000000002
323,4.70215,2.7490200000000002
324,4.70215,2.80762
325,4.70215,2.71484
326,4.70215,2.66602
327,4.70215,2.7050799999999997
328,4.70215,2.80762
329,4.70215,2.87109
330,4.70215,2.8808599999999998
331,4.70215,2.9052700000000002
332,4.70215,2.97363
333,4.70215,3.0127
334,4.70215,2.9248
335,4.70215,2.8418
336,4.70215,2.84668
337,4.69727,2.84668
338,4.70215,2.8418
339,4.70215,2.82227
340,4.70215,2.82227
341,4.70215,2.8515599999999997
342,4.70215,2.73438
343,4.70215,2.63672
344,4.70215,2.6171900000000003
345,4.69727,2.68555
346,4.70215,2.7197299999999998
347,4.70215,2.7246099999999998
348,4.70215,2.7246099999999998
349,4.70215,2.76855
350,4.7070300000000005,2.73926
351,4.70215,2.6416
352,4.70215,2.58301
353,4.70215,2.64648
354,4.70215,2.6953099999999997
355,4.70215,2.7246099999999998
356,4.70215,2.7099599999999997
357,4.70215,2.7246099999999998
358,4.70215,2.78809
359,4.70215,2.7099599999999997
360,4.7070300000000005,2.6416
361,4.70215,2.64648
362,4.70215,2.7197299999999998
363,4.70215,2.7636700000000003
364,4.70215,2.76855
365,4.70215,2.75391
366,4.7070300000000005,2.80273
367,4.7070300000000005,2.80762
368,4.70215,2.71484
369,4.70215,2.66602
370,4.70215,2.73438
371,4.70215,2.76855
372,4.70215,2.79297
373,4.70215,2.7636700000000003
374,4.70215,2.75391
375,4.70215,2.82227
376,4.70215,2.7441400000000002
377,4.69727,2.68066
378,4.70215,2.6709
379,4.70215,2.73926
380,4.70215,2.7636700000000003
381,4.70215,2.7490200000000002
382,4.70215,2.72949
383,4.70215,2.7587900000000003
384,4.7070300000000005,2.77832
385,4.70215,2.7002
386,4.70215,2.65625
387,4.69727,2.7197299999999998
388,4.69727,2.7587900000000003
389,4.70215,2.78809
390,4.70215,2.7587900000000003
391,4.7070300000000005,2.7490200000000002
392,4.70215,2.8125
393,4.70215,2.76855
394,4.7070300000000005,2.7050799999999997
395,4.70215,2.7050799999999997
396,4.70215,2.80762
397,4.70215,2.83203
