,Waktu,Pipi,Alis
0,57:06.8,2.36328,2.96875
1,57:06.9,2.38281,2.72461
2,57:06.9,2.40723,2.72461
3,57:06.9,2.41211,2.62207
4,57:06.9,2.40234,2.51465
5,57:06.9,2.36328,2.5
6,57:06.9,2.34375,2.44141
7,57:07.0,2.37793,2.37305
8,57:07.0,2.41699,2.2998
9,57:07.0,2.37305,2.27539
10,57:07.0,2.33887,2.30469
11,57:07.0,2.37305,2.28027
12,57:07.0,2.40234,2.2168
13,57:07.1,2.37793,2.19238
14,57:07.1,2.33887,2.20703
15,57:07.1,2.34863,2.1875
16,57:07.1,2.3877,2.16797
17,57:07.1,2.3877,2.1582
18,57:07.2,2.33887,2.19727
19,57:07.2,2.33398,2.2168
20,57:07.2,2.38281,2.13867
21,57:07.2,2.39258,2.05078
22,57:07.2,2.37793,1.9873
23,57:07.2,2.35352,1.94824
24,57:07.3,2.37305,1.91895
25,57:07.3,2.41211,1.89941
26,57:07.3,2.36816,1.92383
27,57:07.3,2.33887,1.91895
28,57:07.3,2.33398,1.86523
29,57:07.3,2.37793,1.75781
30,57:07.4,2.37793,1.65039
31,57:07.4,2.33398,1.60645
32,57:07.4,2.32422,1.58203
33,57:07.4,2.38281,1.54785
34,57:07.4,2.37793,1.50391
35,57:07.5,2.33398,1.47949
36,57:07.5,2.35352,1.47949
37,57:07.5,2.41211,1.44531
38,57:07.5,2.40723,1.40625
39,57:07.5,2.38281,1.39648
40,57:07.5,2.33887,1.39648
41,57:07.6,2.3584,1.37207
42,57:07.6,2.40234,1.35254
43,57:07.6,2.37793,1.33789
44,57:07.6,2.35352,1.34766
45,57:07.6,2.36816,1.3623
46,57:07.6,2.39258,1.33301
47,57:07.7,2.36328,1.30859
48,57:07.7,2.31445,1.30859
49,57:07.7,2.29492,1.28906
50,57:07.7,2.3291,1.26953
51,57:07.7,2.35352,1.24512
52,57:07.8,2.34863,1.24023
53,57:07.8,2.3291,1.26465
54,57:07.8,2.3877,1.25
55,57:07.8,2.41699,1.21094
56,57:07.8,2.40234,1.18652
57,57:07.8,2.35352,1.19629
58,57:07.9,2.33398,1.17188
59,57:07.9,2.41699,1.15723
60,57:07.9,2.39258,1.15723
61,57:07.9,2.36816,1.16699
62,57:07.9,2.38281,1.19629
63,57:07.9,2.39746,1.17188
