,Waktu,Pipi,Alis
0,02:49.6,2.00195,4.70215
1,02:49.6,1.99707,4.70215
2,02:49.6,2.0166,4.70215
3,02:49.6,2.03613,4.70215
4,02:49.6,2.03125,4.70215
5,02:49.7,2.00684,4.70215
6,02:49.7,2.02148,4.70215
7,02:49.7,2.08008,4.70215
8,02:49.7,2.03613,4.70215
9,02:49.7,2.0459,4.70215
10,02:49.7,2.04102,4.70215
11,02:49.8,1.99219,4.69727
12,02:49.8,2.0166,4.70215
13,02:49.8,2.00684,4.70215
14,02:49.8,2.03613,4.70215
15,02:49.8,2.06543,4.70215
16,02:49.9,2.02148,4.70215
17,02:49.9,1.96289,4.70215
18,02:49.9,1.96777,4.70215
19,02:49.9,1.99707,4.70215
20,02:49.9,1.9873,4.70215
21,02:49.9,1.94824,4.70215
22,02:50.0,1.92383,4.70215
23,02:50.0,1.9873,4.70215
24,02:50.0,2.02637,4.70215
25,02:50.0,1.99707,4.70215
26,02:50.0,1.92383,4.69727
27,02:50.0,1.94336,4.70215
28,02:50.1,2.0166,4.70215
29,02:50.1,2.00195,4.70215
30,02:50.1,2.01172,4.70215
31,02:50.1,2.02148,4.70215
32,02:50.1,2.08008,4.70215
33,02:50.2,2.09473,4.70215
34,02:50.2,2.03613,4.70215
35,02:50.2,2.02148,4.70215
36,02:50.2,2.07031,4.70215
37,02:50.2,2.08008,4.70215
38,02:50.2,2.07031,4.70215
39,02:50.3,2.03613,4.69727
40,02:50.3,2.01172,4.70215
41,02:50.3,2.07031,4.70215
42,02:50.3,2.0752,4.70215
43,02:50.3,1.97754,4.70215
44,02:50.3,1.9873,4.70215
45,02:50.4,2.00195,4.70215
46,02:50.4,2.0166,4.69727
47,02:50.4,2.06543,4.69727
48,02:50.4,2.03125,4.70215
49,02:50.4,2.05078,4.70215
50,02:50.5,2.05566,4.70215
51,02:50.5,2.00195,4.70215
52,02:50.5,2.00684,4.70215
53,02:50.5,2.01172,4.70215
54,02:50.5,2.02637,4.70215
55,02:50.5,1.99707,4.70215
56,02:50.6,2.02148,4.69727
57,02:50.6,2.00684,4.70215
58,02:50.6,2.04102,4.69727
59,02:50.6,2.08984,4.70215
60,02:50.6,2.01172,4.69727
61,02:50.6,1.98242,4.70215
62,02:50.7,2.03125,4.70215
63,02:50.7,2.06055,4.70215
64,02:50.7,2.08496,4.70215
65,02:50.7,2.10449,4.70215
66,02:50.7,2.14355,4.70215
67,02:50.8,2.1582,4.70215
68,02:50.8,2.10938,4.70215
69,02:50.8,2.01172,4.70215
70,02:50.8,1.96777,4.70215
71,02:50.8,1.9873,4.70215
72,02:50.8,1.98242,4.70215
73,02:50.9,1.97266,4.70215
74,02:50.9,1.9873,4.70215
75,02:50.9,2.01172,4.70215
76,02:50.9,2.00195,4.70215
77,02:50.9,1.96777,4.70215
78,02:50.9,1.88965,4.70215
79,02:51.0,1.88477,4.70215
80,02:51.0,1.93359,4.70215
81,02:51.0,1.97266,4.70215
82,02:51.0,2.03125,4.70215
83,02:51.0,2.03125,4.70215
84,02:51.1,2.07031,4.69727
85,02:51.1,2.0459,4.70215
86,02:51.1,1.94336,4.70215
87,02:51.1,1.88965,4.70215
88,02:51.1,1.93359,4.70215
89,02:51.1,1.92383,4.70215
90,02:51.2,1.90918,4.70215
91,02:51.2,1.91406,4.70215
92,02:51.2,1.95801,4.69727
93,02:51.2,1.98242,4.69727
94,02:51.2,1.97754,4.70215
95,02:51.2,1.91406,4.70215
96,02:51.3,1.86035,4.70215
97,02:51.3,1.95312,4.70215
98,02:51.3,1.93359,4.70215
99,02:51.3,2.0166,4.70215
100,02:51.3,2.0166,4.70215
101,02:51.4,2.0166,4.70215
102,02:51.4,2.00684,4.70215
103,02:51.4,2.06055,4.70215
104,02:51.4,2.05566,4.70215
105,02:51.4,2.03613,4.70215
106,02:51.4,2.02148,4.70215
107,02:51.5,1.98242,4.69727
108,02:51.5,2.00684,4.70215
109,02:51.5,2.0166,4.70215
110,02:51.5,2.11426,4.69727
111,02:51.5,2.11426,4.70215
112,02:51.6,2.02637,4.70215
113,02:51.6,1.94824,4.70215
114,02:51.6,1.96777,4.70215
115,02:51.6,2.00684,4.70215
116,02:51.6,2.00684,4.70215
117,02:51.6,1.95801,4.70215
118,02:51.7,1.94824,4.70215
119,02:51.7,2.01172,4.70215
120,02:51.7,2.06055,4.70215
121,02:51.7,2.00195,4.70215
122,02:51.7,1.97754,4.70215
123,02:51.7,1.9873,4.70215
124,02:51.8,1.97754,4.69727
125,02:51.8,1.98242,4.70215
126,02:51.8,1.96289,4.70215
127,02:51.8,2.03125,4.70215
128,02:51.8,2.0752,4.70215
129,02:51.9,2.03613,4.70215
130,02:51.9,1.97754,4.70215
131,02:51.9,1.97266,4.70215
132,02:51.9,1.9873,4.70215
133,02:51.9,2.00195,4.70215
134,02:51.9,2.08984,4.70215
135,02:52.0,2.07031,4.70215
136,02:52.0,2.08984,4.69727
137,02:52.0,2.10938,4.70215
138,02:52.0,2.07031,4.70215
139,02:52.0,2.07031,4.70215
140,02:52.0,2.04102,4.70215
141,02:52.1,2.02637,4.69727
142,02:52.1,2.02637,4.70215
143,02:52.1,2.06543,4.70215
144,02:52.1,2.08008,4.70215
145,02:52.1,2.09473,4.70215
146,02:52.2,2.05566,4.70215
147,02:52.2,2.02148,4.70215
148,02:52.2,2.01172,4.70215
149,02:52.2,2.01172,4.70215
150,02:52.2,1.96289,4.70215
151,02:52.2,1.96777,4.70215
152,02:52.3,1.97266,4.70215
153,02:52.3,2.06543,4.70215
154,02:52.3,2.10449,4.70215
155,02:52.3,2.07031,4.70215
156,02:52.3,2.06055,4.70215
157,02:52.3,2.02637,4.70215
158,02:52.4,2.03125,4.70215
159,02:52.4,2.07031,4.70215
160,02:52.4,2.08496,4.70215
161,02:52.4,2.06543,4.70215
162,02:52.4,2.09473,4.69727
163,02:52.5,2.09961,4.70215
164,02:52.5,2.00684,4.70215
165,02:52.5,1.98242,4.70215
166,02:52.5,2.0166,4.70215
167,02:52.5,2.0166,4.70215
168,02:52.5,2.02637,4.70215
169,02:52.6,1.99219,4.70215
170,02:52.6,2.00684,4.70215
171,02:52.6,2.07031,4.70215
172,02:52.6,2.07031,4.69727
173,02:52.6,2.0459,4.70215
174,02:52.6,2.05566,4.70215
175,02:52.7,2.0752,4.70215
176,02:52.7,2.03613,4.70215
177,02:52.7,2.05078,4.70215
178,02:52.7,2.02637,4.70215
179,02:52.7,2.07031,4.70215
180,02:52.8,2.09473,4.70215
181,02:52.8,2.05078,4.70215
182,02:52.8,2.07031,4.70215
183,02:52.8,2.10938,4.70215
184,02:52.8,2.14844,4.70215
185,02:52.8,2.13379,4.70215
186,02:52.9,2.08008,4.70215
187,02:52.9,2.08008,4.70215
188,02:52.9,2.13379,4.69727
189,02:52.9,2.1582,4.70215
