,Waktu,Pipi,Alis
0,55:58.2,2.03125,4.70215
1,55:58.2,2.00684,4.70215
2,55:58.2,1.97266,4.69727
3,55:58.3,1.96777,4.70215
4,55:58.3,1.99219,4.70215
5,55:58.3,2.01172,4.70215
6,55:58.3,2.05566,4.69727
7,55:58.3,1.98242,4.69727
8,55:58.3,1.93359,4.70215
9,55:58.4,1.95801,4.70215
10,55:58.4,1.91895,4.69727
11,55:58.4,1.90918,4.70215
12,55:58.4,1.90918,4.69727
13,55:58.4,1.91406,4.70215
14,55:58.4,1.97266,4.70215
15,55:58.5,1.95312,4.70215
16,55:58.5,1.875,4.70215
17,55:58.5,1.87012,4.70215
18,55:58.5,1.91895,4.70215
19,55:58.5,1.91895,4.70215
20,55:58.6,1.92871,4.70215
21,55:58.6,1.90918,4.69727
22,55:58.6,1.93359,4.70215
23,55:58.6,1.99707,4.70215
24,55:58.6,1.95312,4.69727
25,55:58.6,1.90918,4.69727
26,55:58.7,1.92383,4.70215
27,55:58.7,1.94336,4.70215
28,55:58.7,1.94336,4.70215
29,55:58.7,1.95801,4.70215
30,55:58.7,1.91895,4.69727
31,55:58.7,1.96289,4.69727
32,55:58.8,1.98242,4.70215
33,55:58.8,1.94336,4.70215
34,55:58.8,1.92383,4.70215
35,55:58.8,1.95312,4.69727
36,55:58.8,1.94336,4.70215
37,55:58.9,1.94824,4.69727
38,55:58.9,1.92871,4.69727
39,55:58.9,1.93359,4.69727
40,55:58.9,1.99219,4.70215
41,55:58.9,1.96289,4.70215
42,55:58.9,1.87988,4.69727
43,55:59.0,1.85547,4.69727
44,55:59.0,1.89941,4.70215
45,55:59.0,1.89453,4.69727
46,55:59.0,1.9043,4.69727
47,55:59.0,1.875,4.70215
48,55:59.1,1.91895,4.70215
49,55:59.1,1.94824,4.70215
50,55:59.1,1.91406,4.70215
51,55:59.1,1.88965,4.70215
52,55:59.1,1.92383,4.70215
53,55:59.1,1.93848,4.69727
54,55:59.2,1.92383,4.70215
55,55:59.2,1.9043,4.69727
56,55:59.2,1.91895,4.69727
57,55:59.2,1.99219,4.70215
58,55:59.2,1.9873,4.69727
59,55:59.2,1.91406,4.70215
60,55:59.3,1.89941,4.70215
61,55:59.3,1.93848,4.70215
62,55:59.3,1.94336,4.69727
63,55:59.3,1.93848,4.70215
64,55:59.3,1.9043,4.70215
65,55:59.4,1.94336,4.70215
66,55:59.4,1.96289,4.70215
67,55:59.4,1.91895,4.70215
68,55:59.4,1.87012,4.70215
69,55:59.4,1.88477,4.70215
70,55:59.4,1.9043,4.69727
71,55:59.5,1.89453,4.70215
72,55:59.5,1.89941,4.69727
73,55:59.5,1.9043,4.69727
74,55:59.5,1.95801,4.69727
75,55:59.5,1.96777,4.70215
76,55:59.5,1.89941,4.70215
77,55:59.6,1.88477,4.70215
78,55:59.6,1.91406,4.70215
79,55:59.6,1.94824,4.69727
80,55:59.6,1.93359,4.70215
81,55:59.6,1.89941,4.70215
82,55:59.7,1.91406,4.70215
83,55:59.7,1.95312,4.70215
84,55:59.7,1.94336,4.70215
85,55:59.7,1.88965,4.70215
86,55:59.7,1.89941,4.70215
87,55:59.7,1.93359,4.70215
88,55:59.8,1.93359,4.70215
89,55:59.8,1.93848,4.69727
90,55:59.8,1.91895,4.70215
91,55:59.8,1.95801,4.69727
92,55:59.8,1.99219,4.69727
93,55:59.8,1.94824,4.70215
94,55:59.9,1.91895,4.70215
95,55:59.9,1.92871,4.70215
96,55:59.9,1.95801,4.69727
97,55:59.9,1.94824,4.70215
98,55:59.9,1.92383,4.70215
99,56:00.0,1.93359,4.69727
100,56:00.0,1.96289,4.70215
101,56:00.0,1.96289,4.70215
102,56:00.0,1.88965,4.70215
103,56:00.0,1.89453,4.70215
104,56:00.0,1.91895,4.69727
105,56:00.1,1.91895,4.69727
106,56:00.1,1.91895,4.70215
107,56:00.1,1.9043,4.70215
108,56:00.1,1.92871,4.69727
109,56:00.1,1.96777,4.70215
110,56:00.1,1.93359,4.70215
111,56:00.2,1.88477,4.70215
112,56:00.2,1.88965,4.69727
113,56:00.2,1.92383,4.70215
114,56:00.2,1.91406,4.69727
115,56:00.2,1.91406,4.70215
116,56:00.3,1.9043,4.70215
117,56:00.3,1.95312,4.69727
118,56:00.3,1.96777,4.70215
119,56:00.3,1.91406,4.70215
120,56:00.3,1.9043,4.70215
121,56:00.3,1.91406,4.70215
122,56:00.4,1.92871,4.69727
123,56:00.4,1.93359,4.69727
124,56:00.4,1.91406,4.69727
125,56:00.4,1.92383,4.69727
126,56:00.4,1.96777,4.69727
127,56:00.4,1.95801,4.69727
128,56:00.5,1.89941,4.70215
129,56:00.5,1.89453,4.70215
130,56:00.5,1.92383,4.69727
131,56:00.5,1.91406,4.70215
132,56:00.5,1.91895,4.70215
133,56:00.6,1.89941,4.70215
134,56:00.6,1.93359,4.69727
135,56:00.6,1.95801,4.70215
136,56:00.6,1.90918,4.70215
137,56:00.6,1.88965,4.70215
138,56:00.6,1.89941,4.70215
139,56:00.7,1.93359,4.70215
140,56:00.7,1.91895,4.69727
141,56:00.7,1.91406,4.69727
142,56:00.7,1.92871,4.70215
143,56:00.7,1.97266,4.69727
144,56:00.8,1.9873,4.70215
145,56:00.8,1.92383,4.70215
146,56:00.8,1.91406,4.69727
147,56:00.8,1.93848,4.70215
148,56:00.8,1.94824,4.69727
149,56:00.8,1.94336,4.70215
150,56:00.9,1.92383,4.70215
151,56:00.9,1.93848,4.69727
152,56:00.9,1.96289,4.70215
153,56:00.9,1.94336,4.70215
154,56:00.9,1.89453,4.69727
155,56:00.9,1.88965,4.70215
156,56:01.0,1.91895,4.69727
157,56:01.0,1.90918,4.69727
158,56:01.0,1.91406,4.70215
159,56:01.0,1.89453,4.70215
160,56:01.0,1.93848,4.69727
161,56:01.1,1.97754,4.70215
162,56:01.1,1.92383,4.70215
163,56:01.1,1.91895,4.70215
164,56:01.1,1.93359,4.70215
165,56:01.1,1.96289,4.69727
166,56:01.1,1.94336,4.69727
167,56:01.2,1.93359,4.70215
168,56:01.2,1.91406,4.69727
169,56:01.2,1.95801,4.69727
170,56:01.2,1.97266,4.69727
171,56:01.2,1.92383,4.70215
172,56:01.2,1.92383,4.70215
173,56:01.3,1.95312,4.70215
174,56:01.3,1.94336,4.69727
175,56:01.3,1.92871,4.69727
176,56:01.3,1.91406,4.69727
177,56:01.3,1.94824,4.70215
178,56:01.4,1.99219,4.70215
179,56:01.4,1.95801,4.69727
180,56:01.4,1.92871,4.70215
181,56:01.4,1.94824,4.70215
182,56:01.4,1.98242,4.70215
183,56:01.4,1.97266,4.70215
184,56:01.5,1.96289,4.69727
185,56:01.5,1.94824,4.70215
186,56:01.5,1.98242,4.69727
187,56:01.5,2.00684,4.70215
188,56:01.5,1.94824,4.70215
189,56:01.5,1.94336,4.70215
190,56:01.6,1.95312,4.70215
191,56:01.6,1.96289,4.70215
192,56:01.6,1.94824,4.69727
193,56:01.6,1.92383,4.70215
194,56:01.6,1.93359,4.70215
195,56:01.7,1.97754,4.70215
196,56:01.7,1.95801,4.70215
197,56:01.7,1.90918,4.70215
198,56:01.7,1.89941,4.70215
199,56:01.7,1.94336,4.70215
200,56:01.7,1.93848,4.70215
