,pipi
0,
1,225
2,225
3,229
4,232
5,234
6,235
7,235
8,234
9,232
10,231
11,227
12,225
13,227
14,221
15,222
16,221
17,224
18,223
19,227
20,217
21,219
22,223
23,221
24,220
25,222
26,216
27,221
28,221
29,222
30,222
31,227
32,220
33,222
34,224
35,223
36,225
37,225
38,220
39,227
40,224
41,224
42,223
43,229
44,223
45,223
46,226
47,228
48,230
49,230
50,226
51,231
52,230
53,231
54,234
55,235
56,231
57,231
58,233
59,233
60,236
61,233
62,229
63,235
64,235
65,237
66,239
67,238
68,233
69,234
70,237
71,236
72,237
73,232
74,228
75,232
76,231
77,231
78,234
79,231
80,231
81,231
82,232
83,229
84,232
85,227
86,226
87,231
88,230
89,230
90,233
91,229
92,232
93,231
94,230
95,229
96,231
97,224
98,226
99,230
100,228
101,227
102,230
103,224
104,227
105,226
106,226
107,224
108,229
109,221
110,224
111,225
112,223
113,223
114,224
115,217
116,224
117,224
118,224
119,223
120,226
121,218
122,220
123,223
124,225
125,228
126,228
127,222
128,225
129,238
130,236
131,239
132,238
133,232
134,234
135,238
136,237
137,240
138,238
139,232
140,236
141,234
142,231
143,232
144,238
145,232
146,233
147,236
148,236
149,237
150,234
151,229
152,234
153,232
154,232
155,234
156,233
157,233
158,235
159,242
160,248
161,253
162,250
163,248
164,257
165,256
166,254
167,255
168,249
169,248
170,247
171,245
172,243
173,242
174,234
175,235
176,235
177,232
178,228
179,230
180,221
181,220
182,221
183,220
184,217
185,219
186,207
187,206
188,208
189,205
190,207
191,209
192,203
193,207
194,205
195,208
196,207
197,209
198,201
199,203
200,204
201,201
202,200
203,199
204,193
205,199
206,199
207,202
208,206
209,209
210,205
211,205
212,208
213,209
214,208
215,214
216,212
217,220
218,227
219,239
220,240
221,242
222,239
223,241
224,244
225,244
226,247
227,247
228,241
229,246
230,243
231,246
232,250
233,251
234,252
235,253
236,257
237,260
238,269
239,270
240,271
241,278
242,278
243,278
244,282
245,276
246,276
247,276
248,277
249,272
250,279
251,270
252,271
253,274
254,289
255,289
256,292
257,286
258,284
259,280
260,276
261,272
262,277
263,268
264,267
265,270
266,269
267,267
268,269
269,260
270,264
271,260
272,259
273,257
274,260
275,250
276,250
277,251
278,245
279,243
280,246
281,241
282,244
283,241
284,240
285,238
286,241
287,234
288,233
289,235
290,235
291,241
292,241
293,233
294,241
295,239
296,241
297,242
298,244
299,235
300,235
301,240
302,239
303,238
304,237
305,234
306,241
307,241
308,242
309,244
310,247
311,244
312,249
313,253
314,257
315,264
316,262
317,264
318,273
319,274
320,274
321,277
322,277
323,276
324,276
325,280
326,282
327,289
328,282
329,281
330,289
331,288
332,290
333,294
334,287
335,288
336,289
337,288
338,287
339,288
340,277
341,280
342,281
343,278
344,276
345,278
346,269
347,270
348,269
349,267
350,266
351,269
352,257
353,257
354,257
355,255
356,251
357,251
358,242
359,245
360,244
361,246
362,244
363,247
364,239
365,240
366,244
367,243
368,244
369,244
370,238
371,243
372,243
373,243
374,231
375,238
376,234
377,236
378,238
379,255
380,253
381,252
382,246
383,249
384,246
385,244
386,246
387,249
388,246
389,247
390,248
391,246
392,246
393,246
394,240
395,244
396,242
397,243
398,246
399,246
400,244
401,244
402,244
403,241
404,243
405,240
406,239
407,244
408,246
409,246
410,248
411,247
412,248
413,249
414,251
415,252
416,257
417,249
418,250
419,256
420,254
421,252
422,255
423,248
424,248
425,249
426,248
427,246
428,251
429,244
430,246
431,249
432,248
433,248
434,252
435,247
436,250
437,251
438,251
439,251
440,256
441,246
442,250
443,251
444,250
445,250
446,252
447,246
448,250
449,251
450,250
451,250
452,255
453,247
454,249
455,250
456,248
457,249
458,250
459,245
460,250
461,249
462,249
463,250
464,254
465,247
466,248
467,249
468,246
469,246
470,245
471,241
472,247
473,249
474,246
475,246
476,247
477,244
478,246
479,250
480,250
481,252
482,251
483,246
484,251
485,250
486,252
487,256
488,251
489,249
490,249
491,250
492,247
493,252
494,248
