,pipi
0,
1,302
2,306
3,308
4,311
5,313
6,316
7,319
8,321
9,322
10,313
11,324
12,313
13,309
14,301
15,305
16,295
17,292
18,284
19,293
20,333
21,322
22,319
23,312
24,311
25,325
26,313
27,313
28,320
29,325
30,348
31,345
32,337
33,359
34,348
35,341
36,334
37,318
38,311
39,308
40,328
41,321
42,325
43,319
44,305
45,305
46,308
47,311
48,303
49,351
50,364
51,368
52,362
53,354
54,357
55,359
56,371
57,351
58,345
59,333
60,330
61,319
62,339
63,328
64,320
65,338
66,355
67,349
68,339
69,332
70,331
71,310
72,296
73,295
74,279
75,266
76,273
77,289
78,301
79,289
80,289
81,284
82,290
83,298
84,288
85,292
86,291
87,275
88,276
89,270
90,287
91,294
92,288
93,307
94,304
95,295
96,338
97,329
98,309
99,298
100,336
101,324
102,319
103,309
104,302
105,316
106,321
107,312
108,317
109,370
110,367
111,348
112,348
113,361
114,362
115,351
116,344
117,334
118,337
119,347
120,334
121,334
122,372
123,379
124,386
125,388
126,425
127,393
128,393
129,379
130,360
131,338
132,340
133,354
134,356
135,349
136,352
137,355
138,357
139,345
140,360
141,359
142,364
143,342
144,355
145,349
146,363
147,373
148,390
149,380
150,367
151,389
152,393
153,395
154,393
155,376
156,405
157,384
158,373
159,374
160,385
161,378
162,371
163,370
164,374
165,361
166,352
167,324
168,352
169,334
170,337
171,331
172,325
173,325
174,346
175,346
176,347
177,325
178,321
179,298
180,297
181,299
182,311
183,301
184,315
185,320
186,307
187,298
188,300
189,294
190,296
191,287
192,293
193,320
194,302
195,347
196,364
197,350
198,353
199,402
200,382
201,365
202,355
203,336
204,323
205,348
206,344
207,333
208,322
209,302
210,299
211,302
212,304
213,301
214,302
215,301
216,280
217,293
218,295
219,295
220,293
221,299
222,303
223,315
224,313
225,332
226,363
227,425
228,417
229,431
230,433
231,439
232,442
233,443
234,432
235,426
236,411
237,397
238,388
239,377
240,401
241,409
242,399
243,397
244,400
245,388
246,384
247,370
248,361
249,391
250,397
251,374
252,371
253,350
254,338
255,342
256,340
257,331
258,341
259,319
260,332
261,347
262,342
263,323
264,329
265,352
266,350
267,351
268,344
269,337
270,340
271,326
272,313
273,294
274,299
275,328
276,322
277,322
278,299
279,296
280,302
281,310
282,301
283,283
284,274
285,260
286,291
287,285
288,278
289,270
290,264
291,268
292,274
293,273
294,290
295,290
296,314
297,345
298,324
299,306
300,301
301,300
302,295
303,299
304,291
305,289
306,311
307,305
308,317
309,322
310,304
311,301
312,312
313,295
314,291
315,297
316,304
317,311
318,339
319,325
320,347
321,347
322,344
323,347
324,342
325,334
326,339
327,343
328,323
329,339
330,348
331,346
332,386
333,405
334,393
335,392
336,386
337,375
338,364
339,359
340,339
341,310
342,330
343,327
344,339
345,343
346,334
347,332
348,328
349,322
350,333
351,332
352,320
353,324
354,317
355,313
356,308
357,310
358,310
359,329
360,327
361,335
362,327
363,322
364,310
365,302
366,298
367,298
368,321
369,363
370,355
371,367
372,360
373,353
374,345
375,354
376,362
377,357
378,353
379,354
380,342
381,351
382,340
383,334
384,329
385,314
386,319
387,319
388,302
389,300
390,307
391,348
392,334
393,320
394,310
395,318
396,307
397,320
398,313
399,312
400,299
401,318
402,314
403,304
404,287
405,285
406,282
407,280
408,288
409,282
410,271
411,277
412,259
413,255
414,272
415,269
416,282
417,290
418,290
419,296
420,294
421,302
422,301
423,323
424,323
425,333
426,332
427,348
428,350
429,343
430,332
431,329
432,356
433,350
434,364
435,362
436,347
437,344
438,337
439,326
440,339
441,353
442,343
443,334
444,353
445,361
446,364
447,373
448,355
449,348
450,332
451,345
452,346
453,335
454,324
455,327
456,315
457,332
458,369
459,377
460,362
461,352
462,346
463,350
464,355
465,352
466,330
467,329
468,315
469,296
470,289
471,304
472,297
473,298
474,316
475,300
476,302
477,295
478,292
479,282
480,307
481,303
482,291
483,299
484,294
485,289
486,312
487,307
488,309
489,296
490,305
491,311
492,314
493,317
494,319
495,315
496,301
497,299
498,312
499,307
500,291
501,278
502,287
503,295
504,296
505,295
506,296
507,298
508,311
509,315
510,308
511,302
512,319
513,328
514,312
515,323
516,313
517,311
518,310
519,311
520,316
521,289
522,292
523,290
524,320
525,320
526,313
527,307
528,304
529,307
530,315
531,322
532,318
533,308
534,314
535,304
536,315
537,312
538,315
539,325
540,326
541,319
542,319
543,311
544,313
545,313
546,332
547,322
548,311
549,297
550,298
551,306
552,313
553,312
554,310
555,309
556,306
557,319
558,326
559,328
560,321
561,313
562,313
563,320
564,324
565,321
566,312
567,288
568,298
569,310
570,319
571,313
572,308
573,288
574,289
575,299
576,308
577,312
578,310
579,302
580,299
581,278
582,284
583,279
584,282
585,281
586,289
587,303
588,300
589,295
590,298
591,293
592,313
593,315
594,324
595,316
596,308
597,299
598,300
599,319
600,333
601,334
602,319
603,303
604,314
605,308
606,311
607,299
608,312
609,318
610,336
611,328
612,318
613,321
614,324
615,326
616,326
617,317
618,307
619,305
620,312
621,326
622,320
623,323
624,326
625,346
626,380
627,399
628,420
629,397
630,383
631,375
632,372
633,344
634,344
635,336
636,349
637,333
638,331
639,352
640,368
641,356
642,352
643,342
644,336
645,329
646,332
647,316
648,340
649,360
650,393
651,388
652,376
653,360
654,354
655,360
656,359
657,341
658,337
659,322
660,310
661,299
662,288
663,281
664,289
665,285
666,292
667,306
668,313
669,307
670,312
671,335
672,331
673,342
674,353
675,348
676,339
677,342
678,341
679,331
680,324
681,317
682,318
683,306
684,305
685,304
686,302
687,300
688,294
689,294
690,296
691,290
692,306
693,296
694,291
695,295
696,296
697,309
698,307
699,311
700,308
701,308
702,315
703,319
704,318
705,338
706,342
707,350
708,337
709,335
710,335
711,324
712,330
713,323
714,311
715,310
716,297
717,292
718,299
719,313
720,322
721,319
722,304
723,283
724,298
725,296
726,303
727,313
728,322
729,327
730,330
731,345
732,335
733,330
734,321
735,335
736,318
737,318
738,321
739,327
740,328
741,327
742,320
743,323
744,307
745,312
746,306
747,293
748,297
749,288
750,289
751,291
752,297
753,310
754,316
755,322
756,350
757,353
758,335
759,359
760,344
761,328
762,319
763,312
764,308
765,310
766,303
767,310
768,331
769,329
770,333
771,350
772,335
773,323
774,329
775,338
776,327
777,336
778,337
779,329
780,327
781,331
782,327
783,310
784,308
785,301
786,305
787,311
788,303
789,317
790,328
791,339
792,345
793,341
794,332
795,310
796,305
797,306
798,316
799,335
800,353
801,338
802,325
803,323
804,356
805,365
806,369
807,368
808,349
809,336
810,359
811,388
812,393
813,413
814,400
815,411
816,402
817,391
818,372
819,380
820,351
821,334
822,339
823,337
824,328
825,326
826,332
827,328
828,332
829,337
830,334
831,319
832,306
833,321
834,337
835,337
836,313
837,326
838,326
839,334
840,333
841,323
842,312
843,319
844,361
845,355
846,359
847,353
848,372
849,370
850,364
851,364
852,375
853,361
854,345
855,366
856,361
857,347
858,345
859,334
860,331
861,373
862,369
863,369
864,386
865,390
866,390
867,377
868,366
869,356
870,342
871,334
872,326
873,338
874,342
875,351
876,353
877,344
878,330
879,312
880,331
881,330
882,336
883,334
884,333
885,332
886,326
887,321
888,318
889,304
890,307
891,300
892,346
893,351
894,361
895,353
896,346
897,347
898,337
899,332
900,335
901,328
902,339
903,340
904,331
905,330
906,324
907,310
908,314
909,319
910,307
911,303
912,305
913,300
914,322
915,343
916,352
917,349
918,330
919,309
920,316
921,323
922,316
923,317
924,318
925,307
926,300
927,307
928,335
929,356
930,362
931,342
932,339
933,337
934,333
935,325
936,322
937,320
938,310
939,294
940,301
941,299
942,310
943,310
944,302
945,291
946,277
947,281
948,303
949,298
950,317
951,321
952,355
953,343
954,351
955,341
956,342
957,350
958,343
959,332
960,320
961,321
962,316
963,319
964,315
965,315
966,321
967,315
968,340
969,335
970,321
971,337
972,390
973,391
974,374
975,404
976,391
977,378
978,377
979,370
980,374
981,362
982,379
983,367
984,370
985,357
986,350
987,334
988,331
989,327
990,343
991,346
992,347
993,408
994,411
995,408
996,393
997,372
998,355
999,371
1000,357
1001,343
1002,331
1003,328
1004,326
1005,323
1006,323
1007,339
1008,363
1009,361
1010,360
1011,358
1012,363
1013,366
1014,360
1015,349
1016,351
1017,346
1018,337
1019,328
1020,324
1021,326
1022,324
1023,317
1024,312
1025,311
1026,300
1027,292
1028,323
1029,328
1030,324
1031,333
1032,321
1033,319
